Team A,Team B,Score A,Score B,Date,Competition,Event,Venue
Phoenix Premier FC 15B CG,West Valley 2015 Boys Rose,2.0,3.0,2024-11-23,Heritage Cup,2024 Heritage Cup ,HC - Discovery Park 
AZSC 15B White,West Valley 2015 Boys Rose,2.0,4.0,2024-11-23,Heritage Cup,2024 Heritage Cup ,HC - Discovery Park 
NOS Santos 15 Boys Blue,West Valley 2015 Boys Rose,5.0,2.0,2024-11-23,Heritage Cup,2024 Heritage Cup ,HC - Discovery Park 
CCV STARS 15 Boys Orange SUR,West Valley 2015 Boys Rose,0.0,1.0,2024-11-10,Kick for the Cure,Kick for the Cure 2024,Scottsdale Sports Complex (ASA)
2015 Boys Yellow,West Valley 2015 Boys Rose,8.0,4.0,2024-11-08,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
State 48 FC Verrado 15/16 Black,West Valley 2015 Boys Rose,1.0,3.0,2024-11-03,2025 Rush Cup ,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
2015 Rush Boys,West Valley 2015 Boys Rose,1.0,2.0,2024-11-01,2025 Rush Cup ,2024 Rush Cup ,Rose Mofford (Rush Cup)
CCV STARS 15 Boys Red PEO,West Valley 2015 Boys Rose,0.0,7.0,2024-10-13,Tournaments Powered by Rated Sports ,2024 Scottsdale Cup,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,West Valley 2015 Boys Rose,2.0,3.0,2024-10-13,Tournaments Powered by Rated Sports ,2024 Scottsdale Cup,Rose Mofford Sports Complex
Madison FC 15 Gold Boys,PRFC Scottsdale 16B Predator,4.0,1.0,2025-10-05,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Madison FC 15 Gold Boys,U-11 (2015) Boys Pre Academy Blue,1.0,3.0,2025-10-04,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Madison FC 15 Gold Boys,State 48 FC 15 Black,0.0,0.0,2025-03-29,Academy League,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
2015 Boys Yellow,Madison FC 15 Gold Boys,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
15B Blue Arviso #1,Madison FC 15 Gold Boys,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
15 Boys Soul Warriors,15 Pre-MLS Next #2,3.0,1.0,2025-09-21,Tournaments,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
15 Pre-MLS Next #2,BVBIA ARIZONA BLACK & YELLOW 2015,7.0,0.0,2025-09-21,Tournaments,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
15 Boys Soul Warriors,15 Pre-MLS Next #2,4.0,1.0,2025-09-20,Tournaments,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
15 Pre-MLS Next #2,PRFC Scottsdale 15B Samba,5.0,0.0,2025-09-20,Tournaments,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
15 Boys Soul Warriors,Renegades 15B,0.0,4.0,2025-09-21,Tournaments,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
15 Boys Soul Warriors,PRFC Scottsdale 15B Samba,0.0,3.0,2025-09-20,Tournaments,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
15 Boys Soul Warriors,FDI 2015,2.0,4.0,2025-05-25,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F- Thorpe Multipurpose Fields (FSC)
15 Boys Soul Warriors,Flagstaff Revolution 2015 Boys,1.0,2.0,2025-05-25,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F- Thorpe Multipurpose Fields (FSC)
15 Boys Soul Warriors,FDI 2015,2.0,4.0,2025-05-24,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F- Thorpe Multipurpose Fields (FSC)
15 Boys Soul Warriors,Dorados Reserve 2015,2.0,3.0,2025-05-24,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F- Thorpe Multipurpose Fields (FSC)
15 Boys Soul Warriors,15B Garza/Bernal-1,2.0,7.0,2025-04-06,CDO Challenge Cup,CDO Challenge Cup 2025,Kino Sports Complex
15 Boys Soul Warriors,Santos 15B,3.0,4.0,2025-04-05,CDO Challenge Cup,CDO Challenge Cup 2025,Kino Sports Complex
15 Boys Soul Warriors,Wolves 15B,2.0,3.0,2025-03-22,Pima Cup,PCJSL 2025 U9 - 19 Pima Cup Friendlies,Himmel
15 Boys Soul Warriors,15B Becerra,5.0,3.0,2025-03-22,Pima Cup,PCJSL 2025 U9 - 19 Pima Cup Friendlies,Himmel
15 Boys Soul Warriors,15B Garza/Bernal 2,0.0,6.0,2025-03-15,Pima Cup,PCJSL 2025 U9 - 19 Pima Cup Friendlies,Himmel
15 Boys Soul Warriors,2015/16B Valenzuela Nogales,0.0,3.0,2025-03-15,Pima Cup,PCJSL 2025 U9 - 19 Pima Cup Friendlies,Himmel
15 Boys Soul Warriors,15B Blue Montoya #1,0.0,3.0,2025-03-08,PCJSL League Play 2024/25,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
15 Boys Soul Warriors,Santos 15B,1.0,2.0,2025-02-16,Jacobs Classic,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
15 Boys Soul Warriors,RSLAZ Southern 15B Rayados Blue,3.0,1.0,2025-02-15,Jacobs Classic,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
15 Boys Soul Warriors,Chelsea 15B2,2.0,1.0,2025-02-15,Jacobs Classic,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
15 Boys Soul Warriors,15B Blue Arviso #1,2.0,6.0,2025-02-08,PCJSL League Play 2024/25,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
15 Boys Soul Warriors,15B Blue Montoya #1,1.0,4.0,2025-02-01,PCJSL League Play 2024/25,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
15 Boys Soul Warriors,Freedom Roadrunners,3.0,1.0,2025-01-19,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15 Boys Soul Warriors,Empire 15B,2.0,4.0,2025-01-19,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15 Boys Soul Warriors,Empire 15B,5.0,3.0,2025-01-18,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15 Boys Soul Warriors,2015/16B Valenzuela Nogales,0.0,7.0,2025-01-18,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15 Boys Soul Warriors,15B Blue Arviso #1,3.0,0.0,2025-01-11,PCJSL League Play 2024/25,PCJSL 2024/25 - Winter Session U9 - U15,Himmel
15 Boys Soul Warriors,15B Bernal/Garza 2,0.0,0.0,2024-11-16,PCJSL League Play 2024/25,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
15 Boys Soul Warriors,15B Blue West #1,3.0,1.0,2024-11-02,PCJSL League Play 2024/25,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
15 Boys Soul Warriors,15B Bernal/Garza 2,4.0,1.0,2024-10-20,CDO Southwest Showdown,CDO Southwest Showdown 2024,Kino Sports Complex
15 Boys Soul Warriors,Tuzos Nogales 2015,1.0,9.0,2024-10-19,CDO Southwest Showdown,CDO Southwest Showdown 2024,Kino Sports Complex
15 Boys Soul Warriors,CDO 16B Premier,0.0,4.0,2024-10-19,CDO Southwest Showdown,CDO Southwest Showdown 2024,Kino Sports Complex
15 Boys Soul Warriors,CDO 15B Elite,1.0,1.0,2024-10-18,CDO Southwest Showdown,CDO Southwest Showdown 2024,Kino Sports Complex
PRFC Desert Foothills 15B Predator,Tuzos Royals 2015,1.0,7.0,2025-09-28,The Derby 2025,The Derby 2025,Reata Sports Complex
FSC United 15 Boys,PRFC Desert Foothills 15B Predator,15.0,0.0,2025-09-27,The Derby 2025,The Derby 2025,Reata Sports Complex
PRFC Desert Foothills 15B Predator,Tuzos Royals 2015,0.0,0.0,2025-09-26,The Derby 2025,The Derby 2025,Reata Sports Complex
La Piedad FC 2015,PRFC Desert Foothills 15B Predator,5.0,3.0,2025-09-20,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Eagles Park (ASA)
FC Arizona 15B Black GFC Cuevas U11,PRFC Desert Foothills 15B Predator,0.0,9.0,2025-09-13,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Horseshoe Trails Elementary (PRFC-DF)
PRFC Desert Foothills 15B Predator,PRFC West Valley 15B Predator,5.0,3.0,2025-04-12,Rivalries Cup,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys Teal 1 OC,PRFC Desert Foothills 15B Predator,1.0,8.0,2025-04-12,Rivalries Cup,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
Amore 2014 Boys,PRFC Desert Foothills 15B Predator,6.0,3.0,2025-04-06,Yavapai,Yavapai All Boys Tournament 2025,Pioneer Park Prescott
CCV STARS 14 Boys Navy SUR,PRFC Desert Foothills 15B Predator,4.0,1.0,2025-04-05,Yavapai,Yavapai All Boys Tournament 2025,Pioneer Park Prescott
PRFC Desert Foothills 15B Predator,PRFC West Valley 15B Copa,2.0,2.0,2025-04-05,Yavapai,Yavapai All Boys Tournament 2025,Pioneer Park Prescott
14B E64 #2,PRFC Desert Foothills 15B Predator,0.0,1.0,2025-03-23,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
NOS Santos 14 Boys White,PRFC Desert Foothills 15B Predator,1.0,4.0,2025-03-22,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
FC ARIZONA 14 GFC VELAZCO,PRFC Desert Foothills 15B Predator,5.0,4.0,2025-03-22,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
PRFC Desert Foothills 15B Predator,Pima Surf Academy Boys 15,1.0,3.0,2025-03-08,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Naranja Park
Legends FC AZ 15B Gold,PRFC Desert Foothills 15B Predator,2.0,2.0,2025-03-02,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Pinnacle Park- East and West
OJB FC 2015 Boys*,PRFC Desert Foothills 15B Predator,3.0,6.0,2025-02-22,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Horseshoe Trails Elementary (PRFC-DF)
PRFC Desert Foothills 15B Predator,Verde Valley United FC,3.0,2.0,2025-02-09,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Next Level Soccer Southeast 2014 Boys Green,PRFC Desert Foothills 15B Predator,1.0,4.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Blue,PRFC Desert Foothills 15B Predator,5.0,2.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
PRFC Desert Foothills 15B Predator,PRFC West Valley 15B Predator,1.0,5.0,2025-02-01,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Horseshoe Trails Elementary (PRFC-DF)
CCV STARS 15 Boys White PEO,PRFC Desert Foothills 15B Predator,4.0,0.0,2025-01-25,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Stars SC - Peoria  NW - Open League 
CCV STARS 15 Boys White PEO,PRFC Desert Foothills 15B Predator,2.0,4.0,2025-01-18,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Horseshoe Trails Elementary (PRFC-DF)
PRFC Desert Foothills 15B Predator,State 48 FC 14 White,1.0,2.0,2025-01-12,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Kingman SC B14 McGill,PRFC Desert Foothills 15B Predator,8.0,1.0,2025-01-11,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
CCV STARS 14 Boys White PEO,PRFC Desert Foothills 15B Predator,3.0,1.0,2025-01-10,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Atletico Tuzos Mesa 2014,PRFC Desert Foothills 15B Predator,3.0,0.0,2024-12-15,Holiday Classic,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
AZSC 15B White,PRFC Desert Foothills 15B Predator,1.0,1.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
14B Hermanson 1,PRFC Desert Foothills 15B Predator,2.0,4.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
CCV STARS 15 Boys Orange SUR,PRFC Desert Foothills 15B Predator,1.0,1.0,2024-11-02,2025 Rush Cup ,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
2016 Boys (Pena),PRFC Desert Foothills 15B Predator,1.0,8.0,2024-10-27,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Brazas 2015 Boys Gold Diego Rangel,PRFC Desert Foothills 15B Predator,6.0,1.0,2024-10-25,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
15B NJMarkette,PRFC Desert Foothills 16B Predator,2.0,2.0,2025-10-11,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Horseshoe Trails Elementary (PRFC-DF)
15B NJMarkette,AZ Arsenal 16 Boys Teal OC,0.0,0.0,2025-10-04,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Snedigar Sports Complex (RSL- S)
15B NJMarkette,PRFC West Valley 15B Predator,0.0,8.0,2025-09-20,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Friendship Park (PRFC - WV)
15B NJMarkette,16B KChacon,2.0,1.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15B NJMarkette,NMSA 2015 Boys,1.0,0.0,2025-03-23,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15B NJMarkette,Next Level Soccer Northwest 2015 Boys Red,0.0,0.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15B NJMarkette,FCDA 15B Pre - Academy,4.0,1.0,2025-03-21,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15B NJMarkette,Tuzos Edwin 2015,3.0,5.0,2025-03-09,Ostrich Festival,2025 Ostrich Festival,Reata Sports Complex
15B NJMarkette,RSLAZ Southern 15B Rayados Blue,2.0,0.0,2025-03-08,Ostrich Festival,2025 Ostrich Festival,Reata Sports Complex
15B NJMarkette,16B Mendez GSA,5.0,2.0,2025-03-08,Ostrich Festival,2025 Ostrich Festival,Reata Sports Complex
15B NJMarkette,RSL-AZ South 15B Corral,5.0,4.0,2025-02-23,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
15B NJMarkette,AZ Arsenal 15 Boys Flagstaff,2.0,8.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
15B NJMarkette,PRFC Scottsdale 15B Samba,6.0,2.0,2025-02-21,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
15B NJMarkette,Prime FC 2015 Boys,8.0,1.0,2025-01-19,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15B NJMarkette,BVB International Academy - BVB15 - Black,3.0,3.0,2025-01-18,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15B NJMarkette,Vanguardia Cougars Hermosillo 2015,3.0,4.0,2025-01-18,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
15B NJMarkette,EV-NSFC 15 Boys Perez(1),4.0,1.0,2024-12-15,Holiday Classic,RSL-AZ Holiday Classic 2024,
15B NJMarkette,PRFC Southeast Valley 15B Copa,7.0,0.0,2024-12-15,Holiday Classic,RSL-AZ Holiday Classic 2024,
15B Blue Montoya #1,15B NJMarkette,3.0,7.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
15B NJMarkette,15B Vyas,2.0,3.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
15B NJMarkette,Legends FC AZ 15B FC,0.0,0.0,2024-12-01,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Reata Sports Complex
15B NJMarkette,CCV STARS 15 Boys LAV,0.0,1.0,2024-12-01,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Reata Sports Complex
15B NJMarkette,Club Campestre Juárez U10 Azul,0.0,1.0,2024-11-30,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Reata Sports Complex
15B NJMarkette,Legends FC AZ 15B FC,1.0,4.0,2024-11-30,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Reata Sports Complex
East Valley NSFC 15 Boys Klein,Synergy FC 15/16B Montone,0.0,14.0,2025-10-04,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Paseo Verde
BRAZAS FC 2015 Boys White,Synergy FC 15/16B Montone,0.0,3.0,2025-09-20,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Paseo Verde
15B Overlin,Synergy FC 15/16B Montone,3.0,5.0,2025-09-14,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
AZ Arsenal 15 Boys Teal CE,Synergy FC 15/16B Montone,4.0,2.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15B IGerman,Synergy FC 15/16B Montone,4.0,0.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
2015 Rush Boys,Synergy FC 15/16B Montone,1.0,2.0,2025-08-31,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
AZEV B2015 (NAVY),Synergy FC 15/16B Montone,0.0,7.0,2025-08-29,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Dynamos SC 15B SC,U-11 (2015) Boys Pre Academy Blue,2.0,3.0,2025-10-05,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Dynamos SC 15B SC,PRFC Scottsdale 16B Predator,4.0,3.0,2025-09-28,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Dynamos SC 15B SC,U-11 (2015) Boys Pre Academy Blue,2.0,2.0,2025-09-06,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
Dynamos SC 15B SC,SC Del Sol San Luis,1.0,0.0,2025-09-06,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
PRFC Desert Foothills 16B Predator,PRFC West Valley 15B Predator,0.0,0.0,2025-10-04,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Festival Field (PRFC - WV)
PRFC Southeast Valley 15B Predator,PRFC West Valley 15B Predator,0.0,0.0,2025-09-27,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Red Mountain Soccer Complex North (PRFC SEV)
AZ Arsenal 16 Boys Teal OC,PRFC West Valley 15B Predator,0.0,10.0,2025-09-13,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Arizona Athletic Grounds
2016B Locomotive EPPL Valcarcel-LC,La Piedad FC 2015,0.0,0.0,2025-10-12,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
AZ Arsenal 15 Boys Select,La Piedad FC 2015,11.0,1.0,2025-10-11,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal BD,La Piedad FC 2015,1.0,8.0,2025-10-11,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
BRAZAS FC 2015 Boys White,La Piedad FC 2015,0.0,8.0,2025-10-10,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
FC Arizona 15B Black GFC Cuevas U11,La Piedad FC 2015,0.0,0.0,2025-09-27,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Copper Sky (ASA)
La Piedad FC 2015,Pre-ECNL RL B15,11.0,2.0,2025-09-13,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Arizona Athletic Grounds
La Piedad FC 2015,Select 15B Red,6.0,3.0,2025-09-07,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
La Piedad FC 2015,Tuzos 2015 Nava,0.0,4.0,2025-09-07,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
La Piedad FC 2015,Select 15B Red,4.0,1.0,2025-09-06,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
Dorados Reserve 2015,La Piedad FC 2015,4.0,4.0,2025-03-30,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
La Piedad FC 2015,Salsa 2015,0.0,14.0,2025-03-29,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
La Piedad FC 2015,Tuzos Edwin 2015,3.0,5.0,2025-03-29,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
AZSC 15B Gold,La Piedad FC 2015,15.0,1.0,2025-03-22,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
2015 Rush Boys,La Piedad FC 2015,7.0,3.0,2025-03-21,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
La Piedad FC 2015,Phoenix Premier FC 15B CG,7.0,4.0,2025-03-16,INFERNO CUP,INFERNO CUP 2025,West Valley Events Complex
FDI 2015,La Piedad FC 2015,0.0,1.0,2025-03-16,INFERNO CUP,INFERNO CUP 2025,West Valley Events Complex
La Piedad FC 2015,Next Level Soccer Southeast 2016 Boys Black,0.0,6.0,2025-03-15,INFERNO CUP,INFERNO CUP 2025,West Valley Events Complex
Brazas 2015 Boys White Diego Lopez,La Piedad FC 2015,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
EV-NSFC 15 Boys Tiggs(2),La Piedad FC 2015,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
La Piedad FC 2015,RYSC 2015,0.0,6.0,2024-11-03,2025 Rush Cup ,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
La Piedad FC 2015,State 48 FC Verrado 15 White,2.0,7.0,2024-11-03,2025 Rush Cup ,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
La Piedad FC 2015,Salsa 2015,10.0,1.0,2024-11-02,2025 Rush Cup ,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
La Piedad FC 2015,Scottsdale 15 Sandsharks Black,1.0,7.0,2024-11-02,2025 Rush Cup ,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
CAC 15/16B (Conroy),Pima Surf Academy Boys 15,3.0,4.0,2025-09-27,Socctoberfest,2025 FC Sonora Socctoberfest,Rillito
CDO 15B Elite,Pima Surf Academy Boys 15,2.0,3.0,2025-09-27,Socctoberfest,2025 FC Sonora Socctoberfest,Rillito
2015 Rush Boys,Pima Surf Academy Boys 15,1.0,4.0,2025-09-13,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Naranja Park
FDI 2015,Pima Surf Academy Boys 15,3.0,2.0,2025-09-06,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Naranja Park
Kingman SC B14 McGill,Pima Surf Academy Boys 15,0.0,7.0,2025-05-25,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F-Northern Arizona University
Pima Surf Academy Boys 15,Verde Valley United FC,0.0,5.0,2025-05-24,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F-Northern Arizona University
FSC United 15 Boys,Pima Surf Academy Boys 15,0.0,8.0,2025-05-24,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F-Northern Arizona University
2014B Felix Nogales,Pima Surf Academy Boys 15,5.0,3.0,2025-04-06,CDO Challenge Cup,CDO Challenge Cup 2025,Kino Sports Complex
14B Hermanson 2,Pima Surf Academy Boys 15,0.0,3.0,2025-04-05,CDO Challenge Cup,CDO Challenge Cup 2025,Kino Sports Complex
Pima Surf Academy Boys 15,VSC 2014 Boys White,2.0,4.0,2025-04-04,CDO Challenge Cup,CDO Challenge Cup 2025,Kino Sports Complex
FCDA 14B Academy,Pima Surf Academy Boys 15,0.0,0.0,2025-03-16,Arizona Athletic Grounds Tournament Series,2025 Pima County Surf Challenge,Arizona Athletic Grounds
Pima Surf Academy Boys 14,Pima Surf Academy Boys 15,1.0,5.0,2025-03-16,Arizona Athletic Grounds Tournament Series,2025 Pima County Surf Challenge,Arizona Athletic Grounds
Pima Surf Academy Boys 15,SC Union Cobras El Paso 2015,5.0,1.0,2025-03-15,Arizona Athletic Grounds Tournament Series,2025 Pima County Surf Challenge,Arizona Athletic Grounds
Kingman SC B14 McGill,Pima Surf Academy Boys 15,5.0,0.0,2025-03-15,Arizona Athletic Grounds Tournament Series,2025 Pima County Surf Challenge,Arizona Athletic Grounds
CCV STARS 15 Boys White PEO,Pima Surf Academy Boys 15,4.0,4.0,2025-03-01,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Stars SC - Peoria  NW - Open League 
Legends FC AZ 15B Gold,Pima Surf Academy Boys 15,1.0,5.0,2025-03-01,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Pinnacle Park- East and West
OJB FC 2015 Boys*,Pima Surf Academy Boys 15,1.0,5.0,2025-02-22,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Friendship Park
14B Moore,Pima Surf Academy Boys 15,5.0,6.0,2025-02-16,Jacobs Classic,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
14B Hermanson 2,Pima Surf Academy Boys 15,1.0,1.0,2025-02-15,Jacobs Classic,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
14B Blue #2,Pima Surf Academy Boys 15,1.0,0.0,2025-02-14,Jacobs Classic,2025 RSL Jacobs Classic,Tucson Kino South Complex (ASA)
Legends FC AZ 15B Gold,Pima Surf Academy Boys 15,2.0,0.0,2025-02-01,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Naranja Park
15B Garza/Bernal-1,Pima Surf Academy Boys 15,8.0,1.0,2025-01-19,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
Pima Surf Academy Boys 15,Santos 15B,3.0,2.0,2025-01-18,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
Pima Surf Academy Boys 15,RSLAZ Southern 15B Rayados Blue,2.0,5.0,2025-01-18,Fort Lowell Shootout,Fort Lowell Shootout 2025,Tucson Kino Main Complex (ASA)
PRFC West Valley 15B Predator,Pima Surf Academy Boys 15,1.0,8.0,2025-01-11,Futsal B and G ,2024-25 MaxinMotion Open League Season 2,Friendship Park (PRFC - WV)
CDO 15B Elite,Pima Surf Academy Boys 15,2.0,9.0,2024-11-14,PCJSL League Play 2024/25,PCJSL 2024/25 - Fall Session U9 - U19,Naranja Park
Pima Surf Academy Boys 15,RSLAZ Southern 15B Rayados White,1.0,2.0,2024-11-11,Arizona Select Clubs Showcase,Arizona Select Clubs Showcase 2024,Tucson Kino South Complex (ASA)
