Team A,Team B,Score A,Score B,Date,Competition,Event,Venue
Phoenix United 2014 Academy,Southeast 2015 Boys Red,3.0,3.0,2025-04-04,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
Legends FC AZ 14B FC,Southeast 2015 Boys Red,1.0,0.0,2025-03-30,Tournaments Powered by Rated Sports ,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Next Level Soccer Northwest 2014 Boys,Southeast 2015 Boys Red,0.0,3.0,2025-03-30,Tournaments Powered by Rated Sports ,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Legends FC AZ 14B FC,Southeast 2015 Boys Red,0.0,1.0,2025-03-29,Tournaments Powered by Rated Sports ,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
CCV STARS 14 Boys Orange LAV,Southeast 2015 Boys Red,0.0,2.0,2025-03-29,Tournaments Powered by Rated Sports ,2025 Arizona Academy Cup | Powered By Rated Sports,Reata Sports Complex
Legends FC AZ 14B FC,Southeast 2015 Boys Red,5.0,4.0,2025-02-23,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
14B JCFresquez Pre-MLS Next,Southeast 2015 Boys Red,1.0,2.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
14,Southeast 2015 Boys Red,4.0,5.0,2025-02-21,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
14,Southeast 2015 Boys Red,0.0,0.0,2025-01-26,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Phoenix Premier FC 14B Black,Southeast 2015 Boys Red,3.0,2.0,2025-01-25,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
2014B West,Southeast 2015 Boys Red,1.0,1.0,2025-01-25,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
CCV STARS 14 Boys Orange PEO,Southeast 2015 Boys Red,2.0,3.0,2025-01-12,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
14B Velasco Pre-MLS Next,Southeast 2015 Boys Red,3.0,2.0,2025-01-11,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
2014B West,Southeast 2015 Boys Red,3.0,2.0,2025-01-10,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Southeast 2015 Boys Red,Utah United Academy 2015,3.0,5.0,2024-12-15,Holiday Classic,RSL-AZ Holiday Classic 2024,
PRFC Scottsdale 16B Predator,Southeast 2015 Boys Red,3.0,1.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
PRFC Scottsdale 15B Copa,Southeast 2015 Boys Red,0.0,6.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
Legends FC AZ 15B Gold,Southeast 2015 Boys Red,1.0,13.0,2024-12-08,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
CCV STARS 15 Boys Orange PEO,Southeast 2015 Boys Red,2.0,1.0,2024-12-08,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Southeast 2015 Boys Red,State 48 FC Verrado 15/16 Black,0.0,5.0,2024-12-07,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
CCV STARS 15 Boys Orange PEO,Southeast 2015 Boys Red,3.0,0.0,2024-12-06,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Next Level Soccer Northwest 2015 Boys Black,Southeast 2015 Boys Red,0.0,3.0,2024-11-10,Kick for the Cure,Kick for the Cure 2024,West Valley Events Complex - Field
Excel Soccer Academy 15 Red,Southeast 2015 Boys Red,10.0,5.0,2024-11-10,Kick for the Cure,Kick for the Cure 2024,West Valley Events Complex - Field
2014B West,Southeast 2015 Boys Red,4.0,4.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,West Valley Events Complex - Field
AZSC 14B Perez,Southeast 2015 Boys Red,4.0,5.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,West Valley Events Complex - Field
Idaho Rush 14 Blue,Southeast 2015 Boys Red,1.0,4.0,2024-10-20,The Fiesta Cup ,2024 The Fiesta Cup ,Bell 94 Soccer Complex (FC Arizona) 
Next Level Soccer Northwest 2014 Boys,Southeast 2015 Boys Red,5.0,1.0,2024-10-19,The Fiesta Cup ,2024 The Fiesta Cup ,Bell 94 Soccer Complex (FC Arizona) 
Next Level Soccer Southeast 2014 Boys Red,Southeast 2015 Boys Red,2.0,3.0,2024-10-18,The Fiesta Cup ,2024 The Fiesta Cup ,Bell 94 Soccer Complex (FC Arizona) 
Pre MLS NEXT Black '15,Southeast 2015 Boys Black,0.0,0.0,2025-10-12,Cup Fall,EDP Cup Fall 2025,Tuckahoe Turf Farm
Coppermine SC 2015 Boys Pre-Academy I,Southeast 2015 Boys Black,3.0,2.0,2025-10-11,Cup Fall,EDP Cup Fall 2025,Tuckahoe Turf Farm
Southeast 2015 Boys Black,Valencia 2015 Black,0.0,0.0,2025-10-11,Cup Fall,EDP Cup Fall 2025,Tuckahoe Turf Farm
Southeast 2015 Boys Black,Sting Attack B15 A Sarmiento Elite,2.0,1.0,2025-06-15,Premier SuperCopa,SuperCopa 2025,RAC (Regional Athletic Complex)
Las Vegas Sports Academy U10 Boys Red 2015,Southeast 2015 Boys Black,2.0,0.0,2025-06-15,Premier SuperCopa,SuperCopa 2025,RAC (Regional Athletic Complex)
Southeast 2015 Boys Black,Utah United Academy 2015,2.0,1.0,2025-06-14,Premier SuperCopa,SuperCopa 2025,RAC (Regional Athletic Complex)
Southeast 2015 Boys Black,St. Louis Scott Gallagher MO B 2015 Academy Green,3.0,2.0,2025-06-13,Premier SuperCopa,SuperCopa 2025,RAC (Regional Athletic Complex)
Hawaii Rush 15B,Southeast 2015 Boys Black,2.0,2.0,2025-06-12,Premier SuperCopa,SuperCopa 2025,RAC (Regional Athletic Complex)
Raiders FC 2015,Southeast 2015 Boys Black,4.0,2.0,2025-06-12,Premier SuperCopa,SuperCopa 2025,RAC (Regional Athletic Complex)
2014 Locomotive Blue,Southeast 2015 Boys Black,0.0,1.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Southeast 2015 Boys Black,Tuzos Royals 2014,3.0,2.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Scottsdale Sports Complex (Rated Sports)
Phoenix United 14 Elite,Southeast 2015 Boys Black,3.0,2.0,2025-03-21,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Scottsdale Sports Complex (Rated Sports)
Southeast 2015 Boys Black,U-11 (2014) Boys Yuma,0.0,2.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
15B Chacon,Southeast 2015 Boys Black,1.0,2.0,2025-02-07,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
AZ Arsenal Pre-ECNL B14,Southeast 2015 Boys Black,1.0,2.0,2025-02-06,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Las Vegas Sports Academy U10 Boys Red 2015,Southeast 2015 Boys Black,0.0,2.0,2025-01-20,Vegas Cup,Vegas Cup 2025,James Regional Park
B15 Elite,Southeast 2015 Boys Black,1.0,0.0,2025-01-19,Vegas Cup,Vegas Cup 2025,All-American Park
Southeast 2015 Boys Black,Sting Pre ECNL B15 O Reyes,1.0,1.0,2025-01-19,Vegas Cup,Vegas Cup 2025,All-American Park
Southeast 2015 Boys Black,XF B15 RCL1,3.0,0.0,2025-01-18,Vegas Cup,Vegas Cup 2025,All-American Park
BVB 14B Puma (F: AYSES 14B Black),Southeast 2015 Boys Black,0.0,0.0,2025-01-05,New Year's Futures Cup,New Year's Futures Cup 2025,Reach 11 Sports Complex
Next Level Soccer Northwest 2015 Boys Black,Southeast 2015 Boys Black,0.0,3.0,2025-01-04,New Year's Futures Cup,New Year's Futures Cup 2025,Reach 11 Sports Complex
14B JCFresquez Pre-MLS Next,Southeast 2015 Boys Black,1.0,4.0,2025-01-04,New Year's Futures Cup,New Year's Futures Cup 2025,Reach 11 Sports Complex
14,Southeast 2015 Boys Black,1.0,0.0,2025-01-03,New Year's Futures Cup,New Year's Futures Cup 2025,Reach 11 Sports Complex
Madison FC 14 Gold Boys Storm,Southeast 2015 Boys Black,1.0,3.0,2024-12-15,Holiday Classic,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
Southeast 2015 Boys Black,Tuzos Royals 2014,1.0,1.0,2024-12-15,Holiday Classic,RSL-AZ Holiday Classic 2024,Reach 11 Sports Complex
