Team A,Team B,Score A,Score B,Date,Competition,Venue
Next Level Soccer Northwest 2015 Boys Black,AZ Arsenal 15 Boys Teal 1 JZ,7,0,2024-12-07,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
TFA-SELA B2015 Red,AZ Arsenal 15 Boys Teal 1 JZ,6,1,2024-12-06,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
AZ Arsenal 15 Boys Teal 1 JZ,TFA-SELA B2015 Red,1,6,2024-12-06,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
AZ Arsenal 15 Boys Teal 1 JZ,Tuzos Academy Mesa 2015,6,1,2024-11-23,2024-25 MaxinMotion Open League Season 1,Arizona Athletic Grounds
Tuzos Academy Mesa 2015,AZ Arsenal 15 Boys Teal 1 JZ,1,6,2024-11-23,2024-25 MaxinMotion Open League Season 1,Arizona Athletic Grounds
AZSC 15B Navy,AZ Arsenal 15 Boys Teal 1 JZ,3,4,2024-11-17,2024-25 MaxinMotion Open League Season 1,Crossroads Park (AZSC)
AZ Arsenal 15 Boys Teal 1 JZ,AZSC 15B Navy,4,3,2024-11-17,2024-25 MaxinMotion Open League Season 1,Crossroads Park (AZSC)
State 48 FC 14 White,AZ Arsenal 15 Boys Teal 1 JZ,1,6,2024-11-09,2024-25 MaxinMotion Open League Season 1,Gateway Park
AZ Arsenal 15 Boys Teal 1 JZ,State 48 FC 14 White,6,1,2024-11-09,2024-25 MaxinMotion Open League Season 1,Gateway Park
AZ Arsenal 15 Boys Teal 1 JZ,Next Level Soccer Northwest 2014 Boys,2,1,2024-11-03,2024 Rush Cup ,Rose Mofford (Rush Cup)
Next Level Soccer Northwest 2014 Boys,AZ Arsenal 15 Boys Teal 1 JZ,1,2,2024-11-03,2024 Rush Cup ,Rose Mofford (Rush Cup)
AZ Arsenal 15 Boys Teal 1 JZ,14,1,4,2024-11-03,2024 Rush Cup ,Rose Mofford (Rush Cup)
14,AZ Arsenal 15 Boys Teal 1 JZ,4,1,2024-11-03,2024 Rush Cup ,Rose Mofford (Rush Cup)
Tuzos Academy Mesa 2014,AZ Arsenal 15 Boys Teal 1 JZ,3,3,2024-11-02,2024 Rush Cup ,Rose Mofford (Rush Cup)
AZ Arsenal 15 Boys Teal 1 JZ,Tuzos Academy Mesa 2014,3,3,2024-11-02,2024 Rush Cup ,Rose Mofford (Rush Cup)
AZ Arsenal 15 Boys Teal 1 JZ,14B Engilman,5,3,2024-11-02,2024 Rush Cup ,Rose Mofford (Rush Cup)
14B Engilman,AZ Arsenal 15 Boys Teal 1 JZ,3,5,2024-11-02,2024 Rush Cup ,Rose Mofford (Rush Cup)
CCV STARS 14 Boys Navy SUR,AZ Arsenal 15 Boys Teal 1 JZ,0,8,2024-10-26,2024-25 MaxinMotion Open League Season 1,CCV Surprise Club Fields
AZ Arsenal 15 Boys Teal 1 JZ,CCV STARS 14 Boys Navy SUR,8,0,2024-10-26,2024-25 MaxinMotion Open League Season 1,CCV Surprise Club Fields
AZ Arsenal 15 Boys Teal 1 JZ,PRFC Southeast Valley 15B Predator,1,2,2024-10-24,2024-25 MaxinMotion Open League Season 1,Arizona Athletic Grounds
PRFC Southeast Valley 15B Predator,AZ Arsenal 15 Boys Teal 1 JZ,2,1,2024-10-24,2024-25 MaxinMotion Open League Season 1,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,NM Rapids 2015B Wolfpack,2,4,2024-10-13,Arsenal Challenge 2024,Arizona Athletic Grounds (AASC Tournaments)
NM Rapids 2015B Wolfpack,AZ Arsenal 15 Boys Teal 1 JZ,4,2,2024-10-13,Arsenal Challenge 2024,Arizona Athletic Grounds (AASC Tournaments)
Chelsea 15B,15/16B Valenzuela Nogales,7,0,2025-09-28,2025 FC Sonora Socctoberfest,Rillito
15/16B Valenzuela Nogales,Chelsea 15B,0,7,2025-09-28,2025 FC Sonora Socctoberfest,Rillito
Chelsea 15B,Pima Surf Academy Boys 15,3,2,2025-09-28,2025 FC Sonora Socctoberfest,Rillito
Pima Surf Academy Boys 15,Chelsea 15B,2,3,2025-09-28,2025 FC Sonora Socctoberfest,Rillito
Renegades 15B,Chelsea 15B,0,8,2025-09-27,2025 FC Sonora Socctoberfest,Rillito
Chelsea 15B,Renegades 15B,8,0,2025-09-27,2025 FC Sonora Socctoberfest,Rillito
Chelsea 15B,15/16B Valenzuela Nogales,9,2,2025-09-27,2025 FC Sonora Socctoberfest,Rillito
15/16B Valenzuela Nogales,Chelsea 15B,2,9,2025-09-27,2025 FC Sonora Socctoberfest,Rillito
