Team A,Team B,Score A,Score B,Date,Competition,Venue
14 Boys Navy,Phoenix United 2015 Academy,2,1,2024-11-23,2024-25 MaxinMotion Open League Season 1,West Valley Events Complex - Field
Phoenix United 2015 Academy,2014 Boys Blue,5,0,2024-11-16,2024-25 MaxinMotion Open League Season 1,West Valley Events Complex - Field
2014 Boys Blue,Phoenix United 2015 Academy,0,5,2024-11-16,2024-25 MaxinMotion Open League Season 1,West Valley Events Complex - Field
14 Boys Navy,Phoenix United 2015 Academy,0,3,2024-11-10,Kick for the Cure 2024,Scottsdale Sports Complex (ASA)
Phoenix United 2015 Academy,14 Boys Navy,3,0,2024-11-10,Kick for the Cure 2024,Scottsdale Sports Complex (ASA)
Phoenix United 2015 Academy,2014 Boys Blue,4,1,2024-11-10,Kick for the Cure 2024,Scottsdale Sports Complex (ASA)
2014 Boys Blue,Phoenix United 2015 Academy,1,4,2024-11-10,Kick for the Cure 2024,Scottsdale Sports Complex (ASA)
Phoenix United 2015 Academy,Select 14B,8,0,2024-11-09,Kick for the Cure 2024,West Valley Events Complex - Field
Select 14B,Phoenix United 2015 Academy,0,8,2024-11-09,Kick for the Cure 2024,West Valley Events Complex - Field
Real Arizona 2014,Phoenix United 2015 Academy,3,4,2024-11-09,Kick for the Cure 2024,Scottsdale Sports Complex (ASA)
Phoenix United 2015 Academy,Real Arizona 2014,4,3,2024-11-09,Kick for the Cure 2024,Scottsdale Sports Complex (ASA)
East Valley NSFC 14 Boys Tiggs,Phoenix United 2015 Academy,0,8,2024-10-26,2024-25 MaxinMotion Open League Season 1,EV- EVNSFC Soccer Complex
Phoenix United 2015 Academy,East Valley NSFC 14 Boys Tiggs,8,0,2024-10-26,2024-25 MaxinMotion Open League Season 1,EV- EVNSFC Soccer Complex
14 Cityzens,Phoenix United 2015 Academy,4,5,2024-10-20,2024 The Fiesta Cup ,Bell 94 Soccer Complex (FC Arizona) 
Phoenix United 2015 Academy,14 Cityzens,5,4,2024-10-20,2024 The Fiesta Cup ,Bell 94 Soccer Complex (FC Arizona) 
Phoenix United 2015 Academy,Phoenix United FC 2014 Premier,3,4,2024-10-19,2024 The Fiesta Cup ,Bell 94 Soccer Complex (FC Arizona) 
Phoenix United FC 2014 Premier,Phoenix United 2015 Academy,4,3,2024-10-19,2024 The Fiesta Cup ,Bell 94 Soccer Complex (FC Arizona) 
Next Level Soccer Southeast 2014 Boys Green,Phoenix United 2015 Academy,3,0,2024-10-19,2024 The Fiesta Cup ,Bell 94 Soccer Complex (FC Arizona) 
Phoenix United 2015 Academy,Next Level Soccer Southeast 2014 Boys Green,0,3,2024-10-19,2024 The Fiesta Cup ,Bell 94 Soccer Complex (FC Arizona) 
Tuzos Royals 14 Academy,Phoenix United 2015 Academy,4,1,2024-10-13,2024 Scottsdale Cup,Bell94 Sports Complex
Phoenix United 2015 Academy,Tuzos Royals 14 Academy,1,4,2024-10-13,2024 Scottsdale Cup,Bell94 Sports Complex
Phoenix United 2015 Academy,FC ARIZONA 14 GFC VELAZCO,1,1,2024-10-12,2024 Scottsdale Cup,Scottsdale Sports Complex (Rated Sports)
FC ARIZONA 14 GFC VELAZCO,Phoenix United 2015 Academy,1,1,2024-10-12,2024 Scottsdale Cup,Scottsdale Sports Complex (Rated Sports)
AZ Inferno 14 Boys Black,Phoenix United 2015 Academy,0,0,2024-10-12,2024 Scottsdale Cup,Scottsdale Sports Complex (Rated Sports)
Phoenix United 2015 Academy,AZ Inferno 14 Boys Black,0,0,2024-10-12,2024 Scottsdale Cup,Scottsdale Sports Complex (Rated Sports)
East Valley NSFC 15 Boys Klein,2015 Boys Blue,0,0,2025-10-11,2025-26 MaxinMotion Open League Season 1,
2015 Boys Blue,East Valley NSFC 15 Boys Klein,0,0,2025-10-11,2025-26 MaxinMotion Open League Season 1,
2015 Boys Blue,CCV Stars 15 Boys South Orange,3,0,2025-10-04,2025-26 MaxinMotion Open League Season 1,West Valley Events Complex
CCV Stars 15 Boys South Orange,2015 Boys Blue,0,3,2025-10-04,2025-26 MaxinMotion Open League Season 1,West Valley Events Complex
FC Deportivo AZ 2015B (Gallegos),2015 Boys Blue,0,4,2025-09-20,2025-26 MaxinMotion Open League Season 1,ASU West
2015 Boys Blue,FC Deportivo AZ 2015B (Gallegos),4,0,2025-09-20,2025-26 MaxinMotion Open League Season 1,ASU West
2015 Boys Blue,East Valley NSFC 15 Boys Klein,8,0,2025-09-13,2025-26 MaxinMotion Open League Season 1,West Valley Events Complex
East Valley NSFC 15 Boys Klein,2015 Boys Blue,0,8,2025-09-13,2025-26 MaxinMotion Open League Season 1,West Valley Events Complex
BRAZAS FC 2015 Boys White,2015 Boys Blue,0,3,2025-09-06,2025-26 MaxinMotion Open League Season 1,S- Tempe Sports Complex (Brazas)
2015 Boys Blue,BRAZAS FC 2015 Boys White,3,0,2025-09-06,2025-26 MaxinMotion Open League Season 1,S- Tempe Sports Complex (Brazas)
PRFC West Valley 15B Samba,2015 Boys Blue,0,2,2025-04-27,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
2015 Boys Blue,PRFC West Valley 15B Samba,2,0,2025-04-27,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
CCV STARS 15 Boys Orange SUR,2015 Boys Blue,4,0,2025-04-27,2025 Arizona Presidents Cup,Reach 11 (ASA)
2015 Boys Blue,CCV STARS 15 Boys Orange SUR,0,4,2025-04-27,2025 Arizona Presidents Cup,Reach 11 (ASA)
2015 Boys Blue,Legends FC AZ 15B Gold,0,1,2025-04-26,2025 Arizona Presidents Cup,Reach 11 (ASA)
Legends FC AZ 15B Gold,2015 Boys Blue,1,0,2025-04-26,2025 Arizona Presidents Cup,Reach 11 (ASA)
2015 Boys Blue,Prescott Predators 15B Leick,4,1,2025-04-26,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
Prescott Predators 15B Leick,2015 Boys Blue,1,4,2025-04-26,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
U-10 (2015) Girls Pre Academy,2015 Boys Blue,1,2,2025-04-26,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
2015 Boys Blue,U-10 (2015) Girls Pre Academy,2,1,2025-04-26,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
2015 Boys Blue,AZSC 15B White,0,1,2025-04-13,2025 Arizona Presidents Cup,Reach 11 (ASA)
AZSC 15B White,2015 Boys Blue,1,0,2025-04-13,2025 Arizona Presidents Cup,Reach 11 (ASA)
CCV STARS 15 Boys Navy PEO,2015 Boys Blue,3,2,2025-04-12,2025 Arizona Presidents Cup,Reach 11 (ASA)
2015 Boys Blue,CCV STARS 15 Boys Navy PEO,2,3,2025-04-12,2025 Arizona Presidents Cup,Reach 11 (ASA)
Scottsdale 15 Sandsharks Select,2015 Boys Blue,6,1,2025-04-06,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
2015 Boys Blue,Scottsdale 15 Sandsharks Select,1,6,2025-04-06,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
2015 Boys Blue,EV-NSFC 15 Boys Perez(1),1,1,2025-04-05,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
EV-NSFC 15 Boys Perez(1),2015 Boys Blue,1,1,2025-04-05,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Phoenix 15/16B Blue,2015 Boys Blue,2,2,2025-04-05,Yavapai All Boys Tournament 2025,P- Antelope Park
2015 Boys Blue,Phoenix 15/16B Blue,2,2,2025-04-05,Yavapai All Boys Tournament 2025,P- Antelope Park
2015 Boys Blue,Desert xolos,0,4,2025-03-23,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Desert xolos,2015 Boys Blue,4,0,2025-03-23,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
2015 Boys Blue,Synergy FC 15/16B,1,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Synergy FC 15/16B,2015 Boys Blue,1,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15B Campos,2015 Boys Blue,0,3,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
2015 Boys Blue,15B Campos,3,0,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Players 15 Boys Junior Academy,2015 Boys Blue,0,1,2025-03-21,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
2015 Boys Blue,Players 15 Boys Junior Academy,1,0,2025-03-21,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
2015 Boys Blue,EV-NSFC 15 Boys Smith(3),0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
EV-NSFC 15 Boys Smith(3),2015 Boys Blue,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
PRFC Scottsdale 15B Gazelle,2015 Boys Blue,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
2015 Boys Blue,PRFC Scottsdale 15B Gazelle,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
West Valley 2015 Boys Rose,2015 Boys Blue,1,2,2025-02-23,AZFC Select Invitational 2025,West Valley Events Complex - Field
2015 Boys Blue,West Valley 2015 Boys Rose,2,1,2025-02-23,AZFC Select Invitational 2025,West Valley Events Complex - Field
2015 Boys Blue,16B Mendez GSA,1,2,2025-02-22,AZFC Select Invitational 2025,West Valley Events Complex - Field
16B Mendez GSA,2015 Boys Blue,2,1,2025-02-22,AZFC Select Invitational 2025,West Valley Events Complex - Field
State 48 FC Verrado 15 White,2015 Boys Blue,1,3,2025-02-22,AZFC Select Invitational 2025,West Valley Events Complex - Field
2015 Boys Blue,State 48 FC Verrado 15 White,3,1,2025-02-22,AZFC Select Invitational 2025,West Valley Events Complex - Field
Vegas United ‘15 Boys Elite,2015 Boys Blue,9,1,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
2015 Boys Blue,Vegas United ‘15 Boys Elite,1,9,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Green,2015 Boys Blue,0,1,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
2015 Boys Blue,Next Level Soccer Southeast 2015 Boys Green,1,0,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
2015 Boys Blue,EV-NSFC 15 Boys Perez(1),1,3,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
EV-NSFC 15 Boys Perez(1),2015 Boys Blue,3,1,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
Madison FC 2015 Boys Gold,2015 Boys Blue,2,2,2025-01-13,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
2015 Boys Blue,Madison FC 2015 Boys Gold,2,2,2025-01-13,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
State 48 FC Verrado 15/16 Black,2015 Boys Blue,4,0,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
2015 Boys Blue,State 48 FC Verrado 15/16 Black,0,4,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
2015 Boys Blue,PSG 15B Blue,1,4,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
PSG 15B Blue,2015 Boys Blue,4,1,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
2015 Boys Blue,15B Sanchez,5,1,2024-12-15,RSL-AZ Holiday Classic 2024,
15B Sanchez,2015 Boys Blue,1,5,2024-12-15,RSL-AZ Holiday Classic 2024,
2015 Boys Blue,PRFC West Valley 15B Samba,6,3,2024-12-15,RSL-AZ Holiday Classic 2024,
PRFC West Valley 15B Samba,2015 Boys Blue,3,6,2024-12-15,RSL-AZ Holiday Classic 2024,
Allen U9/U10,2015 Boys Blue,1,5,2024-12-14,RSL-AZ Holiday Classic 2024,
2015 Boys Blue,Allen U9/U10,5,1,2024-12-14,RSL-AZ Holiday Classic 2024,
CCV STARS 15 Boys Orange EAV,2015 Boys Blue,1,2,2024-12-14,RSL-AZ Holiday Classic 2024,
2015 Boys Blue,CCV STARS 15 Boys Orange EAV,2,1,2024-12-14,RSL-AZ Holiday Classic 2024,
2015 Boys Blue,2015 Boys Yellow,7,2,2024-11-10,Kick for the Cure 2024,Scottsdale Sports Complex (ASA)
2015 Boys Yellow,2015 Boys Blue,2,7,2024-11-10,Kick for the Cure 2024,Scottsdale Sports Complex (ASA)
2015 Boys Blue,15B Vyas,3,4,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
15B Vyas,2015 Boys Blue,4,3,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
CCV STARS 15 Boys Orange SUR,2015 Boys Blue,4,3,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
2015 Boys Blue,CCV STARS 15 Boys Orange SUR,3,4,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
2015 Rush Boys,2015 Boys Blue,1,0,2024-11-03,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
2015 Boys Blue,2015 Rush Boys,0,1,2024-11-03,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
West Valley 2015 Boys Rose,2015 Boys Blue,2,2,2024-11-02,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
2015 Boys Blue,West Valley 2015 Boys Rose,2,2,2024-11-02,2024 Rush Cup ,Scottsdale Sport Complex ( Rush Cup)
2015 Boys Blue,State 48 FC Verrado 15/16 Black,1,5,2024-11-02,2024 Rush Cup ,Rose Mofford (Rush Cup)
State 48 FC Verrado 15/16 Black,2015 Boys Blue,5,1,2024-11-02,2024 Rush Cup ,Rose Mofford (Rush Cup)
2015 Boys Blue,Deportivo Coras USA 2015,2,3,2024-10-27,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Deportivo Coras USA 2015,2015 Boys Blue,3,2,2024-10-27,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Blue,2015 Boys Blue,5,0,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
2015 Boys Blue,Next Level Soccer Southeast 2015 Boys Blue,0,5,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
2015 Boys Blue,PRFC Desert Foothills 15B Copa,5,0,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
PRFC Desert Foothills 15B Copa,2015 Boys Blue,0,5,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
2015 Boys Blue,Next Level Soccer Southeast 2015 Boys Green,0,1,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,2015 Boys Blue,1,0,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
CCV STARS 15 Boys White PEO,2015 Boys Blue,1,1,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
2015 Boys Blue,CCV STARS 15 Boys White PEO,1,1,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
2015 Boys Blue,FC Elite Arizona 2015 Boys,7,0,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
FC Elite Arizona 2015 Boys,2015 Boys Blue,0,7,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
15B OMolina,CCV Stars 15 Boys North Orange,1,2,2025-10-04,2025-26 MaxinMotion Open League Season 1,Snedigar Sports Complex (RSL- S)
CCV Stars 15 Boys North Orange,15B OMolina,2,1,2025-10-04,2025-26 MaxinMotion Open League Season 1,Snedigar Sports Complex (RSL- S)
CCV Stars 15 Boys North Orange,AZSC 2015B White,6,2,2025-09-27,2025-26 MaxinMotion Open League Season 1,Stars SC - Peoria  NW - Open League 
AZSC 2015B White,CCV Stars 15 Boys North Orange,2,6,2025-09-27,2025-26 MaxinMotion Open League Season 1,Stars SC - Peoria  NW - Open League 
CCV STARS 15 Boys Orange SUR,CCV STARS 15 Boys Navy PEO,4,1,2025-05-04,2025 Arizona Presidents Cup,Reach 11 (ASA)
CCV STARS 15 Boys Navy PEO,CCV STARS 15 Boys Orange SUR,1,4,2025-05-04,2025 Arizona Presidents Cup,Reach 11 (ASA)
Legends FC AZ 15B Gold,CCV STARS 15 Boys Navy PEO,2,3,2025-05-03,2025 Arizona Presidents Cup,Reach 11 (ASA)
CCV STARS 15 Boys Navy PEO,Legends FC AZ 15B Gold,3,2,2025-05-03,2025 Arizona Presidents Cup,Reach 11 (ASA)
CCV STARS 15 Boys Navy PEO,West Valley 2015 Boys Rose,4,1,2025-04-27,2025 Arizona Presidents Cup,Reach 11 (ASA)
West Valley 2015 Boys Rose,CCV STARS 15 Boys Navy PEO,1,4,2025-04-27,2025 Arizona Presidents Cup,Reach 11 (ASA)
West Valley 2015 Boys Rose,CCV STARS 15 Boys Navy PEO,0,4,2025-04-26,2025 Arizona Presidents Cup,Reach 11 (ASA)
CCV STARS 15 Boys Navy PEO,West Valley 2015 Boys Rose,4,0,2025-04-26,2025 Arizona Presidents Cup,Reach 11 (ASA)
CCV STARS 15 Boys Orange SUR,CCV STARS 15 Boys Navy PEO,3,2,2025-04-13,2025 Arizona Presidents Cup,Reach 11 (ASA)
CCV STARS 15 Boys Navy PEO,CCV STARS 15 Boys Orange SUR,2,3,2025-04-13,2025 Arizona Presidents Cup,Reach 11 (ASA)
CCV STARS 15 Boys Navy PEO,2015 Boys Blue,3,2,2025-04-12,2025 Arizona Presidents Cup,Reach 11 (ASA)
2015 Boys Blue,CCV STARS 15 Boys Navy PEO,2,3,2025-04-12,2025 Arizona Presidents Cup,Reach 11 (ASA)
CCV STARS 15 Boys Navy PEO,Scottsdale 14 Sandsharks Black,0,0,2025-03-23,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Scottsdale 14 Sandsharks Black,CCV STARS 15 Boys Navy PEO,0,0,2025-03-23,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Tuzos Royals 14 Pre-Academy,CCV STARS 15 Boys Navy PEO,2,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
CCV STARS 15 Boys Navy PEO,Tuzos Royals 14 Pre-Academy,1,2,2025-03-22,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Synergy FC 14 B,CCV STARS 15 Boys Navy PEO,1,5,2025-03-21,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
CCV STARS 15 Boys Navy PEO,Synergy FC 14 B,5,1,2025-03-21,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
CCV STARS 15 Boys Navy PEO,PRFC West Valley 15B Copa,3,4,2025-03-01,2024-25 MaxinMotion Open League Season 2,Stars SC - Peoria  NW - Open League 
PRFC West Valley 15B Copa,CCV STARS 15 Boys Navy PEO,4,3,2025-03-01,2024-25 MaxinMotion Open League Season 2,Stars SC - Peoria  NW - Open League 
AZ Arsenal 14 Boys Teal 2 SC,CCV STARS 15 Boys Navy PEO,3,2,2025-02-23,2025 Max Shacknai Invitational,Arizona Athletic Grounds
CCV STARS 15 Boys Navy PEO,AZ Arsenal 14 Boys Teal 2 SC,2,3,2025-02-23,2025 Max Shacknai Invitational,Arizona Athletic Grounds
CCV STARS 15 Boys Navy PEO,South 14B Burgundy,5,3,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
South 14B Burgundy,CCV STARS 15 Boys Navy PEO,3,5,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
PRFC Southeast Valley 14B Predator-Central,CCV STARS 15 Boys Navy PEO,0,0,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
CCV STARS 15 Boys Navy PEO,PRFC Southeast Valley 14B Predator-Central,0,0,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
PRFC Scottsdale 15B Predator,CCV STARS 15 Boys Navy PEO,8,0,2025-02-15,2024-25 MaxinMotion Open League Season 2,Scottsdale Chaparral Park 
CCV STARS 15 Boys Navy PEO,PRFC Scottsdale 15B Predator,0,8,2025-02-15,2024-25 MaxinMotion Open League Season 2,Scottsdale Chaparral Park 
AZSC 15B White,CCV STARS 15 Boys Navy PEO,2,4,2025-02-09,2024-25 MaxinMotion Open League Season 2,Crossroads Park (AZSC)
CCV STARS 15 Boys Navy PEO,AZSC 15B White,4,2,2025-02-09,2024-25 MaxinMotion Open League Season 2,Crossroads Park (AZSC)
CCV STARS 15 Boys Navy PEO,West Valley 2015 Boys Rose,4,0,2025-02-02,2024-25 MaxinMotion Open League Season 2,Stars SC - Peoria  NW - Open League 
West Valley 2015 Boys Rose,CCV STARS 15 Boys Navy PEO,0,4,2025-02-02,2024-25 MaxinMotion Open League Season 2,Stars SC - Peoria  NW - Open League 
PRFC West Valley 15B Copa,CCV STARS 15 Boys Navy PEO,3,6,2025-01-25,2024-25 MaxinMotion Open League Season 2,Friendship Park (PRFC - WV)
CCV STARS 15 Boys Navy PEO,PRFC West Valley 15B Copa,6,3,2025-01-25,2024-25 MaxinMotion Open League Season 2,Friendship Park (PRFC - WV)
CCV STARS 15 Boys Navy PEO,PRFC Scottsdale 15B Predator,1,4,2025-01-18,2024-25 MaxinMotion Open League Season 2,Stars SC - Peoria  NW - Open League 
PRFC Scottsdale 15B Predator,CCV STARS 15 Boys Navy PEO,4,1,2025-01-18,2024-25 MaxinMotion Open League Season 2,Stars SC - Peoria  NW - Open League 
PRFC Southeast Valley 14B Pre-Academy,CCV STARS 15 Boys Navy PEO,6,1,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
CCV STARS 15 Boys Navy PEO,PRFC Southeast Valley 14B Pre-Academy,1,6,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
CCV STARS 15 Boys Navy PEO,AZ Inferno 14 Boys Black,0,0,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
AZ Inferno 14 Boys Black,CCV STARS 15 Boys Navy PEO,0,0,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
PRFC West Valley 14B Pre-Academy,CCV STARS 15 Boys Navy PEO,0,2,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
CCV STARS 15 Boys Navy PEO,PRFC West Valley 14B Pre-Academy,2,0,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
CCV STARS 15 Boys Orange PEO,CCV STARS 15 Boys Navy PEO,5,0,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
CCV STARS 15 Boys Navy PEO,CCV STARS 15 Boys Orange PEO,0,5,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
CCV STARS 15 Boys Navy PEO,FCDA 15B Pre - Academy,7,4,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
FCDA 15B Pre - Academy,CCV STARS 15 Boys Navy PEO,4,7,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
PRFC West Valley 15B Predator,CCV STARS 15 Boys Navy PEO,6,2,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
CCV STARS 15 Boys Navy PEO,PRFC West Valley 15B Predator,2,6,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
CCV STARS 15 Boys Navy PEO,PRFC 15B Godsey,0,0,2024-10-19,CCV v RSL NORTH Academy Playdate,CCV Stars Peo Academy Fields
PRFC 15B Godsey,CCV STARS 15 Boys Navy PEO,0,0,2024-10-19,CCV v RSL NORTH Academy Playdate,CCV Stars Peo Academy Fields
CCV STARS 15 Boys Navy PEO,Next Level Soccer Southeast 2015 Boys Blue,4,2,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Blue,CCV STARS 15 Boys Navy PEO,2,4,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
CCV STARS 15 Boys Navy PEO,West Valley 2015 Boys Valencia Pre-Elite 64,1,1,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
West Valley 2015 Boys Valencia Pre-Elite 64,CCV STARS 15 Boys Navy PEO,1,1,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
North Scottsdale 15 Sandsharks Select,CCV STARS 15 Boys Navy PEO,3,2,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
CCV STARS 15 Boys Navy PEO,North Scottsdale 15 Sandsharks Select,2,3,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
PRFC Scottsdale 15B Copa,West Valley 2015 Boys Valencia Pre-Premier,3,6,2025-09-06,2025-26 MaxinMotion Open League Season 1,Scottsdale Chaparral Park 
West Valley 2015 Boys Valencia Pre-Premier,PRFC Scottsdale 15B Copa,6,3,2025-09-06,2025-26 MaxinMotion Open League Season 1,Scottsdale Chaparral Park 
West Valley 2015 Boys Valencia Pre-Elite 64,PRFC Southeast Valley 15B Copa,0,0,2025-03-29,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
PRFC Southeast Valley 15B Copa,West Valley 2015 Boys Valencia Pre-Elite 64,0,0,2025-03-29,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
PRFC West Valley 15B Samba,West Valley 2015 Boys Valencia Pre-Elite 64,0,0,2025-03-29,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
West Valley 2015 Boys Valencia Pre-Elite 64,PRFC West Valley 15B Samba,0,0,2025-03-29,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
West Valley 2015 Boys Valencia Pre-Elite 64,Tuzos Royals 14 Pre-Academy,3,3,2025-03-23,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Tuzos Royals 14 Pre-Academy,West Valley 2015 Boys Valencia Pre-Elite 64,3,3,2025-03-23,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
West Valley 2015 Boys Valencia Pre-Elite 64,PRFC Desert Foothills 14B Predator,1,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
PRFC Desert Foothills 14B Predator,West Valley 2015 Boys Valencia Pre-Elite 64,1,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Legends FC AZ 15B Gold,West Valley 2015 Boys Valencia Pre-Elite 64,0,2,2025-03-22,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
West Valley 2015 Boys Valencia Pre-Elite 64,Legends FC AZ 15B Gold,2,0,2025-03-22,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
West Valley 2015 Boys Valencia Pre-Elite 64,CCV STARS 15 Boys White PEO,7,0,2025-03-21,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
CCV STARS 15 Boys White PEO,West Valley 2015 Boys Valencia Pre-Elite 64,0,7,2025-03-21,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
PRFC West Valley 14B Pre-Academy,West Valley 2015 Boys Valencia Pre-Elite 64,3,2,2025-03-09,2025 Ostrich Festival,Reach 11 Sports Complex
West Valley 2015 Boys Valencia Pre-Elite 64,PRFC West Valley 14B Pre-Academy,2,3,2025-03-09,2025 Ostrich Festival,Reach 11 Sports Complex
Amore 2014 Boys,West Valley 2015 Boys Valencia Pre-Elite 64,1,3,2025-03-08,2025 Ostrich Festival,Scottsdale Sports Complex
