raw_name,team_id,display_name,source
Next Level Soccer Northwest 2015 Boys Black,ext_d8db09ea645e,Next Level Soccer Northwest 2015 Boys Black,external
HW LA Surf B2014 Black,ext_389c8952bf9c,HW LA Surf B2014 Black,external
NSFC 14 Boys Aguirre,ext_2ab599a37b14,NSFC 14 Boys Aguirre,external
14B E64 #2,ext_6b116fa2d53e,14B E64 #2,external
Excel Soccer Academy 14 Red,ext_74b969ae9480,Excel Soccer Academy 14 Red,external
AZ Arsenal 15 Boys Teal 1 OC,ext_93a5e83cde2f,AZ Arsenal 15 Boys Teal 1 OC,external
AYSO 1079 2015 Boys,ext_08d874d67603,AYSO 1079 2015 Boys,external
15B Bernal/Garza 2,ext_835d0bec7c9a,15B Bernal/Garza 2,external
AZ Thundercats 2014,ext_76399f70f33e,AZ Thundercats 2014,external
CCV STARS 14 Boys Navy SUR,ext_d8f1d5e7463a,CCV STARS 14 Boys Navy SUR,external
NOS Santos 14 Boys Blue,ext_4af60b57fe8d,NOS Santos 14 Boys Blue,external
RSL-AZ South 15B Corral,ext_e62b41206c35,RSL-AZ South 15B Corral,external
15B Blue Montoya #1,ext_8ca130ddaf6b,15B Blue Montoya #1,external
Las Vegas Sports Academy U10 Boys Red 2015,ext_e0c6b0432b25,Las Vegas Sports Academy U10 Boys Red 2015,external
PSC 2015B,ext_350301221830,PSC 2015B,external
2015 Locomotive Gold,ext_bfc8af63c15c,2015 Locomotive Gold,external
Atletico Tuzos Mesa 13/14,ext_d964396f77d4,Atletico Tuzos Mesa 13/14,external
AZSC 15B Navy,ext_575de42aaeb1,AZSC 15B Navy,external
AZ Arsenal 15 Boys Teal SH,ext_b8600c366e99,AZ Arsenal 15 Boys Teal SH,external
RSLAZ Southern 15B Rayados White,ext_9cba8fc50887,RSLAZ Southern 15B Rayados White,external
PRFC Scottsdale 14B Copa,ext_baf00045e38f,PRFC Scottsdale 14B Copa,external
Phoenix 15/16B Blue,ext_2b83e636fa76,Phoenix 15/16B Blue,external
Bridgeview Academy 2015,ext_c74523927a22,Bridgeview Academy 2015,external
SE 2015 Black,ext_45690ebe03ff,SE 2015 Black,external
NOS Santos 15 Boys Blue,ext_f1f467d891b6,NOS Santos 15 Boys Blue,external
2014/15 Boys (Pena),ext_9ba4a8de6b6e,2014/15 Boys (Pena),external
RYSC 2015,ext_10675a2d3386,RYSC 2015,external
AZ Arsenal 16 Boys Teal OC,ext_8f8c5848ae2d,AZ Arsenal 16 Boys Teal OC,external
State 48 FC Verrado 15/16 Black,ext_806e0c7229b2,State 48 FC Verrado 15/16 Black,external
2014 Timbers Elite,ext_087d26aa98d3,2014 Timbers Elite,external
2014 Rush Boys,ext_82c38a697692,2014 Rush Boys,external
RSL-AZ Yuma 15 Boys Patino WHITE,ext_43cc0eb616de,RSL-AZ Yuma 15 Boys Patino WHITE,external
CCV Stars 14 Boys South Pre-ECNL,ext_82bbf7a7a88c,CCV Stars 14 Boys South Pre-ECNL,external
PRFC Southeast Valley 15B Predator-Central,ext_ccd9779b9ef5,PRFC Southeast Valley 15B Predator-Central,external
ALBION SC San Diego B15 academy IIII,ext_475d4b72c7ad,ALBION SC San Diego B15 academy IIII,external
14 ECNL #2,ext_4463a2d0ea5b,14 ECNL #2,external
Club Campestre Juárez U10 Azul,ext_72e9446747a1,Club Campestre Juárez U10 Azul,external
Eastside FC B16 Red,ext_a6cb12fc13c9,Eastside FC B16 Red,external
14B Velasco,ext_abfc48175092,14B Velasco,external
Brazas 2015 Boys White Diego Lopez,ext_636c9ee14722,Brazas 2015 Boys White Diego Lopez,external
15B Blue 3rd #1,ext_949ab3aa2edc,15B Blue 3rd #1,external
B15 Premier NK,ext_34dd1a82fdca,B15 Premier NK,external
FC ARIZONA 14 GFC VELAZCO,ext_541d69648586,FC ARIZONA 14 GFC VELAZCO,external
2015 - Liverpool,ext_f81d6a53bea6,2015 - Liverpool,external
Philadelphia Union Junior Academy 2015,ext_1a34d7cb350a,Philadelphia Union Junior Academy 2015,external
Legends FC AZ 14B Gold,ext_3509ada6646e,Legends FC AZ 14B Gold,external
AZ Arsenal 14 Boys Teal 2 SC,ext_30cc304011d9,AZ Arsenal 14 Boys Teal 2 SC,external
Next Level Soccer Southeast 2014 Boys Red,ext_4458434e2027,Next Level Soccer Southeast 2014 Boys Red,external
Yellow ,ext_71b6244c2a89,Yellow ,external
ALFAES 2014,ext_6062a1476dd9,ALFAES 2014,external
CCV STARS 14 Boys Navy PEO,ext_8dbb602d7b14,CCV STARS 14 Boys Navy PEO,external
Alianza 2014 B black,ext_8e07ced5ca28,Alianza 2014 B black,external
FC Elite Arizona 2014 Boys,ext_2c408e1d5523,FC Elite Arizona 2014 Boys,external
AZ Arsenal 14 Boys Teal CB,ext_940673f36f53,AZ Arsenal 14 Boys Teal CB,external
SFC XOLOS ARIZONA 2015B,ext_dc84e3a69dba,SFC XOLOS ARIZONA 2015B,external
Next Level Soccer Southeast 2015 Boys Red,ext_5bd0ad19e8de,Next Level Soccer Southeast 2015 Boys Red,external
U-10 (2015) Boys San Luis Blue,ext_7a536a9d2b1c,U-10 (2015) Boys San Luis Blue,external
2014B Academy Blue,ext_391fb433c171,2014B Academy Blue,external
Next Level Soccer Northwest 2014 Boys,ext_576de7219fb1,Next Level Soccer Northwest 2014 Boys,external
Vegas United ‘15 Boys Elite,ext_e80cfe0318f3,Vegas United ‘15 Boys Elite,external
Fury FC B2015,ext_c5b1df0ba88a,Fury FC B2015,external
15B Vyas,ext_7638f3d5ba4f,15B Vyas,external
Albion SC Santa Ana B15 Academy,ext_1dab69c01dc9,Albion SC Santa Ana B15 Academy,external
AZ Inferno 15 Boys Black,ext_188d4237fea6,AZ Inferno 15 Boys Black,external
15B Garza/Bernal-3,ext_1cbe9634a1ca,15B Garza/Bernal-3,external
Daybreak 15B Blue,ext_ae39356475b8,Daybreak 15B Blue,external
Brazas FC 2014 Gold Rigo,ext_f6a11b3564e3,Brazas FC 2014 Gold Rigo,external
16B GSA,ext_715a455b604e,16B GSA,external
15B Chacon,ext_ffbd74c970fa,15B Chacon,external
Tuzos Royals 14 Pre-Academy,ext_d7446332f8e1,Tuzos Royals 14 Pre-Academy,external
14B Hermanson 1,ext_549aa46653ee,14B Hermanson 1,external
Argentina 14b,ext_34cb2af3502c,Argentina 14b,external
Excel Soccer Academy 14B Red,ext_ad901c81f09a,Excel Soccer Academy 14B Red,external
VSC 2015 Boys White,ext_29651f70c161,VSC 2015 Boys White,external
South Valley Soccer Club Scorpions,ext_6f9c9801f105,South Valley Soccer Club Scorpions,external
