Team A,Team B,Score A,Score B,Date,Competition,SourceURL
FUTBOLTECH CHSC - 2015 LIVERPOOL,columbus force ce 15b grasshoppers (black),0.0,6.0,2025-03-09,2025 Jefferson Cup Boys Weekend (2016-2011),https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,fa euro bridgeview 2015,3.0,5.0,2025-03-09,2025 Jefferson Cup Boys Weekend (2016-2011),https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,arlington sa 2015b pre-ecnl (u10),0.0,1.0,2025-03-08,2025 Jefferson Cup Boys Weekend (2016-2011),https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,futboltech 2015 - liverpool,7.0,1.0,2025-03-08,2025 Jefferson Cup Boys Weekend (2016-2011),https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2014,3.0,5.0,2024-11-09,2024 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,3.0,2.0,2024-11-03,2024 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2014,3.0,1.0,2024-10-20,2024 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,1.0,2.0,2024-10-19,2024 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,bridgeview 2015,6.0,5.0,2024-10-13,EDP Cup Fall 2024,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,new york red bulls pre- 2015 north,3.0,9.0,2024-10-13,EDP Cup Fall 2024,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,black conshy '15 (b),5.0,7.0,2024-10-12,EDP Cup Fall 2024,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,1.0,1.0,2024-10-12,EDP Cup Fall 2024,https://rankings.gotsport.com/teams/373052/game-history
Las Vegas Sports Academy U11 Boys Red 2015,northwest 2015,2.0,1.0,2025-09-14,2025 Cactus Kick Off,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,northwest 2015,2.0,2.0,2025-09-14,2025 Cactus Kick Off,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,15b nmarkette pre-mls next,2.0,0.0,2025-09-13,2025 Cactus Kick Off,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,15b garza pre mls next,9.0,0.0,2025-09-13,2025 Cactus Kick Off,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,2015e arredondo,0.0,4.0,2025-09-01,Las Vegas Labor Day Classic 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,albion las vegas 2015 i,0.0,3.0,2025-08-31,Las Vegas Labor Day Classic 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,villarreal lv u11 ea yellow-sama,0.0,4.0,2025-08-31,Las Vegas Labor Day Classic 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,5.0,0.0,2025-08-30,Las Vegas Labor Day Classic 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,12.0,0.0,2025-08-31,Las Vegas Labor Day Classic 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,toque 2015,10.0,1.0,2025-07-20,2025 U.S. Futsal 39th National Championship,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,6.0,7.0,2025-07-19,2025 U.S. Futsal 39th National Championship,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,7.0,5.0,2025-07-18,2025 U.S. Futsal 39th National Championship,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,7.0,3.0,2025-07-17,2025 U.S. Futsal 39th National Championship,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,0.0,2.0,2025-06-15,SuperCopa 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,4.0,1.0,2025-06-14,SuperCopa 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,4.0,1.0,2025-06-13,SuperCopa 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,academia o 2015 select rojo,1.0,6.0,2025-06-12,SuperCopa 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,0.0,2.0,2025-06-12,SuperCopa 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,3.0,1.0,2025-05-26,Memorial Cup Las Vegas 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,albion las vegas 2014 i*,2.0,4.0,2025-05-26,Memorial Cup Las Vegas 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,2.0,2.0,2025-05-25,Memorial Cup Las Vegas 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,sgfc 2014,1.0,3.0,2025-05-25,Memorial Cup Las Vegas 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,4.0,2.0,2025-05-24,Memorial Cup Las Vegas 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,6.0,2.0,2025-05-10,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,4.0,1.0,2025-05-03,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,2.0,1.0,2025-04-19,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,1.0,2.0,2025-04-12,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,5.0,1.0,2025-04-11,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,villarreal lv u12 blue-ba,0.0,1.0,2025-04-05,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,9.0,0.0,2025-03-30,Vegas Cup Spring Classic '25,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,3.0,0.0,2025-03-30,Vegas Cup Spring Classic '25,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,15.0,0.0,2025-03-29,Vegas Cup Spring Classic '25,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,albion las vegas 2014 i,1.0,2.0,2025-03-29,Vegas Cup Spring Classic '25,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,3.0,1.0,2025-03-09,2025 Ostrich Festival,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,14b jimmy,1.0,3.0,2025-03-09,2025 Ostrich Festival,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,4.0,2.0,2025-03-08,2025 Ostrich Festival,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,next level soccer southeast 2014,1.0,3.0,2025-03-08,2025 Ostrich Festival,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,2.0,3.0,2025-03-02,Surf Cup Southwest 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,7.0,1.0,2025-03-02,Surf Cup Southwest 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,14.0,1.0,2025-03-01,Surf Cup Southwest 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,sockers 2014,1.0,6.0,2025-03-01,Surf Cup Southwest 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,2014 rcl 2,2.0,1.0,2025-02-16,City of Las Vegas Mayor's Cup International Showcase 2025 (Boys),https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,red 2015,4.0,3.0,2025-02-15,City of Las Vegas Mayor's Cup International Showcase 2025 (Boys),https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,2014,1.0,1.0,2025-02-15,City of Las Vegas Mayor's Cup International Showcase 2025 (Boys),https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,players 13 2,2.0,3.0,2025-02-08,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,nevada rush b2013,1.0,9.0,2025-01-25,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,sd surf select 2015 (keith),1.0,1.0,2025-01-20,Vegas Cup 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,2.0,0.0,2025-01-20,Vegas Cup 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,lafc socal b2015,0.0,2.0,2025-01-19,Vegas Cup 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,15b chacon,1.0,4.0,2025-01-20,Vegas Cup 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,3.0,2.0,2025-01-18,Vegas Cup 2025,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,5.0,2.0,2024-12-08,2024 Temecula Holiday Classic,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,6.0,1.0,2024-12-08,2024 Temecula Holiday Classic,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,murrieta soccer 2014,0.0,2.0,2024-12-07,2024 Temecula Holiday Classic,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,4.0,1.0,2024-12-07,2024 Temecula Holiday Classic,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,1.0,6.0,2024-12-01,Las Vegas Thanksgiving Classic 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u11 white 2014,1.0,5.0,2024-11-30,Las Vegas Thanksgiving Classic 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,chivas b2014,1.0,2.0,2024-11-30,Las Vegas Thanksgiving Classic 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,3.0,0.0,2024-11-29,Las Vegas Thanksgiving Classic 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,1.0,0.0,2024-11-29,Las Vegas Thanksgiving Classic 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,6.0,1.0,2024-11-23,Nevada South Youth Soccer League Fall 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,,,2024-11-24,Nevada State League 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,1.0,3.0,2024-11-17,The 31st Annual Rugrat Tournament,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,2014 pre ea ii,3.0,1.0,2024-11-17,The 31st Annual Rugrat Tournament,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,lv heat surf 15b select orange henderson,0.0,6.0,2024-11-16,The 31st Annual Rugrat Tournament,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,1.0,0.0,2024-11-16,The 31st Annual Rugrat Tournament,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,cd independiente 2013,2.0,10.0,2024-11-09,Nevada South Youth Soccer League Fall 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,villarreal lv u10 yellow,3.0,12.0,2024-11-09,Nevada State League 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,,,2024-11-02,Nevada State League 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,red 2015,0.0,1.0,2024-10-27,City of Las Vegas Mayor's Cup International Tournament 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,br14 b,4.0,2.0,2024-10-27,City of Las Vegas Mayor's Cup International Tournament 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,red 2015,2.0,3.0,2024-10-26,City of Las Vegas Mayor's Cup International Tournament 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,albion las vegas b13 v,1.0,3.0,2024-10-19,Nevada South Youth Soccer League Fall 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,players 14 elite,3.0,1.0,2024-10-13,Las Vegas Invitational FALL CUP 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,players 14 elite,2.0,2.0,2024-10-13,Las Vegas Invitational FALL CUP 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,2.0,1.0,2024-10-12,Las Vegas Invitational FALL CUP 2024,https://rankings.gotsport.com/teams/12587/game-history
Las Vegas Sports Academy U11 Boys Red 2015,las vegas sports u10 red 2015,13.0,0.0,2024-10-12,Las Vegas Invitational FALL CUP 2024,https://rankings.gotsport.com/teams/12587/game-history
Magnifico FC B15E,las vegas elite 2014 pre-ea,,,2025-10-04,Nevada State League Fall 2025 ,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas elite 2014,10.0,0.0,2025-09-27,Nevada State League Fall 2025 ,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,players 15 junior elite,9.0,2.0,2025-09-20,Nevada State League Fall 2025 ,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,players 14/15 east,1.0,3.0,2025-09-06,Nevada State League Fall 2025 ,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,guadalajara 2015,3.0,4.0,2025-06-16,Copa Rayados West 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,tournament time - ga 2015,4.0,6.0,2025-06-15,Copa Rayados West 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,lv heat surf 15b select orange henderson,2.0,2.0,2025-06-15,Copa Rayados West 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,oxnard kickers,3.0,5.0,2025-06-14,Copa Rayados West 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,fontana scorpions,5.0,1.0,2025-06-13,Copa Rayados West 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,gt18 2015,3.0,2.0,2025-05-26,Memorial Cup Las Vegas 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,fcda 15b pre -,9.0,2.0,2025-05-25,Memorial Cup Las Vegas 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,fcda 15b pre -,6.0,1.0,2025-05-26,Memorial Cup Las Vegas 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,albion merced 2015,2.0,0.0,2025-05-24,Memorial Cup Las Vegas 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,gt18 2015,3.0,2.0,2025-05-25,Memorial Cup Las Vegas 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,roa soccer 2014,4.0,3.0,2025-05-18,Jeff Bush Memorial Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas elite 2014,5.0,1.0,2025-05-18,Jeff Bush Memorial Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,lv heat surf 14b pre np summerlin,3.0,3.0,2025-05-18,Jeff Bush Memorial Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas diversity '14,4.0,1.0,2025-05-17,Jeff Bush Memorial Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,lv heat surf 15b select orange summerlin,5.0,4.0,2025-05-10,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas sports u10 silver 2015,4.0,1.0,2025-05-10,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas sports u10 silver 2015,4.0,1.0,2025-05-03,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,players 15 junior,10.0,2.0,2025-04-26,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,villarreal lv u10 yellow,4.0,5.0,2025-04-19,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,vegas united ‘15,7.0,1.0,2025-04-12,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,players 16 juniors elite,3.0,1.0,2025-04-05,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,henderson lvsa '15b,4.0,0.0,2025-03-30,Vegas Cup Spring Classic '25,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas sports u10 white 2015,3.0,2.0,2025-03-30,Vegas Cup Spring Classic '25,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,prfc west valley 15b copa,13.0,0.0,2025-03-29,Vegas Cup Spring Classic '25,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,hw la surf b2014,2.0,2.0,2025-03-29,Vegas Cup Spring Classic '25,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,surf select desert region b2015,5.0,1.0,2025-03-09,Players College Showcase 2025 - Boys,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,rayados las vegas soccer 2016,1.0,0.0,2025-03-09,Players College Showcase 2025 - Boys,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,sparta 2015 premier nk,1.0,0.0,2025-03-08,Players College Showcase 2025 - Boys,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,bu b2015 pink-se,9.0,1.0,2025-03-08,Players College Showcase 2025 - Boys,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,impact sj 15b,5.0,2.0,2025-03-02,Surf Cup Southwest 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,lv heat surf 15b select orange henderson,6.0,3.0,2025-03-02,Surf Cup Southwest 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas sports u10 white 2015,5.0,2.0,2025-03-02,Surf Cup Southwest 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,villarreal lv u10 yellow,5.0,0.0,2025-03-01,Surf Cup Southwest 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,las vegas elite b16,3.0,0.0,2025-02-08,Nevada South Youth Soccer League Spring 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,wyo 307 2015,0.0,4.0,2025-02-08,7 Elite Academy International Tournament 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,wyo 307 2015,2.0,2.0,2025-02-08,7 Elite Academy International Tournament 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,utah surf 15b bwilbur,6.0,3.0,2025-02-07,7 Elite Academy International Tournament 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,la roca 15b-d moss,9.0,2.0,2025-02-07,7 Elite Academy International Tournament 2025,https://rankings.gotsport.com/teams/380663/game-history
Magnifico FC B15E,vegas united ‘15 elite,4.0,3.0,2025-02-02,Nevada Jr. Cup 2025,https://rankings.gotsport.com/teams/380663/game-history
