Team A,Team B,Score A,Score B,Date
Black Conshy '15 (B),Southeast 2015 Boys Black,2.0,6.0,2024-10-13
Northwest 2015 Boys Black,SFC XOLOS ARIZONA 2015B,0.0,9.0,2025-10-11
BRAZAS FC 2015 Boys Black,Northwest 2015 Boys Black,4.0,2.0,2025-10-11
15B AChacon Pre-MLS Next,Northwest 2015 Boys Black,1.0,1.0,2025-09-28
BRAZAS FC 2015 Boys Black,Northwest 2015 Boys Black,3.0,5.0,2025-09-28
Northwest 2015 Boys Black,Phoenix Premier FC 15B Black,0.0,0.0,2025-09-26
Las Vegas Sports Academy U11 Boys Red 2015,Northwest 2015 Boys Black,2.0,1.0,2025-09-14
15B Garza Pre MLS Next,Northwest 2015 Boys Black,1.0,8.0,2025-09-13
15B NMarkette Pre-MLS Next,Northwest 2015 Boys Black,6.0,0.0,2025-09-12
Dynamos SC 15B SC,Northwest 2015 Boys Black,2.0,5.0,2025-09-07
Excel Soccer Academy 15B Red,Northwest 2015 Boys Black,3.0,4.0,2025-09-07
Excel Soccer Academy 15B Red,Northwest 2015 Boys Black,1.0,7.0,2025-09-06
Northwest 2015 Boys Black,State 48 FC 15 Elite,2.0,7.0,2025-09-06
Brazas 2014 Boys Black Marcos,Northwest 2015 Boys Black,5.0,2.0,2025-04-05
Northwest 2015 Boys Black,PRFC Southeast Valley 14B Predator-Central,11.0,0.0,2025-04-05
CCV STARS 14 Boys Navy LAV,Northwest 2015 Boys Black,14.0,0.0,2025-04-04
Next Level Soccer Southeast 2014 Boys Blue,Northwest 2015 Boys Black,0.0,1.0,2025-03-23
Legends FC AZ 14B Gold,Northwest 2015 Boys Black,1.0,1.0,2025-03-22
BVBIA 14B North America,Northwest 2015 Boys Black,2.0,1.0,2025-03-22
B14 HR,Northwest 2015 Boys Black,1.0,1.0,2025-03-21
AZEV B2014 (NAVY),Northwest 2015 Boys Black,1.0,2.0,2025-03-08
CCV STARS 14 Boys Orange LAV,Northwest 2015 Boys Black,0.0,2.0,2025-03-08
Northwest 2015 Boys Black,PRFC Scottsdale 15B Copa,1.0,9.0,2025-03-07
Northwest 2015 Boys Black,Phoenix United 2015 Elite,4.0,3.0,2025-02-22
Northwest 2015 Boys Black,PRFC North Valley 14B PreAcademy,1.0,6.0,2025-02-22
CCV STARS 15 Boys Orange PEO,Northwest 2015 Boys Black,2.0,3.0,2025-02-21
Central 14B Select I,Northwest 2015 Boys Black,3.0,3.0,2025-02-09
Legends FC AZ 14B Gold,Northwest 2015 Boys Black,2.0,5.0,2025-02-08
AZSC 15B Navy,Northwest 2015 Boys Black,4.0,3.0,2025-02-08
Northwest 2015 Boys Black,Players 15 Boys Junior Elite,0.0,4.0,2025-01-19
2015B Pre-MLS,Northwest 2015 Boys Black,4.0,0.0,2025-01-19
FRAM B15 Pre Elite Academy,Northwest 2015 Boys Black,4.0,5.0,2025-01-18
14,Northwest 2015 Boys Black,5.0,4.0,2025-01-05
Next Level Soccer Southeast 2015 Boys Black,Northwest 2015 Boys Black,0.0,3.0,2025-01-04
14B JCFresquez Pre-MLS Next,Northwest 2015 Boys Black,2.0,0.0,2025-01-03
Northwest 2015 Boys Black,TFA-SELA B2015 Red,1.0,0.0,2024-12-07
AZ Arsenal 15 Boys Teal 1 JZ,Northwest 2015 Boys Black,7.0,0.0,2024-12-07
Albion SC Santa Ana B15 Academy,Northwest 2015 Boys Black,3.0,1.0,2024-12-06
15B Chacon,Northwest 2015 Boys Black,0.0,1.0,2024-12-01
ELI7E FC- ELITE 2014,Northwest 2015 Boys Black,1.0,1.0,2024-11-30
2014B West,Northwest 2015 Boys Black,0.0,1.0,2024-11-29
Next Level Soccer Southeast 2015 Boys Red,Northwest 2015 Boys Black,0.0,3.0,2024-11-10
Excel Soccer Academy 15 Red,Northwest 2015 Boys Black,6.0,0.0,2024-11-09
2014B West,Northwest 2015 Boys Black,3.0,3.0,2024-11-09
AZSC 14B Perez,Northwest 2015 Boys Black,4.0,1.0,2024-11-08
2014 Timbers Elite,Northwest 2015 Boys Black,2.0,5.0,2024-10-27
Next Level Soccer Northwest 2014 Boys,Northwest 2015 Boys Black,1.0,7.0,2024-10-26
Northwest 2015 Boys Black,PRFC Desert Foothills 14B Pre-Academy,3.0,4.0,2024-10-25
ALBION SC Las Vegas B15 Academy I,Northwest 2015 Boys Black,5.0,0.0,2024-10-13
BRAZAS FC 2015 Boys Black,SFC XOLOS ARIZONA 2015B,0.0,0.0,2025-10-12
15B Jason Pre MLS Next,BRAZAS FC 2015 Boys Black,0.0,6.0,2025-10-04
BRAZAS FC 2015 Boys Black,PRFC North Valley 15B PreAcademy,4.0,0.0,2025-09-20
BRAZAS FC 2015 Boys Black,CCV Stars 15 Boys South Pre-ECNL,4.0,2.0,2025-09-07
BRAZAS FC 2015 Boys Black,PRFC Scottsdale 15B Pre-Academy,2.0,3.0,2025-09-07
BRAZAS FC 2015 Boys Black,CDO 15B Premier,1.0,6.0,2025-09-06
BRAZAS FC 2015 Boys Black,PRFC North Valley 15B PreAcademy,5.0,2.0,2025-09-06
BRAZAS FC 2015 Boys Black,Tuzos Academy Mesa 2015,0.0,5.0,2025-08-31
BRAZAS FC 2015 Boys Black,PRFC Desert Foothills 15B Predator,6.0,0.0,2025-08-31
BRAZAS FC 2015 Boys Black,Tuzos Academy Mesa 2015,1.0,4.0,2025-08-30
BRAZAS FC 2015 Boys Black,PRFC North Valley 15B PreAcademy,3.0,1.0,2025-08-30
BRAZAS FC 2015 Boys Black,CCV STARS 15 Boys LAV,5.0,1.0,2025-04-06
BRAZAS FC 2015 Boys Black,Next Level Soccer Southeast 2015 Boys Blue,2.0,2.0,2025-04-06
BRAZAS FC 2015 Boys Black,CCV STARS 14 Boys EAV,7.0,3.0,2025-04-05
AZSC 14B Azanger,BRAZAS FC 2015 Boys Black,3.0,1.0,2025-04-05
BRAZAS FC 2015 Boys Black,Phoenix Premier FC 14B CG,4.0,1.0,2025-03-23
BRAZAS FC 2015 Boys Black,West Valley 2014 Boys Martinez Pre-Elite64,4.0,0.0,2025-03-22
BRAZAS FC 2015 Boys Black,PRFC Scottsdale 14B Predator,1.0,1.0,2025-03-22
BRAZAS FC 2015 Boys Black,So Cal Eagles Boys 2014C,2.0,1.0,2025-03-21
BRAZAS FC 2015 Boys Black,Next Level Soccer Northwest 2015 Boys Red,0.0,0.0,2025-03-01
BRAZAS FC 2015 Boys Black,Phoenix Premier FC 15B Black,0.0,0.0,2025-03-01
AZ Arsenal 15 Boys Teal 1 OC,BRAZAS FC 2015 Boys Black,0.0,0.0,2025-02-09
14 Cityzens,BRAZAS FC 2015 Boys Black,7.0,0.0,2025-02-09
BRAZAS FC 2015 Boys Black,Phoenix Premier FC 14B White,7.0,0.0,2025-02-08
BRAZAS FC 2015 Boys Black,FSC United 14 Boys,0.0,11.0,2025-02-08
2014 Rush Boys,BRAZAS FC 2015 Boys Black,1.0,4.0,2025-01-26
BRAZAS FC 2015 Boys Black,Phoenix United 2015 Academy,2.0,0.0,2025-01-26
BRAZAS FC 2015 Boys Black,Phoenix Premier FC 14B White,0.0,10.0,2025-01-25
Amore 2014 Boys,BRAZAS FC 2015 Boys Black,3.0,5.0,2025-01-24
BRAZAS FC 2015 Boys Black,PRFC Scottsdale 15B Copa,1.0,7.0,2024-12-15
BRAZAS FC 2015 Boys Black,PRFC Scottsdale 16B Predator,5.0,3.0,2024-12-14
BRAZAS FC 2015 Boys Black,Utah United Academy 2015,4.0,2.0,2024-12-14
BRAZAS FC 2015 Boys Black,Next Level Soccer Northwest 2015 Boys Red,4.0,0.0,2024-12-01
BRAZAS FC 2015 Boys Black,Excel Soccer Academy 15 Red,0.0,4.0,2024-11-30
2015 Elite,BRAZAS FC 2015 Boys Black,0.0,2.0,2024-11-30
BRAZAS FC 2015 Boys Black,Yellow ,5.0,1.0,2024-10-27
B15 Academy I,BRAZAS FC 2015 Boys Black,0.0,5.0,2024-10-26
15 Black DW,BRAZAS FC 2015 Boys Black,0.0,2.0,2024-10-26
BRAZAS FC 2015 Boys Black,Legends FC AZ 15B FC,4.0,4.0,2024-10-13
BRAZAS FC 2015 Boys Black,FCDA 15B Pre - Academy,4.0,2.0,2024-10-13
15B AChacon Pre-MLS Next,CCV Stars 15 Boys West Pre-ECNL,1.0,6.0,2025-10-05
15B AChacon Pre-MLS Next,PRFC Scottsdale 15B Pre-Academy,3.0,0.0,2025-10-04
15B AChacon Pre-MLS Next,AZSC 2015B Navy,0.0,0.0,2025-09-27
15B AChacon Pre-MLS Next,U-11 (2015) Boys Pre Academy Blue,0.0,9.0,2025-09-20
15B AChacon Pre-MLS Next,CCV Stars 14 Boys South Pre-ECNL,2.0,6.0,2025-09-14
14B Velasco,15B AChacon Pre-MLS Next,1.0,2.0,2025-09-13
15B AChacon Pre-MLS Next,East Valley NSFC 14 Boys Aguirre,0.0,8.0,2025-09-13
15B AChacon Pre-MLS Next,Dynamos SC 15B SC,6.0,0.0,2025-08-31
15 Pre-MLS Next Tier #1,15B AChacon Pre-MLS Next,0.0,10.0,2025-08-30
CCV Stars 15 Boys North Pre-ECNL,State 48 FC 15 Elite,1.0,1.0,2025-09-28
CCV Stars 15 Boys North Pre-ECNL,U-11 (2015) Boys Pre Academy Blue,0.0,0.0,2025-09-27
CCV Stars 15 Boys North Pre-ECNL,Madison FC 15 Gold Boys,6.0,2.0,2025-09-21
CCV Stars 15 Boys North Pre-ECNL,PRFC Scottsdale 16B Predator,4.0,3.0,2025-09-19
PRFC West Valley 15B Predator,Phoenix Premier FC 15B Black,0.0,0.0,2025-10-11
PRFC Desert Foothills 16B Predator,Phoenix Premier FC 15B Black,5.0,0.0,2025-09-13
AZ Arsenal 16 Boys Teal OC,Phoenix Premier FC 15B Black,4.0,4.0,2025-09-06
FDI 2015,Phoenix Premier FC 15B Black,3.0,0.0,2025-04-18
EV-NSFC 15 Boys Perez(1),Phoenix Premier FC 15B Black,7.0,1.0,2025-04-17
Phoenix Premier FC 15B Black,Select 15B,6.0,0.0,2025-04-16
Phoenix Premier FC 15B Black,Santos 15B,0.0,2.0,2025-04-06
15B Garza/Bernal-1,Phoenix Premier FC 15B Black,0.0,6.0,2025-04-06
15B Garza/Bernal-1,Phoenix Premier FC 15B Black,3.0,5.0,2025-04-05
15 Boys Soul Warriors,Phoenix Premier FC 15B Black,0.0,3.0,2025-04-05
La Piedad FC 2015,Phoenix Premier FC 15B Black,1.0,8.0,2025-03-23
Phoenix Premier FC 15B Black,U-10 (2015) Boys Pre Academy,7.0,3.0,2025-03-22
La Piedad FC 2015,Phoenix Premier FC 15B Black,5.0,1.0,2025-03-22
Next Level Soccer Southeast 2015 Boys Green,Phoenix Premier FC 15B Black,1.0,5.0,2025-03-21
Deportivo Coras USA 2015,Phoenix Premier FC 15B Black,0.0,0.0,2025-03-01
PRFC Scottsdale 15B Copa,Phoenix Premier FC 15B Black,4.0,4.0,2025-02-23
Next Level Soccer Northwest 2015 Boys Red,Phoenix Premier FC 15B Black,3.0,6.0,2025-02-22
PRFC Scottsdale 16B Predator,Phoenix Premier FC 15B Black,5.0,7.0,2025-02-21
Next Level Soccer Southeast 2015 Boys Green,Phoenix Premier FC 15B Black,5.0,1.0,2025-01-25
2015 Rush Boys,Phoenix Premier FC 15B Black,5.0,0.0,2025-01-25
Phoenix Premier FC 15B Black,State 48 FC Verrado 15 White,5.0,1.0,2025-01-24
AZ Arsenal 15 Boys Teal 1 JZ,Phoenix Premier FC 15B Black,2.0,3.0,2025-01-05
AZ Arsenal 15 Boys Teal 1 OC,Phoenix Premier FC 15B Black,0.0,5.0,2025-01-04
AZ Arsenal 15 Boys Teal 2 CC,Phoenix Premier FC 15B Black,16.0,0.0,2025-01-04
BRUSA FC 2015/16,Phoenix Premier FC 15B Black,0.0,11.0,2025-01-03
FCDA 15B Pre - Academy,Phoenix Premier FC 15B Black,5.0,8.0,2024-12-08
Phoenix Premier FC 15B Black,Scottsdale 15 Sandsharks Select,1.0,3.0,2024-12-08
Next Level Soccer Southeast 2015 Boys Blue,Phoenix Premier FC 15B Black,8.0,4.0,2024-12-07
Deportivo Coras USA 2015,Phoenix Premier FC 15B Black,5.0,5.0,2024-12-06
PRFC Desert Foothills 15B Predator,Phoenix Premier FC 15B Black,2.0,2.0,2024-11-03
