team_id,display_name,club,state,state_code
719f988f8359,B2015 Academy,Brooklyn United Academy,California,CA
8ec008a1b6c1,Bethesda Academy I 2015,Bethesda SC,California,CA
996c4604a962,ESJFC 15B Academy,East San Jose FC,California,CA
b9fafa78d981,2015B Red Pre ECNL,FC America,California,CA
d42057366cc9,JFC 2015 Pre MLS Academy I,Jacksonville FC,California,CA
df2ca6ef1fee,Turlock Academica Jrs 15B Black,Turlock Academica Jrs,California,CA
006e696b2135,Lions U11 Red (2015),Miami Futbol Academy Rush ,California,CA
28ef0e97ae8c,IMCF Academy 2015,Inter Miami CF,California,CA
498778eeba30,Utah United Academy 2015,Utah United Academy,California,CA
1da589f55d55,RAYADOS LAS VEGAS SOCCER ACADEMY 2015 BLUE,Rayados Las Vegas Soccer Academy,California,CA
0991452109ba,Molano Futbol Academy Elite 2015B,Molano Futbol Academy,California,CA
fc612a1a9e97,FA Euro 2015 Pre-MLS Academy,FA Euro New York,California,CA
f75f99682d31,CVFA 15B Academy II,CV Futbol Academy,California,CA
de6e032b071c,One Nation Pre MLS NEXT 2015,One Nation Soccer Academy,California,CA
464053156957,CAT 2015 ELITE BOYS,Complete Athlete Training,California,CA
46c121cc5ad0,2015 (U11) Black,Miami Futbol Academy Rush ,California,CA
d71547d4b3f6,SD Surf Academy Boys 2015 (Keith),San Diego Surf Soccer Club,California,CA
3bbd0348fbde,U-11 (2015) San Luis Boys Pre Academy,SC del Sol,California,CA
34ba4c9b754b,Excel Soccer Academy 15B Red,Excel Soccer Academy,California,CA
afd9ba911240,Philadelphia Union -SWAG Academy 2015,Philadelphia Union,California,CA
a5859608f6e8,Solrise Soccer Academy 2015B Elite,Solrise Soccer Academy,California,CA
b3eedbf87c23,PreECNL 2015,Penn Fusion Soccer Academy,California,CA
09b1ad5f1258,FC Scorpions B2015 Academy,FC Scorpions (CA),California,CA
e2f76d11c99a,Tuzos Academy Mesa 2015,FBSL,California,CA
6b21ffbae5ce,2015 Pre-Academy Green,Brentwood SC (LIJSL),California,CA
fd9b4f891cdf,2015 (U11) Blue,Miami Futbol Academy Rush ,California,CA
5df79b142f2e,VUSC 2015 Boys Premier,Vacaville United Soccer Club,California,CA
a388e67d87f0,Elite 2015 Black,Elite Soccer Academy (FL),California,CA
3cf6d3efe027,Monterey Surf 15B Academy I,Monterey Surf Soccer Club,California,CA
2cc77b157ce9,Phoenix United 2015 Academy,Phoenix United Futbol Club,California,CA
30f3ed00f13f,Bethesda Academy II 2015,Bethesda SC,California,CA
61370e663b1d,Coachella YSA B15 Desert Xolos,CYSA Premier Academy,California,CA
9faef16b60d9,GGS 2015 Boys Gold,GGS Soccer Academy,California,CA
406e7d16e92f,Orange County B15 FC,Legends FC (CA),California,CA
bb71c95b4755,2015 Southern Homestead Elite,Southern Homestead Soccer Academy ,California,CA
4021caa661f9,Naples Eagles 2015/2016,Bonita Springs Wildcats,California,CA
3eb8013e3ffb,Blau Weiss Gottschee '15 Blue,BW Gottschee Academy,California,CA
288d5f632c9d,2015 (U11) Grey,Miami Futbol Academy Rush ,California,CA
ba1f9c09c30d,IdeaSport 2015 Pre-MLS 1,IdeaSport Soccer Academy,California,CA
59495cc74a0e,SD Surf Academy Boys 2015 (Miller),,California,CA
5598cfe585fb,RAYADOS LAS VEGAS SOCCER ACADEMY 2015 WHITE,Rayados Las Vegas Soccer Academy,California,CA
841bfbbc1b3c,CDO 15B Premier,Canyon Del Oro Soccer Club,California,CA
dbeabb53d967,Lancaster FC 2015 Boys Academy,Lancaster FC,California,CA
7607e118efbd,SWFL Soccer Academy 2015-2016,SWFL Soccer Academy,California,CA
bb9d034014a9,Players 15 Boys Academy,Players SC,California,CA
0d9c08278c7b,SC Pro Soccer Academy 2015B Team 1,SC Pro Soccer,California,CA
76e36186acc9,2015 BOYS ECNL DEV 1,Sporting Jax Soccer Academy,California,CA
3531ffdf79d3,SD Surf Academy Boys 2015 (Penate),San Diego Surf Soccer Club,California,CA
6b194a806cff,Pittsburgh Riverhounds Academy North Huntingdon 2015 Boys,Pittsburgh Riverhounds,California,CA
e6b57420cd8c,KBSC Elite 2015,Key Biscayne SC,California,CA
26d5984dd882,PHENOM B2015II,Phenom Soccer Academy,California,CA
f6ecf9e55f1b,Future_Sa_15_Blue,Future Soccer Academy,California,CA
bb6f5bfd3daf,NMSA 2015 Boys,New Mexico Soccer Academy,California,CA
9694749c331a,Nona Soccer 2015 Boys Black,Nona Soccer Academy,California,CA
23f5bc9b7b11,Utah Athletic Academy B15,Utah Athletic Academy,California,CA
4db6c6d44125,IdeaSport 2015 Pre MLS 2,IdeaSport Soccer Academy,California,CA
