Team,ComponentID,ComponentSize,Degree
Cimarron FC,0,330,1
15B AChacon Pre-MLS Next,0,330,4
14B Antunez Pre-MLS Next,0,330,24
CCV Stars 14 Boys East Pre-ECNL,0,330,21
Amore 2014 Boys,0,330,44
AZ Arsenal 13 Boys Teal 2 Don,0,330,2
AZ Arsenal 13 Boys Flagstaff,0,330,4
Los Alamos Soccer League,0,330,1
PSG 14B Red,0,330,3
14B Rueda,0,330,23
ESC - Boys Chandler 15/16,0,330,4
Milan B,0,330,3
U-12 (2014) Boys Pre Academy Orange,0,330,3
AZ Arsenal 14 Boys Teal 2 PJ,0,330,20
VSC 2014 Boys White,0,330,15
AZSC 14B Perez,0,330,39
AZ Arsenal 14 Boys AYDP,0,330,21
FC ARIZONA 13 GFC CUEVAS,0,330,3
Avalanche 14B Gray SL,0,330,1
Spartak Academy 2014 Boys,0,330,3
Tuzos 2014 Nava,0,330,17
AZ Arsenal 14 Boys Flagstaff,0,330,1
Southeast 2014 Boys Red,0,330,32
CITY SC SW B14 Premier MUR,0,330,2
Xplosion SC B14,0,330,1
Select 14B Red,0,330,26
PRFC West Valley 15B Predator,0,330,8
14B Hermanson AL,0,330,30
BRAZAS FC 2014 Boys Black,0,330,5
Southeast 2015 Boys Red,0,330,7
Tuzos USA 2013,0,330,1
Phoenix United 2014B West,0,330,13
14B Geoff,0,330,16
CCV Stars 14 Boys North Orange,0,330,27
Phoenix Premier FC 14B CG,0,330,19
14B Hermanson,0,330,2
PRFC Desert Foothills 14B Pre-Academy,0,330,37
PRFC Scottsdale 15B Predator,0,330,9
Phoenix United 2015 Academy,0,330,28
America 14b,0,330,10
2014 Tuzos Academy FV,0,330,18
PRFC Southeast Valley 13B Predator,0,330,2
14B OMolina,0,330,21
FC ARIZONA PRE ECNL RL B14,0,330,4
CCV STARS 14 Boys Navy LAV,0,330,28
14 ECNL #2,0,330,31
Rey Del Castillo FC Black,0,330,1
Las Vegas Elite FC B14 Gold,0,330,2
14,0,330,42
14 Cityzens,0,330,51
AZ Arsenal 14 Boys Teal SC,0,330,36
Tuzos Academy Mesa 2014,0,330,46
Playmaker Futbol Academy 14B Gold,0,330,53
Cachimbas FC 2014,0,330,1
State 48 FC Avondale 14 Black,0,330,27
OJB FC 2014 Boys,0,330,1
B14 Premier,0,330,1
West Valley 2014 Boys Martinez Pre-Elite64,0,330,44
PRFC Scottsdale 14B Copa,0,330,36
Galacticos FC Sonora,0,330,1
CITY SC SW B14 White MV II,0,330,1
Phoenix Premier FC 14B Pre MLS ACADEMY,0,330,2
15B Oscar,0,330,3
Scottsdale 14 Sandsharks,0,330,22
FC Deportivo AZ 2014B (Gallegos),0,330,22
PRFC Scottsdale 14B Pre-Academy,0,330,40
Phoenix Premier FC 14B SW Black,0,330,26
FCDA 13B Red NL (AZ),0,330,2
Phoenix Premier FC 14B SW,0,330,25
FC Elite Arizona 2014 Boys - Martinez,0,330,9
Atletico Tuzos Guerrero 2014,0,330,3
Madison FC 2015 Boys Gold,0,330,8
CCV STARS 14 Boys Navy PEO,0,330,24
JUSA Select Oftellie B14,0,330,1
14B Felix Nogales,0,330,14
14B Velasco,0,330,28
AZ Arsenal Pre-ECNL B14,0,330,38
14B JDeutsch Pre-MLS Next,0,330,21
SCUM East Valley 14B Ninjas,0,330,5
State 48 FC 14 White,0,330,22
Las Vegas Sports Academy U11 Boys Black 2014,0,330,2
Southeast 2013 Boys Blue,0,330,1
Next Level Soccer Southeast 2014 Boys Blue,0,330,23
Northwest 2013 Boys Black,0,330,1
14B Jimmy,0,330,22
PSG 13B Blue E64RL,0,330,1
FC Arizona 14B Black GFC Suenaga U12,0,330,9
Sun Warriors 13/14 Boys,0,330,5
AZSC 2014B Pre-NL Premier 2,0,330,32
Scottsdale 13 Sandsharks Select,0,330,3
Tuzos Nogales 2014,0,330,3
AZSC 14B Azanger,0,330,27
Phoenix Premier FC 14B White,0,330,25
Carlsbad B14 White - C. Oliveira,0,330,1
Phoenix United 2015 Elite,0,330,16
FSC United 15 Boys,0,330,2
AYSO United 15BlueB,0,330,1
U-11 (2014) Boys Pre Academy,0,330,24
AZ Arsenal 14 Boys Teal CB,0,330,30
Playmaker Futbol Academy 14B Black,0,330,56
Next Level Soccer Northwest 2015 Boys Red,0,330,7
PSG 15B Blue,0,330,5
Tuzos Chandler 2014 boys,0,330,6
City SC B14 Premier - O'Mahoney,0,330,1
Tuzos Royals 14 Pre-Academy,0,330,44
Select 14B,0,330,25
14 ECNL #1,0,330,25
Verde Valley United FC,0,330,17
PRFC Southeast Valley 14B Predator,0,330,47
Chelsea 13B,0,330,6
Phoenix Premier FC 14B Pre MLS Next AD,0,330,5
South County B2013 Blue,0,330,1
2014 Elite,0,330,13
Next Level Soccer Southeast 2015 Boys Blue,0,330,15
14B JCFresquez Pre-MLS Next,0,330,18
Phoenix United 14 Elite,0,330,7
PRFC Scottsdale 15B Pre-Academy,0,330,1
Phoenix Premier FC 14B Black,0,330,37
Hustle Hard 2014- Boys,0,330,26
Dallas Texans Pre ECNL B14 Salazar,0,330,1
PRFC North Valley 13B PreAcademy,0,330,3
El Paso Football Club U11 BLUE,0,330,4
Bala FC - 2014B,0,330,3
PRFC North Valley 14B Predator,0,330,40
U-12 (2014) Boys Pre Academy Blue,0,330,30
2014 Boys Yellow,0,330,34
AZSC 2014/2015B Navy,0,330,6
2014B West,0,330,46
Brazas 2014 Boys Black Marcos,0,330,29
Deportivo Mexico 14B,0,330,14
AZSC 15B Gold,0,330,2
14B Negrete Pre MLS Next,0,330,24
Playmaker Futbol Academy 14B White,0,330,22
Pima Surf 2014 B,0,330,4
AZ Arsenal 13 Boys Teal 1,0,330,2
Rebels FC 2014,0,330,2
FC Tucson Youth 13B NL,0,330,2
XOLOS ARIZONA 2014B,0,330,7
CCV Stars 14 Boys South Orange,0,330,31
Phoenix Premier FC 14B X-Factor,0,330,27
