Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Team A Normalized,Team B Normalized,Team A Match,Team A Match Type,Team B Match,Team B Match Type
4/13/2025,AZ Arsenal 13 Boys Teal 2 Don,Southeast 2014 Boys Black,1,7,L,W,Rivalries Cup 2025,Rivalries Cup,U13B 12U 11v11,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20356780,238248,az arsenal 13 boys teal 2 don,southeast 2014 boys black,,NO_MATCH,Southeast 2014 Boys Black,EXACT
4/12/2025,Southeast 2014 Boys Black,ALBION SC Las Vegas B13 Academy V,9,1,W,L,Rivalries Cup 2025,Rivalries Cup,U13B 12U 11v11,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20356784,238248,southeast 2014 boys black,albion sc las vegas b13 academy v,Southeast 2014 Boys Black,EXACT,,NO_MATCH
4/12/2025,AZ Arsenal 13 Boys Teal 1,Southeast 2014 Boys Black,2,4,L,W,Rivalries Cup 2025,Rivalries Cup,U13B 12U 11v11,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20356786,238248,az arsenal 13 boys teal 1,southeast 2014 boys black,AZ Arsenal 14 Boys Teal SC,FUZZY,Southeast 2014 Boys Black,EXACT
3/23/2025,Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,1,1,T,T,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U12B BU12 Super Pro,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917895,238248,playmaker futbol academy 13b black,southeast 2014 boys black,Playmaker Futbol Academy 14B Black,FUZZY,Southeast 2014 Boys Black,EXACT
2/17/2025,Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,6,0,W,L,Presidents' Day Tournament 2025,PDT,U12B U12 Boys White,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",18965493,238248,playmaker futbol academy 13b black,southeast 2014 boys black,Playmaker Futbol Academy 14B Black,FUZZY,Southeast 2014 Boys Black,EXACT
2/14/2025,Southeast 2014 Boys Black,Phoenix United 14 Elite,2,0,W,L,Presidents' Day Tournament 2025,PDT,U12B U12 Boys White,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",18965458,238248,southeast 2014 boys black,phoenix united 14 elite,Southeast 2014 Boys Black,EXACT,,NO_MATCH
2/9/2025,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,4,5,L,W,Desert Classic 2025,Desert Classic,U12B U12 Boys Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969222,238248,southeast 2014 boys black,playmaker futbol academy 13b black,Southeast 2014 Boys Black,EXACT,Playmaker Futbol Academy 14B Black,FUZZY
1/26/2025,Southeast 2014 Boys Black,PRFC North Valley 13B Predator,7,1,W,L,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U12B U12 Boys - Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702826,238248,southeast 2014 boys black,prfc north valley 13b predator,Southeast 2014 Boys Black,EXACT,PRFC North Valley 14B Predator,FUZZY
1/11/2025,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,4,1,W,L,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U12B Boys U12 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604743,238248,southeast 2014 boys black,playmaker futbol academy 13b black,Southeast 2014 Boys Black,EXACT,Playmaker Futbol Academy 14B Black,FUZZY
12/7/2024,Southeast 2014 Boys Black,14B GSA,2,3,L,W,The Open (2024) SuperCopa & SuperCopa+ Qualifier,The Open,U11B SuperCopa Boys U11,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",18423398,238248,southeast 2014 boys black,14b gsa,Southeast 2014 Boys Black,EXACT,14B GSA,EXACT
12/1/2024,Southeast 2014 Boys Black,Legends FC AZ 14B FC,3,1,W,L,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327421,238248,southeast 2014 boys black,legends fc az 14b fc,Southeast 2014 Boys Black,EXACT,Legends FC AZ 14B Black,FUZZY
11/30/2024,14B GSA,Southeast 2014 Boys Black,1,4,L,W,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327417,238248,14b gsa,southeast 2014 boys black,14B GSA,EXACT,Southeast 2014 Boys Black,EXACT
11/24/2024,Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,4,4,T,T,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182566,238248,playmaker futbol academy 13b black,southeast 2014 boys black,Playmaker Futbol Academy 14B Black,FUZZY,Southeast 2014 Boys Black,EXACT
11/23/2024,PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,0,6,L,W,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182559,238248,prfc north valley 13b preacademy,southeast 2014 boys black,PRFC North Valley 14B PreAcademy,FUZZY,Southeast 2014 Boys Black,EXACT
10/18/2024,Southeast 2014 Boys Black,14B GSA,3,1,W,L,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993653,238248,southeast 2014 boys black,14b gsa,Southeast 2014 Boys Black,EXACT,14B GSA,EXACT
10/13/2024,FC ARIZONA 13 GFC CUEVAS,Southeast 2014 Boys Black,1,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U12B GOLD - U12,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825643,238248,fc arizona 13 gfc cuevas,southeast 2014 boys black,,NO_MATCH,Southeast 2014 Boys Black,EXACT
10/12/2024,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,1,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U12B GOLD - U12,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825649,238248,southeast 2014 boys black,playmaker futbol academy 13b black,Southeast 2014 Boys Black,EXACT,Playmaker Futbol Academy 14B Black,FUZZY
9/29/2024,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,2,3,L,W,The Derby (2024),The Derby,U12B Gold U12 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816391,238248,southeast 2014 boys black,playmaker futbol academy 13b black,Southeast 2014 Boys Black,EXACT,Playmaker Futbol Academy 14B Black,FUZZY
8/31/2024,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,2,4,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U12B U12 Boys Gold,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371862,238248,southeast 2014 boys black,playmaker futbol academy 13b black,Southeast 2014 Boys Black,EXACT,Playmaker Futbol Academy 14B Black,FUZZY
8/30/2024,PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,1,2,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U12B U12 Boys Gold,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371869,238248,prfc north valley 13b preacademy,southeast 2014 boys black,PRFC North Valley 14B PreAcademy,FUZZY,Southeast 2014 Boys Black,EXACT
9/28/2025,Playmaker Futbol Academy PRE-ECNL B14,14B GSA,1,3,L,W,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796057,404655,playmaker futbol academy preecnl b14,14b gsa,Playmaker Futbol Academy PRE-ECNL B14,EXACT,14B GSA,EXACT
9/28/2025,Southeast 2015 Boys Red,14B GSA,1,2,L,W,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796061,404655,southeast 2015 boys red,14b gsa,Southeast 2014 Boys Red,FUZZY,14B GSA,EXACT
9/27/2025,14B GSA,Excel Soccer Academy 14B Red,7,2,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796058,404655,14b gsa,excel soccer academy 14b red,14B GSA,EXACT,Excel Soccer Academy 14B Red,EXACT
9/27/2025,14B GSA,Tuzos Royals 2014,3,1,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796052,404655,14b gsa,tuzos royals 2014,14B GSA,EXACT,Tuzos Royals 2014,EXACT
9/7/2025,14B GSA,Tuzos Royals 2014,4,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426333,404655,14b gsa,tuzos royals 2014,14B GSA,EXACT,Tuzos Royals 2014,EXACT
9/7/2025,14B GSA,Phoenix United 2015 Elite,4,3,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426331,404655,14b gsa,phoenix united 2015 elite,14B GSA,EXACT,,NO_MATCH
9/6/2025,14B GSA,Dynamos SC 14B SC,3,3,T,T,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426327,404655,14b gsa,dynamos sc 14b sc,14B GSA,EXACT,Dynamos SC 14B SC,EXACT
9/6/2025,Tuzos Royals 2014,14B GSA,1,2,L,W,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426330,404655,tuzos royals 2014,14b gsa,Tuzos Royals 2014,EXACT,14B GSA,EXACT
8/31/2025,14B GSA,Phoenix Premier FC 14B Pre MLS AD,6,1,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380965,404655,14b gsa,phoenix premier fc 14b pre mls ad,14B GSA,EXACT,Phoenix Premier FC 14B Pre MLS Next AD,FUZZY
8/31/2025,Playmaker Futbol Academy PRE-ECNL B14,14B GSA,2,6,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380966,404655,playmaker futbol academy preecnl b14,14b gsa,Playmaker Futbol Academy PRE-ECNL B14,EXACT,14B GSA,EXACT
8/30/2025,14B GSA,Phoenix United 2015 Elite,4,2,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380961,404655,14b gsa,phoenix united 2015 elite,14B GSA,EXACT,,NO_MATCH
8/30/2025,PRFC Scottsdale 14B Pre-Academy,14B GSA,0,1,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380962,404655,prfc scottsdale 14b preacademy,14b gsa,PRFC Scottsdale 14B Pre-Academy,EXACT,14B GSA,EXACT
5/3/2025,14B GSA,Excel Soccer Academy 14 Red,2,5,L,W,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",20082704,404655,14b gsa,excel soccer academy 14 red,14B GSA,EXACT,Excel Soccer Academy 14B Red,FUZZY
4/27/2025,Brazas 2014 Boys Black Marcos,14B GSA,2,2,T,T,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19916711,404655,brazas 2014 boys black marcos,14b gsa,Brazas 2014 Boys Black Marcos,EXACT,14B GSA,EXACT
4/26/2025,14B GSA,14 ECNL #2,5,3,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19916708,404655,14b gsa,14 ecnl 2,14B GSA,EXACT,,NO_MATCH
4/13/2025,14B GSA,AZ Arsenal Pre-ECNL B14,5,1,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19916703,404655,14b gsa,az arsenal preecnl b14,14B GSA,EXACT,AZ Arsenal Pre-ECNL B14,EXACT
3/30/2025,14B GSA,Phoenix United 14 Elite,1,1,T,T,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20024179,404655,14b gsa,phoenix united 14 elite,14B GSA,EXACT,,NO_MATCH
3/29/2025,14B GSA,Chelsea 13B,4,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20024171,404655,14b gsa,chelsea 13b,14B GSA,EXACT,,NO_MATCH
2/8/2025,CCV STARS 14 Boys Orange PEO,14B GSA,0,3,L,W,Desert Classic 2025,Desert Classic,U12B U12 Boys Silver,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969285,404655,ccv stars 14 boys orange peo,14b gsa,,NO_MATCH,14B GSA,EXACT
1/4/2025,14B GSA,Sun Warriors 13/14 Boys,2,1,W,L,New Year's Futures Cup 2025,New Year's Futures Cup,U12B U12 Boys Cobalt,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18592453,404655,14b gsa,sun warriors 1314 boys,14B GSA,EXACT,Sun Warriors 15/16 Boys,FUZZY
11/29/2024,Legends FC AZ 14B FC,14B GSA,0,0,T,T,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327414,404655,legends fc az 14b fc,14b gsa,Legends FC AZ 14B Black,FUZZY,14B GSA,EXACT
10/12/2024,14B GSA,PSG 14B Blue,8,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825605,404655,14b gsa,psg 14b blue,14B GSA,EXACT,PSG 14B Blue,EXACT
10/12/2024,Excel Soccer Academy 14 Red,14B GSA,3,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825609,404655,excel soccer academy 14 red,14b gsa,Excel Soccer Academy 14B Red,FUZZY,14B GSA,EXACT
10/11/2024,14B GSA,Playmaker Futbol Academy 14B Gold,2,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825613,404655,14b gsa,playmaker futbol academy 14b gold,14B GSA,EXACT,Playmaker Futbol Academy 14B Gold,EXACT
9/29/2024,Legends FC AZ 14B FC,14B GSA,2,3,L,W,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816295,404655,legends fc az 14b fc,14b gsa,Legends FC AZ 14B Black,FUZZY,14B GSA,EXACT
9/29/2024,14B GSA,Next Level Soccer Southeast 2014 Boys Red,4,0,W,L,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816294,404655,14b gsa,next level soccer southeast 2014 boys red,14B GSA,EXACT,Southeast 2014 Boys Red,FUZZY
9/28/2024,14B GSA,Tuzos Royals 2014,6,0,W,L,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816291,404655,14b gsa,tuzos royals 2014,14B GSA,EXACT,Tuzos Royals 2014,EXACT
9/28/2024,Next Level Soccer Northwest 2014 Boys,14B GSA,0,6,L,W,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816287,404655,next level soccer northwest 2014 boys,14b gsa,Northwest 2014 Boys,FUZZY,14B GSA,EXACT
9/27/2024,14B GSA,Next Level Soccer Southeast 2014 Boys Red,1,1,T,T,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816280,404655,14b gsa,next level soccer southeast 2014 boys red,14B GSA,EXACT,Southeast 2014 Boys Red,FUZZY
9/15/2024,13B Flores,14B GSA,3,1,W,L,2024 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Argentina,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674850,404655,13b flores,14b gsa,,NO_MATCH,14B GSA,EXACT
9/14/2024,14B GSA,Scottsdale 13 Sandsharks Select,0,1,L,W,2024 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Argentina,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674843,404655,14b gsa,scottsdale 13 sandsharks select,14B GSA,EXACT,Scottsdale 14 Sandsharks Select,FUZZY
9/13/2024,Playmaker Futbol Academy 14B Black,14B GSA,2,6,L,W,2024 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Argentina,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674847,404655,playmaker futbol academy 14b black,14b gsa,Playmaker Futbol Academy 14B Black,EXACT,14B GSA,EXACT
4/21/2024,14B GSA,Chelsea 13B,1,2,L,W,Schools Out For Summer 2024,Schools Out,U11B U11 Boys B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",15600190,404655,14b gsa,chelsea 13b,14B GSA,EXACT,,NO_MATCH
4/20/2024,Juventus,14B GSA,0,5,L,W,Schools Out For Summer 2024,Schools Out,U11B U11 Boys B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",15600184,404655,juventus,14b gsa,,NO_MATCH,14B GSA,EXACT
4/19/2024,14B GSA,Tuzos Royals 2014,4,1,W,L,Schools Out For Summer 2024,Schools Out,U11B U11 Boys B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",15600186,404655,14b gsa,tuzos royals 2014,14B GSA,EXACT,Tuzos Royals 2014,EXACT
10/4/2025,Tuzos Royals 2014,14 Pre-MLSN #1,0,3,L,W,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544421,365177,tuzos royals 2014,14 premlsn 1,Tuzos Royals 2014,EXACT,14 Pre-MLSN #1,EXACT
9/28/2025,Tuzos Royals 2014,Southeast 2014 Boys Red,2,1,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796055,365177,tuzos royals 2014,southeast 2014 boys red,Tuzos Royals 2014,EXACT,Southeast 2014 Boys Red,EXACT
9/27/2025,Southeast 2015 Boys Red,Tuzos Royals 2014,3,0,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796060,365177,southeast 2015 boys red,tuzos royals 2014,Southeast 2014 Boys Red,FUZZY,Tuzos Royals 2014,EXACT
9/21/2025,Excel Soccer Academy 14B Red,Tuzos Royals 2014,3,0,W,L,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544447,365177,excel soccer academy 14b red,tuzos royals 2014,Excel Soccer Academy 14B Red,EXACT,Tuzos Royals 2014,EXACT
9/20/2025,Tuzos Royals 2014,Southeast 2014 Boys Blue,0,2,L,W,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544441,365177,tuzos royals 2014,southeast 2014 boys blue,Tuzos Royals 2014,EXACT,Southeast 2014 Boys Blue,EXACT
9/7/2025,Tuzos Royals 2014,Dynamos SC 14B SC,2,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426332,365177,tuzos royals 2014,dynamos sc 14b sc,Tuzos Royals 2014,EXACT,Dynamos SC 14B SC,EXACT
9/6/2025,Phoenix United 2015 Elite,Tuzos Royals 2014,0,1,L,W,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426328,365177,phoenix united 2015 elite,tuzos royals 2014,,NO_MATCH,Tuzos Royals 2014,EXACT
8/31/2025,Dynamos SC 14B SC,Tuzos Royals 2014,0,2,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380482,365177,dynamos sc 14b sc,tuzos royals 2014,Dynamos SC 14B SC,EXACT,Tuzos Royals 2014,EXACT
8/30/2025,Tuzos Royals 2014,14 Pre-MLSN #1,2,2,T,T,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380479,365177,tuzos royals 2014,14 premlsn 1,Tuzos Royals 2014,EXACT,14 Pre-MLSN #1,EXACT
8/9/2025,City SC Central Valley AV-B2014,Tuzos Royals 2014,2,2,T,T,2025 Los Angeles Cup,Tournaments Powered by Rated Sports ,U12B U12 - Super Pro,Lancaster National Soccer Center,"43000 30th St E, Lancaster, CA 93535",21614317,365177,city sc central valley avb2014,tuzos royals 2014,,NO_MATCH,Tuzos Royals 2014,EXACT
8/9/2025,Tuzos Royals 2014,Desert Communities Soccer Club,0,2,L,W,2025 Los Angeles Cup,Tournaments Powered by Rated Sports ,U12B U12 - Super Pro,Lancaster National Soccer Center,"43000 30th St E, Lancaster, CA 93535",21614319,365177,tuzos royals 2014,desert communities soccer club,Tuzos Royals 2014,EXACT,,NO_MATCH
