Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID
3/30/2025,2014B West,Excel Soccer Academy 14B Red,3,0,W,L,Tuzos Challenge 2025,Tuzos Challenge,U11B U11 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19950209,188448
3/29/2025,Tuzos Royals 2014,Excel Soccer Academy 14B Red,1,3,L,W,Tuzos Challenge 2025,Tuzos Challenge,U11B U11 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19950202,188448
3/29/2025,Excel Soccer Academy 14B Red,2014B West,0,3,L,W,Tuzos Challenge 2025,Tuzos Challenge,U11B U11 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19950203,188448
3/21/2025,2014B West,Excel Soccer Academy 14B Red,0,3,L,W,TFC Spring Cup 2025,TFC Spring Cup,U12B U12 Boys Gold,Rose Mofford,"9833 N 25th Ave, Phoenix, AZ 85021",19881268,188448
3/1/2025,14B JCFresquez Pre-MLS Next,Excel Soccer Academy 14B Red,1,2,L,W,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745239,188448
2/23/2025,Excel Soccer Academy 14B Red,Tuzos Royals 2014,2,0,W,L,AZFC Select Invitational 2025,AZFC Select Invitational ,U11B B2014 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19118008,188448
2/23/2025,Excel Soccer Academy 14B Red,Phoenix Premier FC 14B CG,4,0,W,L,AZFC Select Invitational 2025,AZFC Select Invitational ,U11B B2014 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19118007,188448
2/22/2025,Excel Soccer Academy 14B Red,Playmaker Futbol Academy 14B Gold,2,0,W,L,AZFC Select Invitational 2025,AZFC Select Invitational ,U11B B2014 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19118005,188448
2/22/2025,Tuzos Royals 2014,Excel Soccer Academy 14B Red,1,1,T,T,AZFC Select Invitational 2025,AZFC Select Invitational ,U11B B2014 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19118003,188448
2/9/2025,PRFC North Valley 14B PreAcademy,Excel Soccer Academy 14B Red,2,1,W,L,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969245,188448
2/8/2025,Excel Soccer Academy 14B Red,PRFC North Valley 14B PreAcademy,2,4,L,W,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969242,188448
2/8/2025,Excel Soccer Academy 14B Red,Next Level Soccer Southeast 2014 Boys Red,4,1,W,L,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969236,188448
2/7/2025,Next Level Soccer Southeast 2014 Boys Blue,Excel Soccer Academy 14B Red,1,7,L,W,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969241,188448
2/2/2025,CCV STARS 14 Boys Orange LAV,Excel Soccer Academy 14B Red,1,5,L,W,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Red Mountain (ASA),"905 N. Sun Valley Blvd , Mesa, AZ 85207",16745231,188448
12/7/2024,14 ECNL #2,Excel Soccer Academy 14B Red,3,3,T,T,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Red Mountain (ASA),"905 N. Sun Valley Blvd , Mesa, AZ 85207",16745202,188448
10/26/2024,Excel Soccer Academy 14B Red,14 ECNL #1,4,3,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",16745177,188448
10/20/2024,Excel Soccer Academy 14B Red,14B Flores,5,2,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745188,188448
10/19/2024,AZ Arsenal Pre-ECNL B14,Excel Soccer Academy 14B Red,4,1,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745199,188448
10/12/2024,Excel Soccer Academy 14B Red,14B GSA,3,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825609,188448
10/12/2024,Playmaker Futbol Academy 14B Gold,Excel Soccer Academy 14B Red,0,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825606,188448
10/11/2024,Excel Soccer Academy 14B Red,PSG 14B Blue,5,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825614,188448
10/6/2024,Excel Soccer Academy 14B Red,14B Velasco Pre-MLS Next,1,2,L,W,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745214,188448
10/5/2024,Excel Soccer Academy 14B Red,Legends FC AZ 14B FC,2,2,T,T,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745248,188448
9/28/2024,Excel Soccer Academy 14B Red,PRFC North Valley 14B PreAcademy,5,3,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",16745235,188448
9/21/2024,Excel Soccer Academy 14B Red,Playmaker Futbol Academy 14B Black,10,2,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745221,188448
4/20/2024,Excel Soccer Academy 14B Red,2014 Boys Yellow,3,4,L,W,2024 Arizona Presidents Cup,Arizona Presidents Cup ,U10B 10U Boys Gold,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",15550734,188448
4/19/2024,Excel Soccer Academy 14B Red,Tuzos Royals 2014,2,2,T,T,2024 Arizona Presidents Cup,Arizona Presidents Cup ,U10B 10U Boys Gold,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",15550730,188448
10/4/2025,CCV Stars 14 Boys North Pre-ECNL,PRFC North Valley 14B PreAcademy,1,1,T,T,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544449,68446
9/20/2025,PRFC North Valley 14B PreAcademy,Dynamos SC 14B SC,1,1,T,T,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544444,68446
4/27/2025,FC ARIZONA 13 GFC CUEVAS,PRFC North Valley 14B PreAcademy,8,0,W,L,2025 Arizona State Cup,Arizona State Cup,U12B 12U Boys - Driven by Ford Explorer SUV,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19905471,68446
4/25/2025,Playmaker Futbol Academy 13B Black,PRFC North Valley 14B PreAcademy,11,1,W,L,2025 Arizona State Cup,Arizona State Cup,U12B 12U Boys - Driven by Ford Explorer SUV,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19905470,68446
4/13/2025,PRFC North Valley 14B PreAcademy,14B Velasco Pre-MLS Next,4,2,W,L,2025 Arizona State Cup,Arizona State Cup,U12B 12U Boys - Driven by Ford Explorer SUV,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19905466,68446
4/11/2025,PRFC North Valley 14B PreAcademy,PRFC North Valley 13B PreAcademy,1,6,L,W,2025 Arizona State Cup,Arizona State Cup,U12B 12U Boys - Driven by Ford Explorer SUV,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19905464,68446
3/22/2025,PRFC North Valley 14B PreAcademy,14B JCFresquez Pre-MLS Next,0,3,L,W,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U11B BU11 Super Pro,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917332,68446
3/21/2025,PRFC North Valley 14B PreAcademy,Legends FC AZ 14B FC,0,0,T,T,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U11B BU11 Super Pro,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917324,68446
3/2/2025,PRFC North Valley 14B PreAcademy,AZ Arsenal Pre-ECNL B14,4,0,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745173,68446
3/1/2025,PRFC North Valley 14B PreAcademy,14B Velasco Pre-MLS Next,1,1,T,T,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745225,68446
2/21/2025,PRFC North Valley 14B PreAcademy,Phoenix United 2015 Elite,3,3,T,T,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SUPER - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18996290,68446
2/9/2025,PRFC North Valley 14B PreAcademy,Excel Soccer Academy 14 Red,2,1,W,L,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969245,68446
2/8/2025,Excel Soccer Academy 14 Red,PRFC North Valley 14B PreAcademy,2,4,L,W,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969242,68446
2/8/2025,Tuzos Royals 2014,PRFC North Valley 14B PreAcademy,2,3,L,W,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969237,68446
2/7/2025,PRFC North Valley 14B PreAcademy,Legends FC AZ 14B FC,1,0,W,L,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969240,68446
2/1/2025,PRFC North Valley 14B PreAcademy,Legends FC AZ 14B FC,2,3,L,W,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Red Mountain (ASA),"905 N. Sun Valley Blvd , Mesa, AZ 85207",16745203,68446
12/14/2024,PRFC North Valley 14B PreAcademy,14B Velasco Pre-MLS Next,2,2,T,T,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Portugal,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18437772,68446
12/8/2024,PRFC North Valley 14B PreAcademy,14 ECNL #2,3,2,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Red Mountain (ASA),"905 N. Sun Valley Blvd , Mesa, AZ 85207",16745240,68446
11/24/2024,14B JCFresquez Pre-MLS Next,PRFC North Valley 14B PreAcademy,0,3,L,W,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181898,68446
11/23/2024,14 ECNL #1,PRFC North Valley 14B PreAcademy,2,1,W,L,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181896,68446
11/23/2024,PRFC North Valley 14B PreAcademy,Next Level Soccer Southeast 2014 Boys Red,6,4,W,L,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181895,68446
10/20/2024,PRFC North Valley 14B PreAcademy,14 ECNL #1,4,2,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745229,68446
10/19/2024,Playmaker Futbol Academy 14B Black,PRFC North Valley 14B PreAcademy,2,3,L,W,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745192,68446
10/13/2024,PRFC North Valley 14B PreAcademy,Next Level Soccer Northwest 2014 Boys,2,2,T,T,Arsenal Challenge 2024,Arsenal Challenge,U11B 11U 2014 Boys Gold,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",17857943,68446
10/12/2024,PRFC North Valley 14B PreAcademy,AZ Arsenal Pre-ECNL B14,1,7,L,W,Arsenal Challenge 2024,Arsenal Challenge,U11B 11U 2014 Boys Gold,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",17857938,68446
10/11/2024,Brazas 2014 Boys Black Marcos,PRFC North Valley 14B PreAcademy,1,3,L,W,Arsenal Challenge 2024,Arsenal Challenge,U11B 11U 2014 Boys Gold,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",17857935,68446
9/29/2024,CCV STARS 14 Boys Orange LAV,PRFC North Valley 14B PreAcademy,3,4,L,W,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",16745186,68446
9/28/2024,Excel Soccer Academy 14 Red,PRFC North Valley 14B PreAcademy,5,3,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",16745235,68446
9/22/2024,PRFC North Valley 14B PreAcademy,14B Flores,4,1,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745244,68446
9/21/2024,14B JCFresquez Pre-MLS Next,PRFC North Valley 14B PreAcademy,2,0,W,L,2024-2025 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U11B 11U Boys APL,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",16745183,68446
9/27/2025,AZEV B2014 (NAVY),BRAZAS FC 2014 Boys Black,1,5,L,W,2025 Arizona Cup AYSO United,Arizona Athletic Grounds Tournament Series,U12B U12 Boys,Arizona Athletic Grounds,"6321 S Ellsworth Road , Mesa, AZ 85212",22769773,342294
9/26/2025,AZEV B2014 (NAVY),PSC 2014B,0,0,T,T,2025 Arizona Cup AYSO United,Arizona Athletic Grounds Tournament Series,U12B U12 Boys,Arizona Athletic Grounds,"6321 S Ellsworth Road , Mesa, AZ 85212",22769779,342294
9/24/2025,PRFC West Valley 14B Predator,AZEV B2014 (NAVY),1,8,L,W,2025 Arizona Cup AYSO United,Arizona Athletic Grounds Tournament Series,U12B U12 Boys,Arizona Athletic Grounds,"6321 S Ellsworth Road , Mesa, AZ 85212",22769778,342294
9/20/2025,AZEV B2014 (NAVY),Tuzos Chandler 2014 boys,6,4,W,L,2025-26 MaxinMotion Open League Season 1,OPEN League: Season 1,U12B MaxInMotion Open League Champions 12U Boys,Quail Run (ASA),"4155 E. Virginia , Mesa, AZ 85215 ",21792642,342294
9/13/2025,NOS Santos 14 Boys Blue,AZEV B2014 (NAVY),4,1,W,L,2025-26 MaxinMotion Open League Season 1,OPEN League: Season 1,U12B MaxInMotion Open League Champions 12U Boys,EV- NOS Santos Soccer Complex (NOS),"12347 S. Sossaman , Mesa, AZ 85212",21792641,342294
9/7/2025,Madison FC 14 Gold Boys,AZEV B2014 (NAVY),4,2,W,L,FSC Champions Cup (Boys - 2025),Flagstaff Soccer United Cup,U12B U12B United (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",22366384,342294
9/6/2025,AZEV B2014 (NAVY),Southeast 2014 Boys Red,1,2,L,W,FSC Champions Cup (Boys - 2025),Flagstaff Soccer United Cup,U12B U12B United (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",22366380,342294
9/6/2025,PRFC Desert Foothills 14B Pre-Academy,AZEV B2014 (NAVY),2,3,L,W,FSC Champions Cup (Boys - 2025),Flagstaff Soccer United Cup,U12B U12B United (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",22366375,342294
4/19/2025,Next Level Soccer Southeast 2014 Boys Red,AZEV B2014 (NAVY),5,0,W,L,East Valley Spring Invitational 2025,East Valley Spring Invitational,U11B Group A (U11 Boys),EV/NSFC Soccer Complex (EV Tournament Series),"3761 S Power Road , Mesa, AZ 85212",20256857,342294
4/16/2025,AZEV B2014 (NAVY),AZ Arsenal 14 Boys Teal 1,1,0,W,L,East Valley Spring Invitational 2025,East Valley Spring Invitational,U11B Group A (U11 Boys),EV/NSFC Soccer Complex (EV Tournament Series),"3761 S Power Road , Mesa, AZ 85212",20256854,342294
4/14/2025,East Valley NSFC 14 Boys Aguirre,AZEV B2014 (NAVY),1,0,W,L,East Valley Spring Invitational 2025,East Valley Spring Invitational,U11B Group A (U11 Boys),EV/NSFC Soccer Complex (EV Tournament Series),"3761 S Power Road , Mesa, AZ 85212",20256852,342294
4/13/2025,AZEV B2014 (NAVY),AZ Arsenal 14 Boys Teal 1,4,2,W,L,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Silver 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20360424,342294
4/13/2025,PRFC Southeast Valley 14B Predator,AZEV B2014 (NAVY),1,8,L,W,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Silver 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20360417,342294
4/12/2025,AZEV B2014 (NAVY),AZ Arsenal 14 Boys Teal 1,1,1,T,T,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Silver 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20360421,342294
4/11/2025,AZEV B2014 (NAVY),AZ Arsenal 14 Boys Teal 2 SC,7,2,W,L,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Silver 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20360415,342294
3/9/2025,AZEV B2014 (NAVY),CCV STARS 14 Boys Orange LAV,1,0,W,L,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys Agyemang,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",19606464,342294
3/5/2025,AZEV B2014 (NAVY),East Valley NSFC 14 Boys Aguirre,6,2,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 2 11U Boys,EV- EVNSFC Soccer Complex,"3761 S. Power Road, Mesa, AZ 85212",18566351,342294
3/1/2025,AZEV B2014 (NAVY),14,8,4,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 2 11U Boys,Greenfield Junior High,"101 S. Greenfield Road , Gilbert, AZ 85296",18566333,342294
3/1/2025,PRFC Southeast Valley 14B Pre-Academy,AZEV B2014 (NAVY),0,7,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 2 11U Boys,Red Mountain (ASA),"905 N. Sun Valley Blvd , Mesa, AZ 85207",18566337,342294
2/22/2025,14B Jimmy,AZEV B2014 (NAVY),0,1,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 2 11U Boys,Snedigar Sports Complex (RSL- S),"4511 S Alma School Rd, Chandler, AZ 85248",18566358,342294
2/15/2025,AZEV B2014 (NAVY),14B Engilman,4,0,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 2 11U Boys,Greenfield Junior High,"101 S. Greenfield Road , Gilbert, AZ 85296",18566352,342294
1/25/2025,AZEV B2014 (NAVY),Legends FC AZ 14B Gold,4,2,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 2 11U Boys,Greenfield Junior High,"101 S. Greenfield Road , Gilbert, AZ 85296",18566342,342294
1/12/2025,AZEV B2014 (NAVY),CCV STARS 14 Boys Navy PEO,4,0,W,L,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Silver - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604653,342294
1/11/2025,14B Jimmy,AZEV B2014 (NAVY),1,1,T,T,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Silver - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604646,342294
1/10/2025,AZEV B2014 (NAVY),Next Level Soccer Northwest 2014 Boys,1,0,W,L,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Silver - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604649,342294
12/15/2024,PRFC North Valley 14B Predator,AZEV B2014 (NAVY),0,4,L,W,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Senegal,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18438118,342294
12/15/2024,AZEV B2014 (NAVY),PRFC Scottsdale 14B Pre-Academy,6,2,W,L,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Senegal,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18438121,342294
12/14/2024,East Valley NSFC 14 Boys Aguirre,AZEV B2014 (NAVY),0,0,T,T,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Senegal,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18438109,342294
12/7/2024,West Valley 2014 Boys Martinez Pre-Elite64,AZEV B2014 (NAVY),0,2,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 3 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",17047226,342294
11/24/2024,PRFC North Valley 14B Predator,AZEV B2014 (NAVY),3,8,L,W,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Bronze West ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181949,342294
11/23/2024,CCV STARS 14 Boys Orange LAV,AZEV B2014 (NAVY),1,8,L,W,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Bronze West ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181944,342294
11/22/2024,AZEV B2014 (NAVY),PRFC Southeast Valley 14B Predator,5,0,W,L,2024 Heritage Cup ,Heritage Cup,U11B 11u Boys Bronze West ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18181946,342294
11/9/2024,Legends FC AZ 14B Black,AZEV B2014 (NAVY),0,8,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 3 11U Boys,Brophy Sports Campus,"4800 N 7th St, Phoenix, AZ 85012",17047237,342294
10/26/2024,PRFC Scottsdale 14B Pre-Academy,AZEV B2014 (NAVY),1,2,L,W,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Platinum - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17979995,342294
10/26/2024,PRFC Southeast Valley 14B Pre-Academy,AZEV B2014 (NAVY),3,7,L,W,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Platinum - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17980000,342294
10/25/2024,AZEV B2014 (NAVY),PRFC Southeast Valley 14B Predator,4,1,W,L,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Platinum - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17979998,342294
10/19/2024,AZEV B2014 (NAVY),14,2,4,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 3 11U Boys,Greenfield Junior High,"101 S. Greenfield Road , Gilbert, AZ 85296",17047246,342294
10/5/2024,AZEV B2014 (NAVY),Tuzos Halcones 2014,5,6,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 3 11U Boys,Greenfield Junior High,"101 S. Greenfield Road , Gilbert, AZ 85296",17047240,342294
9/28/2024,Phoenix Premier FC 14B SW,AZEV B2014 (NAVY),0,4,L,W,2024 Arizona Cup AYSO United ,Arizona Athletic Grounds Tournament Series,U11B U11 Boys,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17804242,342294
9/27/2024,AZEV B2014 (NAVY),14 Cityzens,3,1,W,L,2024 Arizona Cup AYSO United ,Arizona Athletic Grounds Tournament Series,U11B U11 Boys,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17804238,342294
9/21/2024,AZEV B2014 (NAVY),Phoenix Premier FC 14B Black,5,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 3 11U Boys,Greenfield Junior High,"101 S. Greenfield Road , Gilbert, AZ 85296",17047234,342294
10/4/2025,14B Hermanson,Madison FC 14 Gold Boys,2,6,L,W,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys State League 1 East,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21538100,96965
10/3/2025,PRFC Desert Foothills 14B Pre-Academy,Madison FC 14 Gold Boys,4,3,W,L,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys State League 1 East,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21538107,96965
