team_id,display_name,opponent_team_id,opponent_display_name,date,goals_for,goals_against,result
ext_1cb2a58b379f,Magnifico FC B15E,ext_c2818be64326,wyo 307 2015 boys,2025-02-08,0.0,4.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_c2818be64326,wyo 307 2015 boys,2025-02-08,2.0,2.0,D
ext_1cb2a58b379f,Magnifico FC B15E,ext_1e5e44491fae,utah surf 15b bwilbur,2025-02-07,6.0,3.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_ec12eccd4b12,la roca 15b-d moss,2025-02-07,9.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_cd46ea8a71c6,vegas united ‘15 boys elite,2025-02-02,4.0,3.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_47c6d177a7bc,las vegas sports academy u10 boys white 2015,2025-02-02,0.0,4.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_47c6d177a7bc,las vegas sports academy u10 boys white 2015,2025-02-01,2.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_6f71708f7e57,rayados las vegas soccer academy 2015 blue,2025-02-01,3.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_e3384ca35fca,villarreal lv u10 yellow,2025-01-25,3.0,0.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_f8458a8e7219,magnifico fc15e,2025-01-20,3.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_f8458a8e7219,magnifico fc15e,2025-01-20,4.0,3.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_f8458a8e7219,magnifico fc15e,2025-01-19,11.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_f8458a8e7219,magnifico fc15e,2025-01-20,5.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_360317c1043b,b2015 west - blue,2025-01-19,1.0,4.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_f8458a8e7219,magnifico fc15e,2025-01-18,6.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_c1c66a0dcd24,sr10 desperados (hutchinson),2024-12-15,8.0,2.0,W
