Rank,Team,team_id,PowerScore,GamesPlayed,Wins,Losses,Draws,GoalsFor,GoalsAgainst,WinPct,GPG,GPA
233,academia metodo coira 2015 elite,ext_e19b477f2f3c,0.16000000000000003,1,0,0,1,2.0,2.0,0.0,2.0,2.0
234,next level soccer northwest 2015 boys black,ext_829e755eac0f,0.15384615384615385,2,0,1,1,5.0,6.0,0.0,2.5,3.0
235,coerfontaine fc 16b premier,ext_cb721eaac9b0,0.15000000000000002,1,0,1,0,3.0,4.0,0.0,3.0,4.0
236,15b bernal/garza 2,ext_2e15fd481605,0.15000000000000002,1,0,1,0,3.0,4.0,0.0,3.0,4.0
237,roa soccer academy 2014 blue,ext_fb65e50ac6ff,0.15000000000000002,1,0,1,0,3.0,4.0,0.0,3.0,4.0
238,galacticos soccer academy 2015 elite,ext_1442eeeda18c,0.15000000000000002,1,0,1,0,3.0,4.0,0.0,3.0,4.0
239,solrise soccer academy 2015b elite,ext_9aa7c56d3c29,0.15000000000000002,1,0,1,0,3.0,4.0,0.0,3.0,4.0
240,2014 maryland united fc e1,ext_b8a31d9d88b9,0.15000000000000002,1,0,1,0,3.0,4.0,0.0,3.0,4.0
241,rslaz southern 15b rayados white,ext_9b553e03a5a2,0.15000000000000002,1,0,1,0,3.0,4.0,0.0,3.0,4.0
242,north oc b14 ea2,ext_477aad4f835b,0.15000000000000002,1,0,1,0,3.0,4.0,0.0,3.0,4.0
243,stovi stars 2015 prodigy,ext_4938a75549c2,0.14545454545454548,2,0,1,1,4.0,5.0,0.0,2.0,2.5
244,fhfc 2015 b blue,ext_6959e5b58814,0.14545454545454548,1,0,1,0,4.0,6.0,0.0,4.0,6.0
245,anbbk boynton beach knights bbk-2014-b-red,ext_d6b68575bebe,0.14545454545454548,1,0,1,0,4.0,6.0,0.0,4.0,6.0
246,magnifico fc b15p,ext_2a0fab984b16,0.14545454545454548,2,0,1,1,4.0,5.0,0.0,2.0,2.5
247,bethesda academy i 2015,ext_3f4f8446c1fd,0.14285714285714288,2,0,1,1,5.0,7.0,0.0,2.5,3.5
248,jam - perin,ext_2a173aabb4ab,0.13333333333333333,1,0,1,0,3.0,5.0,0.0,3.0,5.0
249,state 48 fc 15 copper,ext_25c93fcc7e04,0.13333333333333333,1,0,1,0,2.0,3.0,0.0,2.0,3.0
250,prfc scottsdale 15b predator,ext_e1803a091e45,0.13333333333333333,2,0,1,1,5.0,8.0,0.0,2.5,4.0
251,fc florida prep 2015,ext_c800ceb41eb2,0.13333333333333333,1,0,1,0,3.0,5.0,0.0,3.0,5.0
252,valley surf 14b academy ii,ext_7d8f8ca8e9dd,0.13333333333333333,1,0,1,0,2.0,3.0,0.0,2.0,3.0
253,loudoun 2015b pre-mls next red,ext_dae6374a9450,0.13333333333333333,1,0,1,0,3.0,5.0,0.0,3.0,5.0
254,gt18 b15,ext_bf170d6e8cfb,0.13333333333333333,2,0,2,0,4.0,6.0,0.0,2.0,3.0
255,sd surf academy boys select 2015 (keith),ext_c72ab74da153,0.13333333333333333,1,0,0,1,1.0,1.0,0.0,1.0,1.0
256,2015 boys,ext_405db0083f19,0.13333333333333333,1,0,1,0,2.0,3.0,0.0,2.0,3.0
257,labelle heat 15/16,ext_3dbaf8a351b7,0.13333333333333333,1,0,1,0,5.0,9.0,0.0,5.0,9.0
258,barça academy pro miami - b2014 christensen,ext_72cb8969d3f4,0.13333333333333333,1,0,1,0,2.0,3.0,0.0,2.0,3.0
259,2014 boston pre-neal,ext_8fbc587b4df4,0.13333333333333333,1,0,1,0,3.0,5.0,0.0,3.0,5.0
260,potomac pre-ecnl ii 14b,ext_8f3fada66f9c,0.13333333333333333,1,0,1,0,2.0,3.0,0.0,2.0,3.0
261,doral west 2015,ext_6c641e2fd1b6,0.13333333333333333,1,0,0,1,1.0,1.0,0.0,1.0,1.0
262,north carolina fc 2015 south red,ext_b788364e5bd2,0.13333333333333333,1,0,1,0,3.0,5.0,0.0,3.0,5.0
263,doral west 2014,ext_49d67575e48e,0.13333333333333333,1,0,1,0,2.0,3.0,0.0,2.0,3.0
264,coppermine sc 2014 boys pre-academy ii,ext_51a613f7ae19,0.13333333333333333,1,0,0,1,1.0,1.0,0.0,1.0,1.0
265,2014 red,ext_4f2e9da5d50d,0.13333333333333333,1,0,0,1,1.0,1.0,0.0,1.0,1.0
266,cosc pre-ecnl b15 ii,ext_5f36ff8643f1,0.13333333333333333,1,0,1,0,2.0,3.0,0.0,2.0,3.0
267,15 elite,ext_974b57d9d37b,0.13333333333333333,1,0,0,1,1.0,1.0,0.0,1.0,1.0
268,alex 2014 boys white,ext_1b35818c2c17,0.13333333333333333,1,0,1,0,3.0,5.0,0.0,3.0,5.0
269,Northwest 2015 Boys Black,75355fcc1c72,0.13333333333333333,2,0,1,1,3.0,4.0,0.0,1.5,2.0
270,henderson lvsa '15b silver,ext_be821cec1cf1,0.12799999999999997,3,0,2,1,8.0,14.0,0.0,2.6666666666666665,4.666666666666667
271,mclean youth soccer 2015 boys green,ext_77d6c3146011,0.12173913043478263,3,0,2,1,7.0,13.0,0.0,2.3333333333333335,4.333333333333333
272,players 14 boys elite,ext_65ad236ebc8c,0.12,2,0,1,1,3.0,5.0,0.0,1.5,2.5
273,pbg 14 boys premier,ext_54b9090d1475,0.12,2,0,1,1,3.0,5.0,0.0,1.5,2.5
274,placer united 14b black,ext_5ef4eb850004,0.12,2,0,1,1,3.0,5.0,0.0,1.5,2.5
275,utah surf 15b bwilbur,ext_1e5e44491fae,0.12,1,0,1,0,3.0,6.0,0.0,3.0,6.0
276,takoma park friends united 2014,ext_27d0e8a0db84,0.12,1,0,1,0,3.0,6.0,0.0,3.0,6.0
277,15b garza/bernal 2,ext_d093ea69e42c,0.12,1,0,1,0,3.0,6.0,0.0,3.0,6.0
278,rayados las vegas soccer academy 2015 blue,ext_6f71708f7e57,0.12,2,0,2,0,3.0,5.0,0.0,1.5,2.5
279,kbsc elite 2015,ext_35c9eb1c1c00,0.11428571428571428,3,0,2,1,4.0,7.0,0.0,1.3333333333333333,2.3333333333333335
280,rayados las vegas soccer academy 2015 white,ext_28671399a1c4,0.11428571428571428,1,0,1,0,2.0,4.0,0.0,2.0,4.0
281,psg academy fl1 u11 dembele,ext_2781809864e9,0.11428571428571428,1,0,1,0,2.0,4.0,0.0,2.0,4.0
282,br14 b,ext_070095dcd3da,0.11428571428571428,1,0,1,0,2.0,4.0,0.0,2.0,4.0
283,b14 blue miguel,ext_d7ac39a5668a,0.11428571428571428,1,0,1,0,2.0,4.0,0.0,2.0,4.0
284,pima surf academy boys 15,ext_59adc7125c46,0.11111111111111112,3,0,2,1,5.0,10.0,0.0,1.6666666666666667,3.3333333333333335
285,sac boys 2015 - pre-academy,ext_e7c33137e9b1,0.10909090909090911,3,0,2,1,6.0,13.0,0.0,2.0,4.333333333333333
286,potomac pre ecnl i 15b,ext_1a37ae1fbab4,0.10909090909090909,1,0,1,0,3.0,7.0,0.0,3.0,7.0
287,15b blue west #1,ext_45eef78c9adc,0.10909090909090909,1,0,1,0,3.0,7.0,0.0,3.0,7.0
288,las vegas sports academy u9 boys red 2016,ext_bac26aba5b80,0.10909090909090909,2,0,1,1,3.0,6.0,0.0,1.5,3.0
289,vegas united ‘15 boys elite,ext_cd46ea8a71c6,0.10909090909090909,2,0,2,0,3.0,6.0,0.0,1.5,3.0
290,fdi 2015,ext_4bf0384d3ed8,0.1,1,0,1,0,2.0,5.0,0.0,2.0,5.0
291,b2015 academy,ext_48181313e2f5,0.1,1,0,1,0,1.0,2.0,0.0,1.0,2.0
292,sta mount olive 2014 boys,ext_49ce8f773ec0,0.1,1,0,1,0,2.0,5.0,0.0,2.0,5.0
293,west pines united fc 2014 premier,ext_824d3a4b876e,0.1,1,0,1,0,1.0,2.0,0.0,1.0,2.0
294,cfc 16 premier,ext_236b100ad35c,0.1,1,0,1,0,1.0,2.0,0.0,1.0,2.0
295,rocklin fc 15b navy,ext_66c6f18fe676,0.1,1,0,1,0,1.0,2.0,0.0,1.0,2.0
296,BRAZAS FC 2015 Boys Black,359b3dbeb65a,0.1,1,0,1,0,3.0,8.0,0.0,3.0,8.0
297,real fa 2015 pre-mls,ext_efa1f901c98a,0.1,2,0,2,0,4.0,10.0,0.0,2.0,5.0
298,milan de miami silver 2014,ext_c0c6597307d3,0.1,1,0,1,0,2.0,5.0,0.0,2.0,5.0
299,b14 rcl 2,ext_c98e1f55943f,0.1,1,0,1,0,1.0,2.0,0.0,1.0,2.0
300,lv heat surf 14b pre np summerlin,ext_8047f91a1eca,0.1,2,0,1,1,3.0,7.0,0.0,1.5,3.5
301,impact sj 15b,ext_564e31381804,0.1,1,0,1,0,2.0,5.0,0.0,2.0,5.0
302,rnyfc 2014 boys pre-mls next,ext_01d429b28a6c,0.1,1,0,1,0,1.0,2.0,0.0,1.0,2.0
303,2015b pre-mls next,ext_86f21f11cd33,0.1,1,0,1,0,1.0,2.0,0.0,1.0,2.0
304,2014 maryland united fc south red,ext_751bc09fb772,0.1,1,0,1,0,3.0,8.0,0.0,3.0,8.0
305,15b blue arviso #1,ext_7501e5bab145,0.1,2,0,1,1,2.0,4.0,0.0,1.0,2.0
306,syc 2015b pre-mls next,ext_9269e67513c3,0.09411764705882353,4,0,3,1,4.0,9.0,0.0,1.0,2.25
307,labelle heat u10 15/16,ext_e2dfa2169d10,0.09230769230769231,1,0,1,0,3.0,9.0,0.0,3.0,9.0
308,lv heat surf 14b pre np henderson,ext_87f99693428b,0.08888888888888889,1,0,1,0,2.0,6.0,0.0,2.0,6.0
309,ws 2015b pele,ext_40f10e425387,0.08888888888888889,1,0,1,0,2.0,6.0,0.0,2.0,6.0
310,miami breakers fc 2015 black,ext_42ee0c91bd7e,0.08888888888888889,1,0,1,0,2.0,6.0,0.0,2.0,6.0
311,tuzos academy gta 2016,ext_3c8a863ea987,0.08888888888888889,1,0,1,0,2.0,6.0,0.0,2.0,6.0
