gotsport_team_id,display_name,club,state,team_association_raw
42160298,VILLARREAL LV U11 EA Yellow-SamA,Villarreal Las Vegas Academy,NV,NV
42160211,LV Heat Surf B15 Pre RP Henderson,LV Heat Surf SC ,NV,NV
42170600,Pre ECNL B15,Davie United SC,FL,FL
42161839,FLFC 2015 Boys Premier,Florida Legends Football Club,FL,FL
42158155,2015 Boys Black - Mbappe,Lehigh Valley United,PAE,PAE
42159867,Southeast 2015 Boys Blue,Next Level Soccer (AZ),AZ,AZ
42159004,Roseville SC 2015B Green,Roseville Youth Soccer Club,CAN,CAN
42158836,Mustang SC 15B Pre-ECNL,Mustang Soccer,CAN,CAN
42158013,City SC B15 Pre MLS Next- Jones,City SC,CAS,CAS
42160991,Players 15 Boys Junior Elite,Players SC,NV,NV
42161270,Raiders FC 2015,Raiders FC,IL,IL
42162342,15B Garza Pre MLS Next,RSL-AZ Southern AZ,AZ,AZ
42159060,North Coast FC 15B Blue,North Coast Futbol Club,CAN,CAN
42159135,15B Red,Sunnyvale Alliance SC,CAN,CAN
42159111,Molano Futbol Academy Elite 2015B,Molano Futbol Academy,TXN,TXN
42162356,Palm Beach Wolves SC 2015,Sports Paradize Soccer Academy,FL,FL
42160916,LFA Blue Star 2015B,Lou Fusz Athletic,MO,MO
42162003,2015 Black,South Miami United FC,FL,FL
42163113,Surf Select Boys 2015,New England Surf,MA,MA
42160946,2015 Boys Merrimack Elite,FC Boston Bolts,MA,MA
42158768,LSC 2015B - Gold (Rangers),Loomis Youth Soccer Club,CAN,CAN
42160271,Albion SC Santa Ana B15 Academy,ALBION SC Los Angeles,CAS,CAS
42158620,Doral SC Elite 2015,Doral SC,FL,FL
42158675,FA Euro 2015 Pre-MLS Academy,FA Euro New York,NYE,NYE
42161620,Sting Attack Waco B15 Gonzalez - ARCHIVE,Sting Soccer Club,TXN,TXN
42159045,Solar Pre-ECNL 15B Rodriguez,Solar SC,TXN,TXN
42159440,CVFA 15B Academy II,CV Futbol Academy,CAN,CAN
42158770,PBG 15 PRE-ECNL BOYS NIKE,Palm Beach Kicks,FL,FL
42162337,One Nation Pre MLS NEXT 2015,One Nation Soccer Academy,MD,MD
42159205,Valley Surf 15B Pre-ECNL II,Valley Surf | America,CAN,CAN
42162409,West Pines United FC 2015 Elite,West Pines United FC,FL,FL
42161155,Catalyst 15 N,HTX,TXS,TXS
42163046,AZSC 2015B Navy,Arizona Soccer Club,AZ,AZ
42161840,CCV Stars 15 Boys West Pre-ECNL,CCV STARS,AZ,AZ
42161530,PRFC West Valley 15B Pre-Academy,Phoenix Rising FC,AZ,AZ
42159595,SLSG MO B 2015 Academy Navy,St. Louis Scott Gallagher,MO,MO
42158806,1974 NFC 2015B Pre-ECNL,1974 Newark FC,CAN,CAN
42158823,Davis Legacy 15B Red,Davis Legacy Soccer Club,CAN,CAN
42160369,15 Pre-MLS Next #1,FC Tucson Youth Soccer,AZ,AZ
42159336,JSC 15B Black,JSC Soccer Club,CAN,CAN
42158622,ECFC 15B Black Pre-ECNL,Monterey County Soccer-ECFC Salinas,CAN,CAN
42160868,Valencia 2015 Black North,Valencia Soccer Academy,NJ,NJ
42163968,Silva Select 2015,Silva Select ,FL,FL
