gotsport_team_id,display_name,club,state,age_group,gender
42158817,BUSC 2015B Black,Butte United Soccer Club,AZ,U11,M
42161938,MIAMI UNITED FC 2015 ELITE,Miami Stars Soccer,AZ,U11,M
42161005,JAM Doral - Cuadrado,,AZ,U11,M
42160152,2015 Southern Homestead Elite,Southern Homestead Soccer Academy ,AZ,U11,M
42158695,CCV Stars 15 Boys North Orange,CCV STARS,AZ,U11,M
42159261,2015 Timbers Elite,Boise Timbers | Thorns,AZ,U11,M
42158479,Lincoln FC 15B Blue,Lincoln FC,AZ,U11,M
42158081,B2015 LB Diaz,Beach Futbol Club,AZ,U11,M
42158349,TFA-SELA B2015 Navy,TOTAL FUTBOL ACADEMY (CA),AZ,U11,M
42159475,B15 Red,Albertson Soccer Club,AZ,U11,M
42158296,Whitpain 2015 Black Vipers,Whitpain Recreation Assoc,AZ,U11,M
42161424,West Valley 2015 Boys Valencia Pre-Premier,RSL-AZ West Valley,AZ,U11,M
42161354,2015 Boys White,Pinecrest Premier Soccer,AZ,U11,M
42160203,Avanti SA Pre ECNL B15 Falcon,Avanti Soccer Academy,AZ,U11,M
42158281,CASA 2015M Premier,Capital Area SA,AZ,U11,M
42159474,B15 Blue,Albertson Soccer Club,AZ,U11,M
42162181,Naples Eagles 2015/2016,Bonita Springs Wildcats,AZ,U11,M
42158750,Parkland SC Pre ECNL B15,Parkland Soccer Club,AZ,U11,M
42158831,AC Marin Boys 2015 White,AC Marin,AZ,U11,M
42162144,B2015 CUBARSI,BARCA Academy Pro Miami,AZ,U11,M
42158684,2015 Boys,South Tampa Gold,AZ,U11,M
42159648,Tyler FC 15B,Tyler FC,AZ,U11,M
42158848,Blau Weiss Gottschee '15 Blue,BW Gottschee Academy,AZ,U11,M
42160478,2015 (U11) Grey,Miami Futbol Academy Rush ,AZ,U11,M
42161451,CE 2015B Grasshoppers Black,Columbus Force SC,AZ,U11,M
42158594,2015 Boys Premier,Radnor SC,AZ,U11,M
42158206,B2015 Force,FC Golden State,AZ,U11,M
42160443,Club Ohio West Pre MLS NEXT 15B,Club Ohio,AZ,U11,M
42175510,South Valley United B15 Black,South Valley United Soccer Club,AZ,U11,M
42158196,LFA Blue Star Premier 2015B,Lou Fusz Athletic,AZ,U11,M
42158651,IdeaSport 2015 Pre-MLS 1,IdeaSport Soccer Academy,AZ,U11,M
42159590,NYSC B2015 Blue,New York SC,AZ,U11,M
42158882,15B Pre-ECNL RL,Clovis Crossfire ,AZ,U11,M
42177108,Strikers FC - Irvine - 2015 Flight One,,AZ,U11,M
42159145,Attack B2015,South Shore Futbol Club,AZ,U11,M
42158828,PV United 15B,Pajaro Valley Youth Soccer Club,AZ,U11,M
42161320,Takoma Dreamers Corintias 2015,Takoma Park Soccer Club,AZ,U11,M
42162214,Supra United FC 2015 Black,Supra United FC,AZ,U11,M
42176767,B15E R.Arredondo,Magnifico FC,AZ,U11,M
42162068,Potomac Pre ECNL I 15B,Potomac Soccer Association,AZ,U11,M
42159375,Elk Grove United SC 15B Premier JM,Elk Grove United SC,AZ,U11,M
42158738,FPFC 15B TRP REGIONAL,Florida Premier FC,AZ,U11,M
42159299,Legends SC 15B-A,Legends SC Sacramento,AZ,U11,M
42158379,TFA-OC B2015,TOTAL FUTBOL ACADEMY (CA),AZ,U11,M
42161941,Solar PRE-ECNL B15 Oglesby,Solar SC,AZ,U11,M
42164043,Texas Select 2015,Texas Select FC,AZ,U11,M
42159411,15B Black,Sacramento United,AZ,U11,M
42158513,Chargers TPA B2015 Academy Yellow,Chargers SC TPA,AZ,U11,M
42158654,Mustang SC Man City 15M,Mustang Soccer,AZ,U11,M
42158936,Valley United 15B White,Scotts Valley San Lorenzo Valley Youth Soccer Club,AZ,U11,M
42163687,B15 Academy I,ALBION SC Silicon Valley,AZ,U11,M
