Rank,Team,Club,Team ID,State,Gender,Age Group,Year,Games Played,Wins,Losses,Ties,W-L-T,Goals For,Goals Against,Goal Differential,GFPG,GAPG,Off_norm,Def_norm,SOS_norm,SOS,Raw Power,PowerScore
56,U-12 (2014) Boys Pre Academy Blue,SC del Sol,85988,AZ,M,U12,2014,20,6,12,2,6-12-2,48,52,-4,2.56,2.8,0.415406562054208,0.3499852355859411,0.6448537188386846,0.4746374665874286,0.448235353824727,0.448235353824727
57,Phoenix United 2014 Academy,Phoenix United Futbol Club,518095,AZ,M,U12,2014,20,9,5,6,9-5-6,59,42,17,2.5700000000000003,2.3,0.4180694246314788,0.4862838265528725,0.4346065062634019,0.4163701016330148,0.4477840957599822,0.4477840957599822
58,Madison FC 14 Blue Boys,Madison FC,498236,AZ,M,U12,2014,20,9,11,0,9-11-0,54,53,1,2.62,2.87,0.4313837375178315,0.3337139309278732,0.6401537258309579,0.4733349227652776,0.4469500571248788,0.4469500571248788
59,PRFC West Valley 14B Predator,Phoenix Rising FC,174796,AZ,M,U12,2014,20,9,10,1,9-10-1,73,61,12,3.39,3.35,0.636424155967665,0.2362464113997433,0.4476094581400116,0.4199737058530128,0.439153827297781,0.439153827297781
60,AZ Arsenal 14 Boys Teal SC,Arizona Arsenal Soccer Club,163425,AZ,M,U12,2014,20,5,12,3,5-12-3,32,53,-21,1.6,2.2700000000000005,0.1597717546362339,0.495787214546897,0.768715437369182,0.5089641806926782,0.4380134727859696,0.4380134727859696
61,AZ Inferno 14 Boys Black,AZ Inferno,130761,AZ,M,U12,2014,20,10,10,0,10-10-0,68,62,6,2.92,2.8600000000000003,0.5112696148359485,0.3360022713313025,0.465281747402976,0.42487135807609,0.4340473941634631,0.4340473941634631
62,14B NL #1,FC Tucson Youth Soccer,515148,AZ,M,U12,2014,11,7,4,0,7-4-0,36,18,18,3.21,2.18,0.5884926295767948,0.5253732337735774,0.2345365847122984,0.3609232446087159,0.4763338449344642,0.4287004604410178
63,NOS Santos 14 Boys Blue,NOS Santos SC,85564,AZ,M,U12,2014,20,8,11,1,8-11-1,51,76,-25,3.01,3.2,0.5352353780313835,0.2643118355495842,0.5083476476407239,0.4368065295131178,0.4269171170030439,0.4269171170030439
64,14B Engilman,RSL-AZ North,80232,AZ,M,U12,2014,20,8,10,2,8-10-2,57,58,-1,2.91,2.86,0.5086067522586778,0.3360022713313027,0.4301833716116989,0.4151442856146407,0.4242742267491674,0.4242742267491674
65,Dynamos SC 14B Gold,Dynamos SC,496617,AZ,M,U12,2014,20,9,8,3,9-8-3,59,60,-1,3.13,2.8000000000000003,0.5671897289586303,0.3499852355859411,0.3137238911044439,0.3828690084777897,0.4223715844803252,0.4223715844803252
66,SCFC - 2014,Scottsdale City FC,370208,AZ,M,U12,2014,2,0,1,1,0-1-1,0,3,-3,0.0,1.5,0.0,0.8177619997844497,1.0,0.8040390764295545,0.5566607499191687,0.4174955624393765
67,Pima Surf 2014 B Blue,Pima County Surf Soccer Club,267400,AZ,M,U12,2014,15,3,9,3,3-9-3,35,38,-3,2.36,2.56,0.3621493105087968,0.410630451342014,0.6650239339908001,0.4802273874861731,0.456048394191754,0.4104435547725786
