Rank,Team,PowerScore_adj,PowerScore,GP_Mult,Off_norm,Def_norm,SOS_norm,GamesPlayed,GamesTotal,Status,is_active,LastGame
122,Pima Surf 2014 B Blue,0.29,0.322,0.9,0.291,0.287,0.4,12,14,Active,True,2025-10-05
123,14 Cityzens,0.286,0.286,1.0,0.173,0.297,0.404,30,71,Active,True,2025-10-04
124,Northwest 2014 Boys,0.286,0.286,1.0,0.155,0.306,0.415,30,46,Active,True,2025-04-26
125,14B Rayados Blue AL,0.284,0.378,0.75,0.376,0.295,0.478,9,14,Active,True,2025-10-05
126,PRFC Southeast Valley 14B Pre-Academy,0.284,0.284,1.0,0.234,0.233,0.402,30,43,Active,True,2025-10-04
127,14B Rueda,0.282,0.282,1.0,0.232,0.231,0.4,24,29,Active,True,2025-10-04
128,Tuzos Titanes 2014,0.281,0.281,1.0,0.255,0.206,0.4,23,25,Active,True,2025-09-20
129,14B Laroussi,0.274,0.305,0.9,0.407,0.122,0.4,14,17,Active,True,2025-09-27
130,VSC 2014 Boys White,0.274,0.305,0.9,0.216,0.312,0.4,14,18,Active,True,2025-09-21
131,PRFC West Valley 14B Pre-Academy,0.274,0.274,1.0,0.173,0.268,0.4,30,54,Active,True,2025-09-21
132,PSC 2014/15B,0.272,0.363,0.75,0.176,0.164,0.815,5,7,Provisional,True,2025-09-20
133,PRFC Desert Foothills 14B Predator,0.269,0.269,1.0,0.239,0.188,0.4,29,36,Active,True,2025-10-04
134,Jedi 14B,0.263,0.351,0.75,0.057,0.602,0.4,3,3,Provisional,True,2025-09-21
135,Spartak Academy 2014 Boys,0.262,0.35,0.75,0.529,0.127,0.4,4,4,Provisional,True,2025-10-04
136,Deportivo Mexico 14B,0.262,0.291,0.9,0.161,0.327,0.4,16,17,Active,True,2025-09-28
137,Bala FC - 2014B,0.255,0.34,0.75,0.304,0.325,0.4,3,3,Provisional,True,2025-09-14
138,Tuzos Nogales 2014,0.255,0.34,0.75,0.0,0.63,0.4,3,3,Provisional,True,2025-09-21
139,Hustle Hard 2014- Boys,0.25,0.25,1.0,0.111,0.26,0.4,24,29,Active,True,2025-04-13
140,AZSC 2014/2015B Navy,0.249,0.332,0.75,0.318,0.289,0.4,6,6,Active,True,2025-10-04
141,America 14b,0.248,0.33,0.75,0.455,0.145,0.4,8,11,Active,True,2025-09-28
142,PSC 2014B,0.24,0.32,0.75,0.096,0.474,0.4,6,6,Active,True,2025-09-27
143,AZ Inferno 14 Boys Blue,0.233,0.311,0.75,0.265,0.282,0.4,8,8,Active,True,2025-10-04
144,State 48 FC Avondale 14 White,0.232,0.309,0.75,0.094,0.447,0.4,6,6,Active,True,2025-09-27
145,FC Sonora 14' B Dynamo,0.228,0.253,0.9,0.17,0.211,0.4,11,13,Active,True,2025-09-28
146,Tuzos Chandler 2014 boys,0.221,0.295,0.75,0.265,0.169,0.478,6,6,Active,True,2025-10-04
147,Phoenix Premier FC 14B Pre MLS Next AD,0.2,0.266,0.75,0.273,0.145,0.4,5,5,Provisional,True,2025-09-20
148,ASA 014B Magic,0.184,0.204,0.9,0.093,0.147,0.4,15,18,Active,True,2025-09-20
