Rank,Team,PowerScore_adj,PowerScore,PenaltyGP,Off_norm,Def_norm,SOS_norm,GamesPlayed,Status
100,Scottsdale 14 Sandsharks Black,33.92,33.92,0.0,13.29,68.29,13.29,20,Full Sample
101,CDO 14B Elite,33.6,33.6,0.0,39.18,24.29,39.18,20,Full Sample
102,14B Felix Nogales,33.54,35.94,2.4,43.71,23.0,43.71,12,Limited Sample (10–19 GP)
103,Bala FC - 2014B,32.65,42.65,10.0,44.35,39.82,44.35,3,Provisional (<10 GP)
104,14B JDeutsch Pre-MLS Next,31.82,33.92,2.1,21.06,55.35,21.06,13,Limited Sample (10–19 GP)
105,FC Elite Arizona 2014 Boys - Urbina,31.49,34.49,3.0,26.24,48.24,26.24,10,Limited Sample (10–19 GP)
106,14B Hermanson AL,31.41,31.41,0.0,27.53,37.88,27.53,20,Full Sample
107,PRFC Southeast Valley 14B Pre-Academy,31.33,31.33,0.0,32.06,30.12,32.06,20,Full Sample
108,Eagles F.C.,30.36,30.36,0.0,8.76,66.35,8.76,20,Full Sample
109,PRFC Scottsdale 14B Copa,29.87,29.87,0.0,37.88,16.53,37.88,20,Full Sample
110,RSL-AZ Yuma 14 Boys Rodriguez,29.61,38.61,9.0,47.59,23.65,47.59,4,Provisional (<10 GP)
111,CCV Stars 14 Boys West Orange,29.38,30.28,0.8999999999999999,17.18,52.12,17.18,17,Limited Sample (10–19 GP)
112,PSC 2014B,29.18,36.18,7.0,6.82,85.12,6.82,6,Provisional (<10 GP)
113,Sun Warriors 15/16 Boys,28.8,37.8,9.0,26.88,56.0,26.88,4,Provisional (<10 GP)
114,14B Antunez Pre-MLS Next,28.68,28.98,0.3,19.76,44.35,19.76,19,Limited Sample (10–19 GP)
115,PRFC West Valley 14B Pre-Academy,28.66,28.66,0.0,16.53,48.88,16.53,20,Full Sample
116,14B Laroussi,28.31,31.01,2.6999999999999997,46.29,5.53,46.29,11,Limited Sample (10–19 GP)
117,2014 Boys Blue,27.53,27.53,0.0,15.88,46.94,15.88,20,Full Sample
118,Spartak Academy 2014 Boys,27.18,36.18,9.0,49.53,13.94,49.53,4,Provisional (<10 GP)
119,NOS Santos 14 Boys White,26.8,26.8,0.0,33.35,15.88,33.35,20,Full Sample
120,State 48 FC Avondale 14 White,26.56,26.56,0.0,17.82,41.12,17.82,20,Full Sample
121,SCFC - 2014,26.56,37.56,11.0,1.65,97.41,1.65,2,Provisional (<10 GP)
122,AZ Arsenal 14 Boys Teal MC,26.43,27.93,1.5,20.41,40.47,20.41,15,Limited Sample (10–19 GP)
123,CCV Stars 14 Boys South Orange,26.31,26.31,0.0,31.41,17.82,31.41,20,Full Sample
124,Phoenix Premier FC 14B Pre MLS Next AD,26.25,31.25,5.0,36.59,22.35,36.59,8,Provisional (<10 GP)
125,Northwest 2014 Boys,25.18,25.18,0.0,19.12,35.29,19.12,20,Full Sample
126,Tuzos Chandler 2014 boys,24.95,32.95,8.0,48.24,7.47,48.24,5,Provisional (<10 GP)
127,Deportivo Mexico 14B,24.13,26.23,2.1,24.29,29.47,24.29,13,Limited Sample (10–19 GP)
128,CCV Stars 14 Boys East Pre-ECNL,23.24,25.34,2.1,35.29,8.76,35.29,13,Limited Sample (10–19 GP)
129,PRFC Desert Foothills 14B Predator,22.68,22.68,0.0,23.65,21.06,23.65,20,Full Sample
130,FC Sonora 14' B Dynamo,22.49,25.19,2.6999999999999997,32.71,12.65,32.71,11,Limited Sample (10–19 GP)
131,CAC 14/15B (Conroy),22.27,22.27,0.0,28.82,11.35,28.82,20,Full Sample
132,14B Blue #1,22.04,23.24,1.2,11.35,43.06,11.35,16,Limited Sample (10–19 GP)
133,Milan,19.69,19.69,0.0,12.65,31.41,12.65,20,Full Sample
134,AZSC 2014/2015B Navy,18.78,27.78,9.0,37.24,12.0,37.24,4,Provisional (<10 GP)
135,Jedi 14B,17.61,27.61,10.0,5.53,64.41,5.53,3,Provisional (<10 GP)
136,PRFC North Valley 14B Copa,17.01,17.01,0.0,22.35,8.12,22.35,20,Full Sample
137,14B Rueda,16.85,16.85,0.0,13.94,21.71,13.94,20,Full Sample
138,Hustle Hard 2014- Boys,16.21,16.21,0.0,9.41,27.53,9.41,20,Full Sample
139,14 Boys Navy,14.91,14.91,0.0,12.0,19.76,12.0,20,Full Sample
140,Synergy FC 14 B,14.02,14.02,0.0,7.47,24.94,7.47,20,Full Sample
141,VSC 2014 Boys White,13.67,16.37,2.6999999999999997,10.06,26.88,10.06,11,Limited Sample (10–19 GP)
142,14B Geoff,12.89,12.89,0.0,14.59,10.06,14.59,20,Full Sample
143,Pima Surf 2014 B White,12.86,24.86,12.0,29.47,17.18,29.47,1,Provisional (<10 GP)
144,East Valley NSFC 14 Boys Tiggs,10.87,10.87,0.0,15.24,3.59,15.24,20,Full Sample
145,Tuzos Titanes 2014,8.79,9.09,0.3,8.12,10.71,8.12,19,Limited Sample (10–19 GP)
146,AZ Inferno 14 Boys Blue,8.1,14.1,6.0,18.47,6.82,18.47,7,Provisional (<10 GP)
147,FSC United 14 Boys,7.8,7.8,0.0,10.71,2.94,10.71,20,Full Sample
148,Tuzos Nogales 2014,4.27,14.27,10.0,3.59,32.06,3.59,3,Provisional (<10 GP)
149,ASA 014B Magic,2.18,4.88,2.6999999999999997,4.88,4.88,4.88,11,Limited Sample (10–19 GP)
150,PSC 2014/15B,0.0,9.33,10.0,6.18,14.59,6.18,3,Provisional (<10 GP)
151,Milan B,0.0,4.24,10.0,4.24,4.24,4.24,3,Provisional (<10 GP)
152,ESC - Boys Chandler 15/16,0.0,2.46,10.0,2.94,1.65,2.94,3,Provisional (<10 GP)
153,SCUM East Valley 14B Ninjas,0.0,2.29,7.0,2.29,2.29,2.29,6,Provisional (<10 GP)
