Rank,Team,Club,Team_ID,State,Gender,Age_Group,Games Played,Wins,Losses,Ties,Goals For,Goals Against,Goal Differential,Goals For/Game,Goals Against/Game,Offense Score,Adj Defense Score,SOS,Raw Power,Power Score,Opponents_Count
49,RSL-AZ Yuma 14 Boys Quinonez,RSL-AZ Yuma,256692,AZ,M,U12,19,11,7,1,71,62,9,1.963157894736842,1.5894736842105264,1.963157894736842,-0.5894736842105264,1.215040818545387,0.8188917835837151,0.7370026052253436,19
50,CDO 14B Premier,Canyon Del Oro Soccer Club,250765,AZ,M,U12,27,12,12,3,67,74,-7,1.1296296296296295,1.2222222222222223,1.1296296296296295,-0.22222222222222232,1.5800677147883166,0.7352947064748568,0.7352947064748568,27
51,2014 Boys Yellow,Thunderbird FC,385775,AZ,M,U12,44,21,18,5,102,96,6,1.0409090909090908,0.9,1.0409090909090908,0.09999999999999998,1.2156089819625089,0.7317431545815363,0.7317431545815363,44
52,Kingman SC B14 McGill,Kingman SC,195296,AZ,M,U12,18,8,8,2,42,48,-6,1.411111111111111,1.0666666666666667,1.411111111111111,-0.06666666666666665,1.1433500648681811,0.7900041828837119,0.7110037645953408,18
53,PRFC North Valley 14B PreAcademy,Phoenix Rising FC North Valley,68446,AZ,M,U12,46,23,13,10,114,105,9,0.9347826086956522,0.9195652173913043,0.9347826086956522,0.08043478260869574,1.3186795245567495,0.7103764028783178,0.7103764028783178,46
54,Playmaker Futbol Academy PRE-ECNL B14,Playmaker Futbol Academy,78337,AZ,M,U12,21,9,11,1,55,61,-6,1.2809523809523808,1.3666666666666667,1.2809523809523808,-0.3666666666666667,1.4690265615337952,0.7101137832405916,0.7101137832405916,21
55,CCV Stars 14 Boys South Pre-ECNL,CCV STARS,128663,AZ,M,U12,25,10,12,3,54,58,-4,1.08,1.048,1.08,-0.04800000000000004,1.2595924955041187,0.7018981238760297,0.7018981238760297,25
56,Phoenix Premier FC 14B Black,Phoenix Premier FC,57042,AZ,M,U12,66,26,33,7,213,209,4,1.137878787878788,1.131818181818182,1.137878787878788,-0.13181818181818206,1.2853198382424105,0.6986026868333298,0.6986026868333298,66
57,14B Moyer,RSL-AZ South,251057,AZ,M,U12,26,10,14,2,50,67,-17,1.0384615384615385,1.0346153846153845,1.0384615384615385,-0.03461538461538449,1.2632620484879646,0.692257819814299,0.692257819814299,26
58,America 14b,Renegades Soccer Club,547554,AZ,M,U12,10,3,7,0,29,32,-3,2.03,2.2399999999999998,2.03,-1.2399999999999998,1.8105687702323532,0.7488921925580884,0.6740029733022795,10
59,CCV Stars 14 Boys West Pre-ECNL,CCV STARS,128680,AZ,M,U12,14,7,6,1,45,48,-3,1.9357142857142855,1.7142857142857142,1.9357142857142855,-0.7142857142857142,1.1436729978671283,0.7439539637524963,0.6695585673772467,14
60,PRFC West Valley 14B Predator,Phoenix Rising FC,174796,AZ,M,U12,44,18,24,2,137,130,7,1.2068181818181818,1.231818181818182,1.2068181818181818,-0.23181818181818192,1.2102852916668378,0.6681963229167094,0.6681963229167094,44
61,AZ Inferno 14 Boys Black,AZ Inferno,130761,AZ,M,U12,42,17,20,5,120,119,1,1.0666666666666669,1.0880952380952382,1.0666666666666669,-0.08809523809523823,1.1947708437524176,0.6656569966523902,0.6656569966523902,42
62,Madison FC 14 Blue Boys,Madison FC,498236,AZ,M,U12,46,24,21,1,124,114,10,1.0260869565217392,1.0217391304347827,1.0260869565217392,-0.021739130434782705,1.148471055695661,0.6637481987065239,0.6637481987065239,46
63,Madison FC 14 White Boys,Madison FC,620400,AZ,M,U12,7,4,1,2,23,16,7,2.3,1.5999999999999999,2.3,-0.5999999999999999,0.9762369438541398,0.8815592359635349,0.6611694269726511,7
64,VSC 2014 Boys Green,Vail SC,295846,AZ,M,U12,24,9,12,3,69,80,-11,1.2125000000000001,1.3833333333333335,1.2125000000000001,-0.3833333333333335,1.3919809229982463,0.6589327307495616,0.6589327307495616,24
65,U-12 (2014) Boys Yuma Pre Academy,SC del Sol,384230,AZ,M,U12,14,6,8,0,36,31,5,1.4000000000000001,1.3499999999999999,1.4000000000000001,-0.34999999999999987,1.3496769832972042,0.7311692458243011,0.658052321241871,14
66,14B Hinds,RSL-AZ Southern AZ,373077,AZ,M,U12,29,16,8,5,77,56,21,1.0310344827586209,0.9379310344827587,1.0310344827586209,0.06206896551724128,0.9812770585663896,0.6552330577450457,0.6552330577450457,29
67,CCV Stars 14 Boys North Orange,CCV STARS,128638,AZ,M,U12,35,15,16,4,73,83,-10,0.7857142857142857,0.9857142857142858,0.7857142857142857,0.014285714285714235,1.4201798385293494,0.6550449596323373,0.6550449596323373,35
68,Select 14B Red,AZFC ,497273,AZ,M,U12,46,15,27,4,113,115,-2,1.0065217391304349,0.9326086956521741,1.0065217391304349,0.06739130434782592,0.9908149457659178,0.6504211277458273,0.6504211277458273,46
69,Pumas Tucson 14B,Renegades Soccer Club,450534,AZ,M,U12,3,2,1,0,6,6,0,1.3999999999999997,1.3999999999999997,1.3999999999999997,-0.3999999999999997,1.9577777777777776,0.8644444444444443,0.6483333333333332,3
70,2014 Rush Boys,Phoenix Rush,370621,AZ,M,U12,32,13,15,4,79,99,-20,1.215625,1.2156250000000002,1.215625,-0.21562500000000018,1.0849528174187033,0.6462382043546757,0.6462382043546757,32
71,AZ Arsenal 14 Boys Teal SC,Arizona Arsenal Soccer Club,163425,AZ,M,U12,103,37,50,16,244,281,-37,0.7728155339805826,0.8844660194174759,0.7728155339805826,0.11553398058252407,1.247795598623552,0.645079967617053,0.645079967617053,103
72,NOS Santos 14 Boys Blue,NOS Santos SC,85564,AZ,M,U12,39,17,20,2,106,143,-37,1.1948717948717948,1.335897435897436,1.1948717948717948,-0.33589743589743604,1.2877146818084495,0.6440440550674968,0.6440440550674968,39
73,PRFC Scottsdale 14B Predator,Phoenix Rising FC,179071,AZ,M,U12,44,19,21,4,119,139,-20,1.075,1.138636363636364,1.075,-0.1386363636363639,1.1708641129202066,0.6438523918664152,0.6438523918664152,44
74,CCV Stars 14 Boys North Pre-ECNL,CCV STARS,113537,AZ,M,U12,14,5,7,2,29,30,-1,1.1071428571428572,1.157142857142857,1.1071428571428572,-0.15714285714285703,1.3959355375972364,0.7052338843993091,0.6347104959593782,14
75,East Valley NSFC 14 Boys Aguirre,East Valley/NSFC,78764,AZ,M,U12,47,25,17,5,131,124,7,0.9553191489361703,1.1063829787234043,0.9553191489361703,-0.1063829787234043,1.260836434913696,0.6335601725582113,0.6335601725582113,47
76,Verde Valley United FC,Unknown,452848,AZ,M,U12,15,6,5,4,32,27,5,1.1466666666666667,1.0466666666666666,1.1466666666666667,-0.046666666666666634,1.153473390964401,0.7008683477411004,0.6307815129669904,15
77,14B Engilman,RSL-AZ North,80232,AZ,M,U12,42,15,21,6,108,121,-13,1.0476190476190477,1.1214285714285714,1.0476190476190477,-0.12142857142857144,1.131662684495978,0.6302370996954232,0.6302370996954232,42
78,AZ Arsenal 14 Boys Select,Arizona Arsenal Soccer Club,521384,AZ,M,U12,19,10,9,0,55,51,4,1.436842105263158,1.3315789473684212,1.436842105263158,-0.3315789473684212,1.1189897946627065,0.6942211328762029,0.6247990195885826,19
79,Dynamos SC 14B Gold,Dynamos SC,496617,AZ,M,U12,39,14,21,4,102,133,-31,1.1333333333333333,1.2794871794871796,1.1333333333333333,-0.2794871794871796,1.1998232557524449,0.6201481216304189,0.6201481216304189,39
80,Tuzos Academy Mesa 2014,FBSL,385521,AZ,M,U12,52,20,23,9,150,176,-26,1.05,1.2615384615384615,1.05,-0.2615384615384615,1.2753184640901376,0.6145026929456114,0.6145026929456114,52
81,Eagles F.C.,Renegades Soccer Club,432207,AZ,M,U12,26,11,10,5,46,48,-2,0.7000000000000001,0.7846153846153847,0.7000000000000001,0.21538461538461529,1.0576170129145388,0.6076734839978655,0.6076734839978655,26
82,State 48 FC Avondale 14 Black,State 48 FC,399594,AZ,M,U12,32,13,14,5,58,74,-16,0.80625,1.00625,0.80625,-0.006250000000000089,1.2132172661285028,0.6033043165321257,0.6033043165321257,32
83,U-12 (2014) Boys Pre Academy Blue,SC del Sol,85988,AZ,M,U12,35,10,22,3,80,105,-25,1.0057142857142858,1.2542857142857144,1.0057142857142858,-0.25428571428571445,1.2577869663184404,0.5962324558653244,0.5962324558653244,35
84,CCV Stars 14 Boys East Pre-ECNL,CCV STARS,330680,AZ,M,U12,16,5,8,3,50,53,-3,1.8125,1.71875,1.8125,-0.71875,0.997802757823317,0.6596069394558293,0.5936462455102464,16
85,14B Hermanson AL,RSL-AZ Southern AZ,390403,AZ,M,U12,39,15,21,3,86,100,-14,0.8461538461538461,1.0564102564102564,0.8461538461538461,-0.05641025641025643,1.1575269216988506,0.5855355765785588,0.5855355765785588,39
86,14 Cityzens,Scottsdale City FC,505150,AZ,M,U12,64,23,36,5,141,182,-41,0.7859375000000001,1.078125,0.7859375000000001,-0.078125,1.2799465823448029,0.5854163330862008,0.5854163330862008,64
87,Pima Surf 2014 B Blue,Pima County Surf Soccer Club,267400,AZ,M,U12,16,4,9,3,39,40,-1,1.38125,1.45,1.38125,-0.44999999999999996,1.1965366221174,0.6483529055293502,0.5835176149764152,16
88,Tuzos Halcones 2014,FBSL,273386,AZ,M,U12,37,17,16,4,116,128,-12,1.2108108108108109,1.5567567567567566,1.2108108108108109,-0.5567567567567566,1.343509105190972,0.5811475465680134,0.5811475465680134,37
89,Sun Warriors 15/16 Boys,Sun Warriors AZFC,126086,AZ,M,U12,5,2,3,0,11,12,-1,1.5399999999999998,1.6799999999999997,1.5399999999999998,-0.6799999999999997,1.8081445251925803,0.7745361312981451,0.5809020984736089,5
90,Amore 2014 Boys,Amore Soccer,296013,AZ,M,U12,52,19,26,7,152,184,-32,1.0846153846153848,1.3153846153846156,1.0846153846153848,-0.3153846153846156,1.1487783353912717,0.5756561223093564,0.5756561223093564,52
91,PRFC North Valley 14B Predator,Phoenix Rising FC North Valley,82493,AZ,M,U12,54,15,31,8,119,169,-50,0.8537037037037039,1.1833333333333333,0.8537037037037039,-0.18333333333333335,1.2874715952737754,0.5732567877073329,0.5732567877073329,54
92,PRFC Southeast Valley 14B Predator-Central,Phoenix Rising FC,494072,AZ,M,U12,41,11,27,3,74,116,-42,0.7658536585365854,1.102439024390244,0.7658536585365854,-0.102439024390244,1.235617685965483,0.5576849092962488,0.5576849092962488,41
93,Scottsdale 14 Sandsharks Black,North Scottsdale Soccer Club,273169,AZ,M,U12,26,10,12,4,50,71,-21,0.7307692307692307,1.0192307692307692,0.7307692307692307,-0.019230769230769162,1.1424210834922912,0.5524321939499959,0.5524321939499959,26
94,Playmaker Futbol Academy 14B Gold,Playmaker Futbol Academy,391344,AZ,M,U12,69,23,40,6,151,242,-91,0.8014492753623189,1.2434782608695654,0.8014492753623189,-0.24347826086956537,1.349087880972795,0.5465111006779814,0.5465111006779814,69
95,14B Felix Nogales,RSL-AZ Southern AZ,552776,AZ,M,U12,14,5,6,3,42,46,-4,1.6714285714285713,1.7857142857142858,1.6714285714285713,-0.7857142857142858,1.0668707050317596,0.598860533400797,0.5389744800607174,14
96,14 Boys Navy,FC Batavia,197912,AZ,M,U12,104,38,56,10,222,311,-89,0.6788461538461539,1.0471153846153847,0.6788461538461539,-0.04711538461538467,1.1794551568171117,0.5317628276658164,0.5317628276658164,104
97,Deportivo Mexico 14B,Renegades Soccer Club,558128,AZ,M,U12,14,4,7,3,31,42,-11,1.2642857142857142,1.5857142857142854,1.2642857142857142,-0.5857142857142854,1.3249094197984321,0.5856916406638939,0.5271224765975046,14
98,14B Blue #1,FC Tucson Youth Soccer,515152,AZ,M,U12,20,7,12,1,34,43,-9,0.8300000000000001,1.125,0.8300000000000001,-0.125,1.0476730344663674,0.5262932586165918,0.5262932586165918,20
99,AZ Arsenal 14 Boys Teal MC,Arizona Arsenal Soccer Club,505309,AZ,M,U12,16,6,10,0,30,46,-16,1.1624999999999999,1.3625,1.1624999999999999,-0.36250000000000004,1.1306017418823127,0.5826504354705782,0.5243853919235204,16
100,Select 14B,Yavapai Soccer,208947,AZ,M,U12,30,12,11,7,73,101,-28,1.1300000000000001,1.49,1.1300000000000001,-0.49,1.1365527344990165,0.5241381836247542,0.5241381836247542,30
101,CDO 14B Elite,Canyon Del Oro Soccer Club,250767,AZ,M,U12,27,13,7,7,68,70,-2,1.0074074074074075,1.3259259259259257,1.0074074074074075,-0.32592592592592573,1.0598862732205458,0.5205271238606921,0.5205271238606921,27
102,2014 Boys Blue,Thunderbird FC,385776,AZ,M,U12,36,13,16,7,74,101,-27,0.8055555555555556,1.1194444444444445,0.8055555555555556,-0.11944444444444446,1.0327431263929254,0.515477448264898,0.515477448264898,36
103,PRFC West Valley 14B Pre-Academy,Phoenix Rising FC,120243,AZ,M,U12,44,14,28,2,86,142,-56,0.6954545454545454,1.2409090909090912,0.6954545454545454,-0.24090909090909118,1.3531600326521884,0.5087445536175925,0.5087445536175925,44
104,PRFC Southeast Valley 14B Predator,Phoenix Rising FC,260979,AZ,M,U12,51,18,29,4,109,182,-73,0.8843137254901962,1.3137254901960784,0.8843137254901962,-0.3137254901960784,1.1780466115782922,0.5084822411298672,0.5084822411298672,51
105,Phoenix Valley Soccer Club boys 2014,Phoenix Valley,492657,AZ,M,U12,28,10,15,3,69,92,-23,1.0107142857142857,1.5857142857142856,1.0107142857142857,-0.5857142857142856,1.3531687592414723,0.49766718981036806,0.49766718981036806,28
106,14B Antunez Pre-MLS Next,RSL-AZ North,80225,AZ,M,U12,26,8,16,2,51,76,-25,0.7730769230769231,1.3846153846153846,0.7730769230769231,-0.3846153846153846,1.3988236387585962,0.495378986612726,0.495378986612726,26
107,Northwest 2014 Boys,Next Level Soccer (AZ),506850,AZ,M,U12,78,19,49,10,136,257,-121,0.5794871794871795,1.167948717948718,0.5794871794871795,-0.16794871794871802,1.3513887508043514,0.4921741107780109,0.4921741107780109,78
