team_name,club_name,gotsport_team_id,state
LSC 2015B - Gold (Rangers),Loomis Youth Soccer Club,253482,CAN
Albion SC Santa Ana B15 Academy,ALBION SC Los Angeles,474549,CAS
Doral SC Elite 2015,Doral SC,284078,FL
FA Euro 2015 Pre-MLS Academy,FA Euro New York,331405,NYE
Sting Attack Waco B15 Gonzalez - ARCHIVE,Sting Soccer Club,461825,TXN
Solar Pre-ECNL 15B Rodriguez,Solar SC,117061,TXN
CVFA 15B Academy II,CV Futbol Academy,215608,CAN
PBG 15 PRE-ECNL BOYS NIKE,Palm Beach Kicks,291115,FL
One Nation Pre MLS NEXT 2015,One Nation Soccer Academy,372927,MD
Valley Surf 15B Pre-ECNL II,Valley Surf | America,380683,CAN
West Pines United FC 2015 Elite,West Pines United FC,267708,FL
Catalyst 15 N,HTX,491122,TXS
AZSC 2015B Navy,Arizona Soccer Club,80006,AZ
CCV Stars 15 Boys West Pre-ECNL,CCV STARS,259031,AZ
SLSG MO B 2015 Academy Navy,St. Louis Scott Gallagher,502997,MO
PRFC West Valley 15B Pre-Academy,Phoenix Rising FC,120248,AZ
1974 NFC 2015B Pre-ECNL,1974 Newark FC,326907,CAN
Davis Legacy 15B Red,Davis Legacy Soccer Club,364751,CAN
15 Pre-MLS Next #1,FC Tucson Youth Soccer,304059,AZ
JSC 15B Black,JSC Soccer Club,211117,CAN
ECFC 15B Black Pre-ECNL,Monterey County Soccer-ECFC Salinas,124380,CAN
Valencia 2015 Black North,Valencia Soccer Academy,277987,NJ
Silva Select 2015,Silva Select ,595389,FL
Mexico 15 Elite,Ceres Rush,234084,CAN
Fort Lauderdale FC 15 Boys Blue,Fort Lauderdale Select FC,408030,FL
CAT 2015 ELITE BOYS,Complete Athlete Training,500759,NJ
2015 Boys,Lehigh Valley Gore FC,600735,PAE
15 Kraze Pre ECNL,Florida Kraze Krush,249308,FL
B2015 FERMIN,BARCA Academy Pro Miami,524949,FL
PRFC Scottsdale 15B Pre-Academy,Phoenix Rising FC,129169,AZ
2015 Boys (FL),Naples United FC,302524,FL
PRFC Southeast Valley 15B Pre-Academy,Phoenix Rising FC,129374,AZ
Santa Clara Sporting 15B Green,Santa Clara Sporting,78396,CAN
Hughson United 2015B,Hughson United,474300,CAN
2015 (U11) Black,Miami Futbol Academy Rush ,510304,FL
15 Boys Navy,FC Batavia,166516,AZ
2015 Boys APEX,Montgomery United SC,493435,PAE
ANBBK Boynton Beach Knights BBK-2015-B-Black,Boynton Beach Knights,404348,FL
PSG 15B Blue,Paris Saint-Germain Academy Phoenix,373024,AZ
SD Surf Academy Boys 2015 (Keith),San Diego Surf Soccer Club,363246,CAS
U-11 (2015) San Luis Boys Pre Academy,SC del Sol,454795,AZ
2015 Boys OCLN PreECNL,Orlando City Soccer School Lake Nona,374721,FL
St Petersburg FC Boys 2015 SPFC,St. Petersburg Football Club,301389,FL
Excel Soccer Academy 15B Red,Excel Soccer Academy,306056,AZ
2015 CTC Hialeah City FC BLUE,CTC Bandits FC,303658,FL
Dnamo FC Cruzeiro,Dnamo FC,515282,CAN
Philadelphia Union -SWAG Academy 2015,Philadelphia Union,618880,PAE
Solrise Soccer Academy 2015B Elite,Solrise Soccer Academy,610243,FL
B2015 Blue,Downey United Football Club,473731,CAS
SD Surf Pre-ECNL Boys 2015 II (Miller),San Diego Surf Soccer Club,603773,CAS
Strikers FC Irvine 2015 Harrison EA,Strikers FC,247811,CAS
PRFC Scottsdale 15B Predator,Phoenix Rising FC,259313,AZ
SD Surf Pre-ECNL Boys 2015 I (Garton),San Diego Surf Soccer Club,603772,CAS
2015 Boys Black,Pipeline Soccer Club,265698,MD
Sharks Academy B2015,Merrick/South Merrick PAL,320829,NYE
PreECNL 2015,Penn Fusion Soccer Academy,223654,PAE
