Rank,Team,PowerScore_adj,PowerScore,GP_Mult,Off_norm,Def_norm,SOS_norm,GamesPlayed,Status,LastGame
289,Phoenix Premier FC 14B Pre MLS ACADEMY,0.139,0.185,0.75,0.187,0.034,0.41,2,Provisional,2025-09-20
290,Pima Surf Academy Boys 15,0.139,0.185,0.75,0.152,0.094,0.37,8,Active,2025-05-25
291,Havasu Lions FC 14B Castillo,0.139,0.185,0.75,0.138,0.058,0.445,3,Provisional,2025-09-20
292,Amore 2013 Boys,0.138,0.184,0.75,0.114,0.045,0.499,3,Provisional,2025-08-30
293,Spartak Academy 2014 Boys,0.137,0.183,0.75,0.188,0.046,0.381,4,Provisional,2025-10-04
294,Tuzos Nogales 2014,0.136,0.181,0.75,0.038,0.157,0.432,3,Provisional,2025-09-21
295,SWSC B2014 GOLD,0.136,0.182,0.75,0.0,0.028,0.686,1,Provisional,2025-05-31
296,PRFC North Valley 15B Copa,0.135,0.18,0.75,0.163,0.059,0.388,5,Provisional,2025-04-12
297,State 48 FC Avondale 14 White,0.134,0.178,0.75,0.092,0.102,0.421,6,Active,2025-09-27
298,PRFC WV 13B NL Premier 2 AZ,0.131,0.175,0.75,0.0,0.026,0.659,1,Provisional,2025-08-30
299,B13 Velazquez,0.129,0.172,0.75,0.0,0.153,0.459,1,Provisional,2025-08-24
300,South County B2013 White,0.129,0.172,0.75,0.0,0.153,0.459,1,Provisional,2025-08-23
301,Havasu Lions 13B Moran,0.128,0.17,0.75,0.0,0.015,0.659,1,Provisional,2025-04-26
302,PRFC Southeast Valley 13B Predator,0.126,0.168,0.75,0.167,0.04,0.36,3,Provisional,2025-04-12
303,Rey Del Castillo FC 2014/15,0.125,0.167,0.75,0.0,0.039,0.61,1,Provisional,2025-09-13
304,PSG 13B Blue E64RL,0.125,0.167,0.75,0.0,0.007,0.659,1,Provisional,2025-08-30
305,State 48 FC Casa Grande 14/15 Black,0.124,0.165,0.75,0.127,0.048,0.396,2,Provisional,2025-09-20
306,15B Oscar,0.121,0.161,0.75,0.03,0.052,0.522,3,Provisional,2025-09-20
307,BRAZAS FC 2014 Boys Gold,0.12,0.16,0.75,0.096,0.088,0.362,3,Provisional,2025-10-04
308,PRFC Scottsdale 15B Pre-Academy,0.118,0.158,0.75,0.0,0.01,0.617,1,Provisional,2025-08-31
309,CDO 13B Elite,0.117,0.156,0.75,0.129,0.037,0.373,3,Provisional,2025-04-27
310,PRFC Southeast Valley 14B Copa,0.115,0.153,0.75,0.196,0.091,0.18,2,Provisional,2025-09-13
311,AZ Inferno 14 Boys Blue,0.115,0.153,0.75,0.153,0.085,0.254,8,Active,2025-10-04
312,ASA 014B Magic,0.115,0.128,0.9,0.046,0.038,0.388,18,Active,2025-09-20
313,Atletico Tuzos Guerrero 2014,0.114,0.152,0.75,0.055,0.091,0.39,3,Provisional,2025-09-07
314,West Valley 2014 Boys Acosta Pre-Premier,0.111,0.148,0.75,0.059,0.142,0.29,2,Provisional,2025-09-20
315,South County B2013 Blue,0.11,0.147,0.75,0.0,0.086,0.459,1,Provisional,2025-08-23
316,NOS Santos 15 Boys Blue,0.109,0.146,0.75,0.071,0.05,0.404,8,Active,2025-04-19
317,Los Alamos Soccer League,0.106,0.141,0.75,0.164,0.083,0.195,2,Provisional,2025-05-11
318,Milan B,0.106,0.142,0.75,0.035,0.009,0.501,3,Provisional,2025-09-28
319,Phoenix Premier FC 13B Black,0.102,0.136,0.75,0.0,0.114,0.373,1,Provisional,2025-08-30
320,Santos 15B,0.098,0.131,0.75,0.058,0.08,0.317,9,Active,2025-05-25
321,OJB FC 2014 Boys,0.097,0.129,0.75,0.105,0.088,0.225,1,Provisional,2025-09-27
322,JUSA Select Oftellie B14,0.096,0.128,0.75,0.0,0.068,0.412,1,Provisional,2025-08-24
323,FSC United 15 Boys,0.096,0.128,0.75,0.0,0.042,0.448,2,Provisional,2025-05-25
324,B2014 Premier,0.094,0.125,0.75,0.0,0.026,0.462,1,Provisional,2025-05-17
325,PRFC SEV 13B NL Premier 2 AZ,0.093,0.124,0.75,0.0,0.082,0.373,1,Provisional,2025-08-31
326,Peak FC - U9/U10/U11,0.092,0.123,0.75,0.131,0.067,0.195,1,Provisional,2025-05-10
327,ESC - Boys Chandler 15/16,0.092,0.123,0.75,0.043,0.016,0.404,4,Provisional,2025-04-27
328,SCUM East Valley 14B Ninjas,0.083,0.111,0.75,0.015,0.013,0.401,6,Active,2025-09-06
329,AZSC 15B Gold,0.082,0.109,0.75,0.13,0.062,0.146,2,Provisional,2025-04-19
330,AYSO United 15BlueB,0.074,0.099,0.75,0.066,0.067,0.195,1,Provisional,2025-05-11
