Team Name,Club,Team ID,Points,Wins,Losses,Ties,Games Played,Rank,State,Region,Win Percentage,State Rank,Regional Rank,Goal Ratio,Team URL,Last Activity,Gender,Age Group
U-12 (2014) Boys Pre Academy Blue,SC del Sol,85988,9258,15,22,4,41,177,AZ,4,0.36585365853658536,24,54,1.0,https://rankings.gotsport.com/teams/85988,2025-10-08,M,U12
Phoenix Premier FC 14B X-Factor,Phoenix Premier FC,250009,8749,23,6,1,30,192,AZ,4,0.7666666666666667,25,57,3.5,https://rankings.gotsport.com/teams/250009,2025-10-08,M,U12
Tuzos Halcones 2014,FBSL,273386,8741,15,14,3,32,193,AZ,4,0.46875,26,58,0.9813084112149533,https://rankings.gotsport.com/teams/273386,2025-10-08,M,U12
Phoenix United 2014 Premier,Phoenix United Futbol Club,415876,8607,27,23,8,58,196,AZ,4,0.46551724137931033,27,59,1.186206896551724,https://rankings.gotsport.com/teams/415876,2025-10-08,M,U12
PRFC Desert Foothills 14B Pre-Academy,Phoenix Rising Desert Foothills,87271,8357,20,17,4,41,204,AZ,4,0.4878048780487805,28,64,1.425531914893617,https://rankings.gotsport.com/teams/87271,2025-10-08,M,U12
Tuzos Academy Mesa 2014,FBSL,385521,8256,20,12,7,39,209,AZ,4,0.5128205128205128,29,65,1.2123893805309736,https://rankings.gotsport.com/teams/385521,2025-10-08,M,U12
FC Elite Arizona 2014 Boys (ARCHIVED),FC Elite Arizona,488139,8001,30,11,2,43,223,AZ,4,0.6976744186046512,30,68,2.7777777777777777,https://rankings.gotsport.com/teams/488139,2025-10-08,M,U12
East Valley NSFC 14 Boys Aguirre,East Valley/NSFC,78764,7866,19,16,6,41,229,AZ,4,0.4634146341463415,31,69,0.8793103448275862,https://rankings.gotsport.com/teams/78764,2025-10-08,M,U12
Legends FC AZ 14B Black,Dynamos SC,166816,7830,14,22,3,39,232,AZ,4,0.358974358974359,32,71,0.9152542372881356,https://rankings.gotsport.com/teams/166816,2025-10-08,M,U12
Scottsdale 14 Sandsharks Select,North Scottsdale Soccer Club,152739,7729,25,6,3,34,236,AZ,4,0.7352941176470589,33,74,5.631578947368421,https://rankings.gotsport.com/teams/152739,2025-10-08,M,U12
State 48 FC Avondale 14 Black,State 48 FC,399594,7353,15,17,3,35,250,AZ,4,0.42857142857142855,34,82,0.6744186046511628,https://rankings.gotsport.com/teams/399594,2025-10-08,M,U12
PSG 14B Blue,Paris Saint-Germain Academy Phoenix,253741,7174,23,9,6,38,254,AZ,4,0.6052631578947368,35,85,2.05,https://rankings.gotsport.com/teams/253741,2025-10-08,M,U12
14B Antunez Pre-MLS Next,RSL-AZ North,80225,6877,12,22,4,38,266,AZ,4,0.3157894736842105,36,89,0.6396396396396397,https://rankings.gotsport.com/teams/80225,2025-10-08,M,U12
