Team Name,Is Arizona,Gender,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
AZ Arsenal 14 Boys Teal MC,True,M,29,10,18,1,34.48275862068966,2024-09-01,2025-09-21
CCV Stars 14 Boys West Orange,True,M,28,8,13,7,28.57142857142857,2024-09-07,2025-09-20
Deportivo Mexico 14B,True,M,28,8,14,6,28.57142857142857,2024-09-28,2025-09-28
Excel Soccer Academy 14B Black,True,M,27,16,6,5,59.25925925925925,2024-09-07,2025-10-04
VSC 2014 Boys White,True,M,26,5,19,2,19.230769230769234,2024-09-21,2025-09-21
Tuzos Titanes 2014,True,M,26,7,16,3,26.923076923076923,2024-09-14,2025-09-20
CCV Stars 14 Boys North Pre-ECNL,True,M,26,12,10,4,46.15384615384615,2024-04-20,2025-10-04
CCV Stars 14 Boys West Pre-ECNL,True,M,25,11,12,2,44.0,2024-09-21,2025-09-13
U-12 (2014) Boys Yuma Pre Academy,True,M,24,11,12,1,45.83333333333333,2024-09-07,2025-09-07
FC Sonora 14' B Dynamo,True,M,23,2,19,2,8.695652173913043,2024-10-05,2025-09-28
14B NL #1,True,M,23,10,12,1,43.47826086956522,2024-09-21,2025-09-21
14B Laroussi,True,M,21,2,19,0,9.523809523809524,2024-09-14,2025-09-27
14B Felix Nogales,True,M,21,7,9,5,33.33333333333333,2024-09-21,2025-09-28
FC Elite Arizona 2014 Boys - Urbina,True,M,20,9,8,3,45.0,2025-08-29,2025-09-28
Monsters 2014,True,M,20,15,3,2,75.0,2024-09-21,2025-09-20
La Academia 14B,True,M,19,6,11,2,31.57894736842105,2024-10-05,2025-10-04
ASA 014B Magic,True,M,19,0,19,0,0.0,2024-09-07,2025-09-20
SFC XOLOS ARIZONA 2014,True,M,16,13,2,1,81.25,2025-03-29,2025-10-04
2014 Elite,True,M,16,13,2,1,81.25,2025-02-08,2025-09-28
FC Elite Arizona 2014 Boys - Martinez,True,M,15,13,2,0,86.66666666666667,2025-08-29,2025-09-28
AZ Inferno 14 Boys Blue,True,M,15,5,10,0,33.33333333333333,2025-08-29,2025-10-04
14B NL #2,True,M,15,10,5,0,66.66666666666666,2024-09-21,2025-09-21
America 14b,True,M,15,5,10,0,33.33333333333333,2024-10-05,2025-09-28
Madison FC 14 White Boys,True,M,14,8,2,4,57.14285714285714,2025-08-29,2025-09-13
FC Arizona 14B Black GFC Suenaga U12,True,M,14,6,5,3,42.857142857142854,2024-10-13,2025-10-04
14B Rayados Blue AL,True,M,14,3,7,4,21.428571428571427,2024-09-21,2025-10-05
Pima Surf 2014 B Blue,True,M,14,4,8,2,28.57142857142857,2024-09-21,2025-10-05
RSL-AZ Yuma 14 Boys Rodriguez,True,M,13,5,7,1,38.46153846153847,2024-09-14,2025-08-17
Tuzos Chandler 2014 boys,True,M,11,2,9,0,18.181818181818183,2025-09-06,2025-10-04
PSC 2014B,True,M,11,2,7,2,18.181818181818183,2025-09-13,2025-09-27
AZSC 2014/2015B Navy,True,M,10,3,7,0,30.0,2025-09-06,2025-10-04
State 48 FC Avondale 14 White,True,M,10,2,7,1,20.0,2025-09-06,2025-09-27
Spartak Academy 2014 Boys,True,M,8,2,6,0,25.0,2025-09-06,2025-10-04
PSC 2014/15B,True,M,8,1,7,0,12.5,2024-09-27,2025-09-20
