Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Original Team Rank,Team A State,Team B State,Team A Gender,Team B Gender,Team A State Corrected,Team B State Corrected,Team A State Better,Team B State Better,Team A Is Arizona,Team B Is Arizona
2024-11-03,14B Engilman,Tuzos Academy Mesa 2014,4,4,T,T,2024 Rush Cup ,2025 Rush Cup ,U11B U11B SILVER,Rose Mofford (Rush Cup),"9833 N. 25th Ave. , Phoenix, AZ 85029",18072115,385521,211,Unknown,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2024-11-02,Tuzos Academy Mesa 2014,Next Level Soccer Northwest 2014 Boys,3,6,L,W,2024 Rush Cup ,2025 Rush Cup ,U11B U11B SILVER,Rose Mofford (Rush Cup),"9833 N. 25th Ave. , Phoenix, AZ 85029",18072123,385521,211,AZ,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2024-11-02,Tuzos Academy Mesa 2014,AZ Arsenal 15 Boys Teal 1 JZ,3,3,T,T,2024 Rush Cup ,2025 Rush Cup ,U11B U11B SILVER,Rose Mofford (Rush Cup),"9833 N. 25th Ave. , Phoenix, AZ 85029",18072118,385521,211,AZ,AZ,M,M,AZ,Non-AZ,AZ,AZ,True,False
2024-10-26,Tuzos Academy Mesa 2014,14B OMolina,5,1,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,Eagles Park,"828 E Broadway, Mesa, AZ 85204",17072052,385521,211,AZ,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2024-10-23,NOS Santos 14 Boys Blue,Tuzos Academy Mesa 2014,5,4,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,EV- NOS Santos Soccer Complex (NOS),"12347 S. Sossaman , Mesa, AZ 85212",17072068,385521,211,Unknown,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2024-10-19,Tuzos Academy Mesa 2014,PRFC Southeast Valley 14B Pre-Academy,2,1,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,Eagles Park,"828 E Broadway, Mesa, AZ 85204",17072071,385521,211,AZ,CA,M,M,AZ,AZ,AZ,AZ,True,True
2024-10-11,Tuzos Academy Mesa 2014,Next Level Soccer Southeast 2014 Boys Green,6,4,W,L,Arsenal Challenge 2024,Arsenal Challenge,U11B 11U 2014 Boys Bronze West,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",17858975,385521,211,AZ,UT,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2024-10-05,Tuzos Academy Mesa 2014,14B Engilman,1,1,T,T,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,Eagles Park,"828 E Broadway, Mesa, AZ 85204",17072062,385521,211,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2024-09-21,Phoenix United 2014B West,Tuzos Academy Mesa 2014,5,2,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",17072054,385521,211,AZ,AZ,M,M,Non-AZ,AZ,AZ,AZ,False,True
2024-08-31,14 ECNL #2,Tuzos Academy Mesa 2014,1,1,T,T,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Silver - Robinson,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371424,385521,211,Unknown,AZ,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2024-08-30,Tuzos Academy Mesa 2014,PRFC West Valley 14B Pre-Academy,5,1,W,L,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Silver - Robinson,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371426,385521,211,AZ,CA,M,M,AZ,AZ,AZ,AZ,True,True
2025-06-01,CITY SC SW B14 Premier MUR,FC Elite Arizona 2014 Boys (ARCHIVED),5,3,W,L,Coronado (San Diego) 25,Soccer in the Sand,U11B Sand U11,SITS Field,"5000 CA-75, Coronado, CA 92188",20827673,488139,225,Unknown,AZ,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2025-05-31,FC Elite Arizona 2014 Boys (ARCHIVED),SWSC B2014 GOLD,6,0,W,L,Coronado (San Diego) 25,Soccer in the Sand,U11B Sand U11,SITS Field,"5000 CA-75, Coronado, CA 92188",20827667,488139,225,AZ,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2025-05-31,Temecula FC 2014 quails,FC Elite Arizona 2014 Boys (ARCHIVED),8,7,W,L,Coronado (San Diego) 25,Soccer in the Sand,U11B Sand U11,SITS Field,"5000 CA-75, Coronado, CA 92188",20827664,488139,225,Unknown,AZ,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2025-04-27,State 48 FC 14 White,FC Elite Arizona 2014 Boys (ARCHIVED),2,1,W,L,AZFC Select Challenge 2025,AZFC Select Challenge,U11B U11 White (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20463959,488139,225,Unknown,AZ,F,M,Non-AZ,AZ,AZ,AZ,False,True
2025-04-26,FC Elite Arizona 2014 Boys (ARCHIVED),PRFC North Valley 14B Copa,6,0,W,L,AZFC Select Challenge 2025,AZFC Select Challenge,U11B U11 White (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20463956,488139,225,AZ,CO,M,M,AZ,AZ,AZ,AZ,True,True
2025-04-26,Madison FC 2015 Boys Gold,FC Elite Arizona 2014 Boys (ARCHIVED),1,3,L,W,AZFC Select Challenge 2025,AZFC Select Challenge,U11B U11 White (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20463955,488139,225,NY,AZ,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2025-04-06,FC Elite Arizona 2014 Boys (ARCHIVED),FC Deportivo AZ 2014B (Gallegos),2,3,L,W,Yavapai All Boys Tournament 2025,Yavapai,U11B U11 Boys 2,Pioneer Park Prescott,"1200 Commerce Drive , Prescott, AZ 86305",20191572,488139,225,AZ,AZ,M,F,AZ,AZ,AZ,AZ,True,True
2025-04-05,FC Deportivo AZ 2014B (Gallegos),FC Elite Arizona 2014 Boys (ARCHIVED),4,3,W,L,Yavapai All Boys Tournament 2025,Yavapai,U11B U11 Boys 2,P- Mountain Valley Park Yavapai Soccer,"8600 E. Nace Ln. , Prescott Valley , AZ 86314",20191567,488139,225,AZ,AZ,F,M,AZ,AZ,AZ,AZ,True,True
2025-04-05,FC Elite Arizona 2014 Boys (ARCHIVED),Amore 2014 Boys,4,1,W,L,Yavapai All Boys Tournament 2025,Yavapai,U11B U11 Boys 2,P- Mountain Valley Park Yavapai Soccer,"8600 E. Nace Ln. , Prescott Valley , AZ 86314",20191569,488139,225,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-03-23,FC Elite Arizona 2014 Boys (ARCHIVED),2014 Boys Yellow,0,1,L,W,TFC Spring Cup 2025,TFC Spring Cup,U11B U11 Boys Gold,Rose Mofford,"9833 N 25th Ave, Phoenix, AZ 85021",19881259,488139,225,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-03-22,2014 Boys Yellow,FC Elite Arizona 2014 Boys (ARCHIVED),1,2,L,W,TFC Spring Cup 2025,TFC Spring Cup,U11B U11 Boys Gold,Rose Mofford,"9833 N 25th Ave, Phoenix, AZ 85021",19881257,488139,225,Unknown,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2025-03-22,Phoenix United 2015 Academy,FC Elite Arizona 2014 Boys (ARCHIVED),2,2,T,T,TFC Spring Cup 2025,TFC Spring Cup,U11B U11 Boys Gold,Rose Mofford,"9833 N 25th Ave, Phoenix, AZ 85021",19881255,488139,225,AZ,AZ,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2025-03-08,PRFC Southeast Valley 14B Predator-Central,FC Elite Arizona 2014 Boys (ARCHIVED),1,2,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 5 11U Boys,Mountain View Park (Phoenix Surf),"201 E Mountain View Dr., Avondale, AZ 85323",18569683,488139,225,UT,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2025-02-23,Kingman SC B14 McGill,FC Elite Arizona 2014 Boys (ARCHIVED),0,3,L,W,AZFC Select Invitational 2025,AZFC Select Invitational ,U11B 2014 Silver (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19117921,488139,225,Unknown,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2025-02-01,PRFC Scottsdale 14B Predator,FC Elite Arizona 2014 Boys (ARCHIVED),0,2,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 5 11U Boys,Scottsdale Chaparral Park ,"5401 N. Hayden Road  , Scottsdale, AZ 85250",18569672,488139,225,AZ,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2025-01-25,Next Level Soccer Southeast 2014 Boys Green,FC Elite Arizona 2014 Boys (ARCHIVED),0,0,T,T,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Bronze 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702695,488139,225,UT,AZ,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2025-01-25,FC Elite Arizona 2014 Boys (ARCHIVED),PRFC Desert Foothills 14B Predator,7,0,W,L,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Bronze 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702699,488139,225,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-01-24,FC Elite Arizona 2014 Boys (ARCHIVED),NOS Santos 15 Boys Blue,6,0,W,L,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Bronze 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702691,488139,225,AZ,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2025-01-19,Real Arizona 2014,FC Elite Arizona 2014 Boys (ARCHIVED),0,1,L,W,North Scottsdale Sandsharks Invitational 2025,Sandsharks,U11B U11 Boys Costa Rica,Rose Mofford Sports Complex,"9833 N 25th Avenue , Phoenix, AZ 85021",18653788,488139,225,AZ,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2025-01-19,FC Elite Arizona 2014 Boys (ARCHIVED),Scottsdale 14 Sandsharks,1,0,W,L,North Scottsdale Sandsharks Invitational 2025,Sandsharks,U11B U11 Boys Costa Rica,Rose Mofford Sports Complex,"9833 N 25th Avenue , Phoenix, AZ 85021",18653787,488139,225,AZ,AZ,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2025-01-18,FC Elite Arizona 2014 Boys (ARCHIVED),2014 Boys Yellow,3,1,W,L,North Scottsdale Sandsharks Invitational 2025,Sandsharks,U11B U11 Boys Costa Rica,Rose Mofford Sports Complex,"9833 N 25th Avenue , Phoenix, AZ 85021",18653785,488139,225,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-01-15,AZ Arsenal 15 Boys Teal 1 JZ,FC Elite Arizona 2014 Boys (ARCHIVED),3,1,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 5 11U Boys,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18569667,488139,225,AZ,AZ,M,M,Non-AZ,AZ,AZ,AZ,False,True
2025-01-11,FC Elite Arizona 2014 Boys (ARCHIVED),PRFC West Valley 14B Pre-Academy,0,3,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 5 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18569664,488139,225,AZ,CA,M,M,AZ,AZ,AZ,AZ,True,True
2024-12-14,AZ Arsenal 14 Boys AYDP,FC Elite Arizona 2014 Boys (ARCHIVED),0,4,L,W,TFC Winter Festival 2024,TFC Winter Festival,U11B 2014 Boys,Rose Mofford,"9833 N 25th Ave, Phoenix, AZ 85021",18436170,488139,225,AZ,AZ,M,M,Non-AZ,AZ,AZ,AZ,False,True
2024-12-14,FC Elite Arizona 2014 Boys (ARCHIVED),2014 Boys Blue,5,0,W,L,TFC Winter Festival 2024,TFC Winter Festival,U11B 2014 Boys,Rose Mofford,"9833 N 25th Ave, Phoenix, AZ 85021",18436167,488139,225,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2024-12-08,FC Elite Arizona 2014 Boys (ARCHIVED),Phoenix Premier FC 14B SW,5,4,W,L,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Rudolph,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382269,488139,225,AZ,AZ,M,M,AZ,Non-AZ,AZ,AZ,True,False
2024-12-08,FC Elite Arizona 2014 Boys (ARCHIVED),14 Boys Navy,8,0,W,L,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Rudolph,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382267,488139,225,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2024-12-07,FC Elite Arizona 2014 Boys (ARCHIVED),Phoenix Premier FC 14B SW,3,2,W,L,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Rudolph,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382261,488139,225,AZ,AZ,M,M,AZ,Non-AZ,AZ,AZ,True,False
2024-12-07,NOS Santos 14 Boys White,FC Elite Arizona 2014 Boys (ARCHIVED),0,5,L,W,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Rudolph,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382263,488139,225,Unknown,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2024-11-09,PRFC West Valley 14B Pre-Academy,FC Elite Arizona 2014 Boys (ARCHIVED),1,1,T,T,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 5 11U Boys,Festival Field (PRFC - WV),"101 E Lower Buckeye Rd, Avondale, AZ 85323",17066103,488139,225,CA,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2024-10-27,15B NMarkette,FC Elite Arizona 2014 Boys (ARCHIVED),3,8,L,W,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Silver Red - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17980032,488139,225,NM,AZ,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2024-10-25,FC Elite Arizona 2014 Boys (ARCHIVED),PRFC Scottsdale 14B Copa,13,1,W,L,Phoenix Rising Fall Classic 2024,Phoenix Rising FC Tournaments - Fall Classic,U11B U11M Silver Red - 9v9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",17980025,488139,225,AZ,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2024-10-20,Next Level Soccer Northwest 2014 Boys,FC Elite Arizona 2014 Boys (ARCHIVED),1,2,L,W,2024 The Fiesta Cup ,The Fiesta Cup ,U11B B-U11 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993636,488139,225,Unknown,AZ,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2024-10-19,Next Level Soccer Southeast 2014 Boys Red,FC Elite Arizona 2014 Boys (ARCHIVED),4,0,W,L,2024 The Fiesta Cup ,The Fiesta Cup ,U11B B-U11 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993640,488139,225,UT,AZ,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2024-10-12,West Valley 2014 Boys Martinez Pre-Elite64,FC Elite Arizona 2014 Boys (ARCHIVED),0,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B SILVER - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825596,488139,225,Unknown,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2024-10-12,FC Elite Arizona 2014 Boys (ARCHIVED),Synergy FC 14 B,3,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B SILVER - U11,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825592,488139,225,AZ,Unknown,M,F,AZ,AZ,AZ,AZ,True,True
2024-10-11,FC Elite Arizona 2014 Boys (ARCHIVED),AZSC 14B Perez,0,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B SILVER - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825600,488139,225,AZ,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2024-09-29,Next Level Soccer Southeast 2014 Boys Blue,FC Elite Arizona 2014 Boys (ARCHIVED),1,3,L,W,The Derby (2024),The Derby,U11B Black U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816333,488139,225,UT,AZ,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2024-09-27,Legends FC AZ 14B Gold,FC Elite Arizona 2014 Boys (ARCHIVED),3,0,W,L,The Derby (2024),The Derby,U11B Black U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816328,488139,225,AZ,AZ,F,M,Non-AZ,AZ,AZ,AZ,False,True
2024-09-27,FC Elite Arizona 2014 Boys (ARCHIVED),Legends FC AZ 14B Black,2,0,W,L,The Derby (2024),The Derby,U11B Black U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816331,488139,225,AZ,AZ,M,F,AZ,AZ,AZ,AZ,True,True
2024-09-22,14 ECNL #1,FC Elite Arizona 2014 Boys (ARCHIVED),4,0,W,L,45th Annual Wolfgang Weber FC Tucson Cup (formerly FC Tucson Striker's Cup),Tournaments,U11B U11 Gold,Kino Sports Complex,"2343 E. Tournament Way, Tucson, AZ 85713",17704416,488139,225,Unknown,AZ,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2024-09-21,CDO 14B Premier,FC Elite Arizona 2014 Boys (ARCHIVED),1,4,L,W,45th Annual Wolfgang Weber FC Tucson Cup (formerly FC Tucson Striker's Cup),Tournaments,U11B U11 Gold,Kino Sports Complex,"2343 E. Tournament Way, Tucson, AZ 85713",17704410,488139,225,Unknown,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2024-09-21,FC Elite Arizona 2014 Boys (ARCHIVED),14 ECNL #1,1,2,L,W,45th Annual Wolfgang Weber FC Tucson Cup (formerly FC Tucson Striker's Cup),Tournaments,U11B U11 Gold,Kino Sports Complex,"2343 E. Tournament Way, Tucson, AZ 85713",17704412,488139,225,AZ,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2024-09-14,LAFC 14 BOYS,FC Elite Arizona 2014 Boys (ARCHIVED),0,10,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 5 11U Boys,Lehi Sports Park (ASA),"2228 N. Center St , Mesa, AZ 85201",17066089,488139,225,Unknown,AZ,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2024-09-07,Scottsdale 14 Sandsharks,FC Elite Arizona 2014 Boys (ARCHIVED),1,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 5 11U Boys,NE- McDowell Mountain Ranch Park (Sandsharks),"14933 N 102nd Way , Scottsdale , AZ 85255",17066082,488139,225,AZ,AZ,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2024-09-01,FC Elite Arizona 2014 Boys (ARCHIVED),PRFC Desert Foothills 14B Predator,4,0,W,L,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Bronze - Reyna,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17372816,488139,225,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2024-08-31,AZ Arsenal 14 Boys Teal 2 PJ,FC Elite Arizona 2014 Boys (ARCHIVED),0,9,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Bronze - Reyna,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17372812,488139,225,AZ,AZ,M,M,Non-AZ,AZ,AZ,AZ,False,True
2025-09-20,BRAZAS FC 2014 Boys Black,East Valley NSFC 14 Boys Aguirre,3,2,W,L,2025-26 MaxinMotion Open League Season 1,OPEN League: Season 1,U12B MaxInMotion Open League Champions 12U Boys,S- Tempe Sports Complex (Brazas),"8401 S Hardy Dr  , Tempe , AZ 85284",21792643,78764,230,AZ,Unknown,M,M,Non-AZ,AZ,AZ,AZ,False,True
2025-09-13,Southeast 2015 Boys Red,East Valley NSFC 14 Boys Aguirre,9,0,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Australia,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22593628,78764,230,UT,Unknown,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2025-09-13,East Valley NSFC 14 Boys Aguirre,15B AChacon Pre-MLS Next,0,8,L,W,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Australia,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22593625,78764,230,Unknown,CO,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2025-09-12,East Valley NSFC 14 Boys Aguirre,Playmaker Futbol Academy PRE-ECNL B14,2,2,T,T,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Australia,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22593631,78764,230,Unknown,CA,M,M,AZ,AZ,AZ,AZ,True,True
2025-04-26,NOS Santos 14 Boys Blue,East Valley NSFC 14 Boys Aguirre,5,0,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Silver - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19923024,78764,230,Unknown,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-04-19,East Valley NSFC 14 Boys Aguirre,AZ Arsenal 14 Boys Teal 1,4,1,W,L,East Valley Spring Invitational 2025,East Valley Spring Invitational,U11B Group A (U11 Boys),EV/NSFC Soccer Complex (EV Tournament Series),"3761 S Power Road , Mesa, AZ 85212",20256856,78764,230,Unknown,AZ,M,M,AZ,Non-AZ,AZ,AZ,True,False
2025-04-16,Next Level Soccer Southeast 2014 Boys Red,East Valley NSFC 14 Boys Aguirre,5,1,W,L,East Valley Spring Invitational 2025,East Valley Spring Invitational,U11B Group A (U11 Boys),EV/NSFC Soccer Complex (EV Tournament Series),"3761 S Power Road , Mesa, AZ 85212",20256855,78764,230,UT,Unknown,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2025-04-14,East Valley NSFC 14 Boys Aguirre,AZEV B2014 (NAVY),1,0,W,L,East Valley Spring Invitational 2025,East Valley Spring Invitational,U11B Group A (U11 Boys),EV/NSFC Soccer Complex (EV Tournament Series),"3761 S Power Road , Mesa, AZ 85212",20256852,78764,230,Unknown,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2025-04-11,East Valley NSFC 14 Boys Aguirre,14B Jimmy,1,4,L,W,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Silver - Driven by Desert Ford Dealers,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",19923010,78764,230,Unknown,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2025-04-04,AZ Arsenal 15 Boys Teal 1 JZ,East Valley NSFC 14 Boys Aguirre,3,2,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Silver - Driven by Desert Ford Dealers,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",19922996,78764,230,AZ,Unknown,M,M,Non-AZ,AZ,AZ,AZ,False,True
2025-03-08,East Valley NSFC 14 Boys Aguirre,15B NMarkette,4,2,W,L,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys McGlynn,Scottsdale Sports Complex,"8081 E Princess Dr. , Scottsdale, AZ 85255",19721862,78764,230,Unknown,NM,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2025-03-08,14B OMolina,East Valley NSFC 14 Boys Aguirre,3,2,W,L,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys McGlynn,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",19721857,78764,230,Unknown,Unknown,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2025-03-05,AZEV B2014 (NAVY),East Valley NSFC 14 Boys Aguirre,6,2,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 2 11U Boys,EV- EVNSFC Soccer Complex,"3761 S. Power Road, Mesa, AZ 85212",18566351,78764,230,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-02-22,14B Engilman,East Valley NSFC 14 Boys Aguirre,4,5,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 2 11U Boys,Moon Valley Park (SC del Sol),"502 W Coral Gables Dr, Phoenix, AZ 85023",18566359,78764,230,Unknown,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-02-15,East Valley NSFC 14 Boys Aguirre,PRFC Southeast Valley 14B Pre-Academy,5,1,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 2 11U Boys,EV- EVNSFC Soccer Complex,"3761 S. Power Road, Mesa, AZ 85212",18566355,78764,230,Unknown,CA,M,M,AZ,AZ,AZ,AZ,True,True
2025-02-01,East Valley NSFC 14 Boys Aguirre,14,1,8,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Division 2 11U Boys,EV- EVNSFC Soccer Complex,"3761 S. Power Road, Mesa, AZ 85212",18566347,78764,230,Unknown,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2025-01-25,East Valley NSFC 14 Boys Aguirre,PRFC Desert Foothills 14B Pre-Academy,1,3,L,W,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Silver 1 CROSSOVER,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702687,78764,230,Unknown,CA,M,M,AZ,AZ,AZ,AZ,True,True
2025-01-25,AZSC 14B Perez,East Valley NSFC 14 Boys Aguirre,5,0,W,L,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Silver 1 CROSSOVER,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702686,78764,230,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
