Team,Date,Opponent,GoalsFor,GoalsAgainst,GoalDiff,expected_gd,gd_delta,impact_bucket,Opponent_BaseStrength,PS_A,PS_B,P_A_win,P_Draw,P_B_win,PredictedWinner,ActualWinner,A_win_actual
14,2024-11-24,AZSC 14B Perez,6,3,3,1.5,1.5,good,0.298,,0.3368,,,,AZSC 14B Perez,14,1
14,2024-11-24,VSC 2014 Boys Green,10,2,8,4.0,4.0,good,0.214,,0.1899,,,,VSC 2014 Boys Green,14,1
14,2024-11-23,RSL-AZ Yuma 14 Boys Quinonez,9,2,7,3.5,3.5,good,0.23,,0.2363,,,,RSL-AZ Yuma 14 Boys Quinonez,14,1
14,2024-11-23,Next Level Soccer Southeast 2014 Boys Blue,8,5,3,1.5,1.5,good,0.26,,,,,,Next Level Soccer Southeast 2014 Boys Blue,14,1
14,2024-11-23,Southeast 2014 Boys Blue,8,5,3,1.5,1.5,good,0.258,,0.2654,,,,Southeast 2014 Boys Blue,14,1
14,2024-11-03,AZ Arsenal 15 Boys Teal 1 JZ,4,1,3,1.5,1.5,good,0.267,,,,,,AZ Arsenal 15 Boys Teal 1 JZ,14,1
14,2024-11-03,Legends FC AZ 14B Gold,5,2,3,1.5,1.5,good,0.186,,,,,,Legends FC AZ 14B Gold,14,1
14,2024-11-03,AZ Arsenal Pre-ECNL B15,4,1,3,1.5,1.5,good,0.293,,,,,,AZ Arsenal Pre-ECNL B15,14,1
14,2024-11-03,Dynamos SC 14B Gold,5,2,3,1.5,1.5,good,0.182,,0.1629,,,,Dynamos SC 14B Gold,14,1
14,2024-11-02,Playmaker Futbol Academy 14B Gold,7,0,7,3.5,3.5,good,0.165,,0.2112,,,,Playmaker Futbol Academy 14B Gold,14,1
14,2024-11-02,Playmaker Futbol Academy 14B Black,7,0,7,3.5,3.5,good,0.204,,0.331,,,,Playmaker Futbol Academy 14B Black,14,1
14,2024-11-02,PRFC Desert Foothills 14B Pre-Academy,3,2,1,0.5,0.5,neutral,0.257,,0.315,,,,PRFC Desert Foothills 14B Pre-Academy,14,1
14,2024-10-27,PRFC Scottsdale 14B Pre-Academy,7,4,3,1.5,1.5,good,0.322,,0.3666,,,,PRFC Scottsdale 14B Pre-Academy,14,1
14,2024-10-26,Phoenix Premier FC 14B Black,6,5,1,0.5,0.5,neutral,0.181,,0.2949,,,,Phoenix Premier FC 14B Black,14,1
14,2024-10-26,PRFC Southeast Valley 14B Predator,5,2,3,1.5,1.5,good,0.163,,0.218,,,,PRFC Southeast Valley 14B Predator,14,1
