Team,Date,Opponent,GoalsFor,GoalsAgainst,GoalDiff,expected_gd,gd_delta,impact_bucket,Opponent_BaseStrength
14B Bratcher,2024-10-27,PRFC Scottsdale 14B Predator,5,5,0,0.0,0.0,neutral,0.202
14B Bratcher,2024-10-26,Playmaker Futbol Academy 14B Gold,1,5,-4,-2.0,-2.0,weak,0.165
14B Bratcher,2024-10-25,CCV Stars 14 Boys South Orange,6,2,4,2.0,2.0,good,0.147
14B Bratcher,2024-10-19,2014 Tuzos Academy FV,0,12,-12,-6.0,-6.0,weak,0.439
14B Bratcher,2024-10-13,Legends FC AZ 14B Black,3,5,-2,-1.0,-1.0,neutral,0.227
14B Bratcher,2024-10-12,2014 Rush Boys,4,4,0,0.0,0.0,neutral,0.202
14B Bratcher,2024-10-11,AZ Arsenal 14 Boys Teal SC,4,6,-2,-1.0,-1.0,neutral,0.21
14B Bratcher,2024-10-05,CCV Stars 14 Boys East Pre-ECNL,0,11,-11,-5.5,-5.5,weak,0.236
14B Bratcher,2024-09-07,Real Arizona 2014,4,14,-10,-5.0,-5.0,weak,0.322
14B Engilman,2025-09-20,14B Velasco,1,6,-5,-2.5,-2.5,weak,0.259
14B Engilman,2025-09-14,14B Moyer,1,4,-3,-1.5,-1.5,weak,0.197
14B Engilman,2025-09-13,Tuzos Royals 14 Pre-Academy,2,3,-1,-0.5,-0.5,neutral,0.265
14B Engilman,2025-09-12,NOS Santos 14 Boys White,6,0,6,3.0,3.0,good,0.173
14B Engilman,2025-09-06,Scottsdale 14 Sandsharks Select,0,2,-2,-1.0,-1.0,neutral,0.476
14B Engilman,2025-04-27,Phoenix Premier FC 14B Black,2,5,-3,-1.5,-1.5,weak,0.181
14B Engilman,2025-04-26,Legends FC AZ 14B Gold,5,0,5,2.5,2.5,good,0.186
14B Engilman,2025-04-26,Dynamos SC 14B Gold,5,0,5,2.5,2.5,good,0.182
14B Engilman,2025-04-23,PRFC Scottsdale 15B Predator,5,2,3,1.5,1.5,good,0.195
14B Engilman,2025-04-12,PRFC North Valley 14B Predator,3,3,0,0.0,0.0,neutral,0.187
14B Engilman,2025-03-16,Next Level Soccer Northwest 2015 Boys Red,2,0,2,1.0,1.0,neutral,0.209
14B Engilman,2025-03-15,Tuzos Academy Mesa 2014,5,3,2,1.0,1.0,neutral,0.208
14B Engilman,2025-03-15,CCV STARS 14 Boys Navy PEO,4,2,2,1.0,1.0,neutral,0.214
14B Engilman,2025-03-15,CCV Stars 14 Boys North Orange,4,2,2,1.0,1.0,neutral,0.205
14B Engilman,2025-03-08,14B Velasco,2,3,-1,-0.5,-0.5,neutral,0.259
14B Engilman,2025-03-08,14B Jimmy,2,3,-1,-0.5,-0.5,neutral,0.282
14B Engilman,2025-02-22,East Valley NSFC 14 Boys Aguirre,4,5,-1,-0.5,-0.5,neutral,0.215
14B Engilman,2025-02-15,AZEV B2014 (NAVY),0,4,-4,-2.0,-2.0,weak,0.331
14B Engilman,2025-02-08,Tuzos Titanes 2014,5,0,5,2.5,2.5,good,0.14
14B Engilman,2025-02-01,Legends FC AZ 14B Gold,2,2,0,0.0,0.0,neutral,0.186
14B Engilman,2025-02-01,Dynamos SC 14B Gold,2,2,0,0.0,0.0,neutral,0.182
14B Engilman,2025-01-25,PRFC Southeast Valley 14B Pre-Academy,3,1,2,1.0,1.0,neutral,0.162
14B Engilman,2025-01-11,14,1,4,-3,-1.5,-1.5,weak,0.329
14B Engilman,2025-01-03,14B Velasco,2,7,-5,-2.5,-2.5,weak,0.259
14B Engilman,2025-01-03,14B Jimmy,2,7,-5,-2.5,-2.5,weak,0.282
14B Engilman,2024-12-15,AZSC 14B Perez,1,6,-5,-2.5,-2.5,weak,0.298
14B Engilman,2024-12-14,PRFC Southeast Valley 14B Pre-Academy,4,1,3,1.5,1.5,good,0.162
14B Engilman,2024-12-14,Playmaker Futbol Academy 14B Black,1,4,-3,-1.5,-1.5,weak,0.204
14B Engilman,2024-12-14,Playmaker Futbol Academy 14B Gold,1,4,-3,-1.5,-1.5,weak,0.165
14B Engilman,2024-12-07,14B OMolina,4,1,3,1.5,1.5,good,0.176
14B Engilman,2024-12-07,14B Moyer,4,1,3,1.5,1.5,good,0.197
14B Engilman,2024-11-23,2014B West,2,6,-4,-2.0,-2.0,weak,0.31
14B Engilman,2024-11-23,Playmaker Futbol Academy 14B Black,6,0,6,3.0,3.0,good,0.204
14B Engilman,2024-11-23,Phoenix United 2014B West,2,6,-4,-2.0,-2.0,weak,0.346
14B Engilman,2024-11-23,Playmaker Futbol Academy 14B Gold,6,0,6,3.0,3.0,good,0.165
14B Engilman,2024-11-03,Tuzos Academy Mesa 2014,4,4,0,0.0,0.0,neutral,0.208
14B Engilman,2024-11-02,NOS Santos 14 Boys Blue,1,5,-4,-2.0,-2.0,weak,0.224
14B Engilman,2024-11-02,Next Level Soccer Northwest 2014 Boys,1,1,0,0.0,0.0,neutral,0.155
14B Engilman,2024-11-02,Northwest 2014 Boys,1,1,0,0.0,0.0,neutral,0.155
14B Engilman,2024-11-01,AZ Arsenal Pre-ECNL B15,3,5,-2,-1.0,-1.0,neutral,0.293
14B Engilman,2024-11-01,AZ Arsenal 15 Boys Teal 1 JZ,3,5,-2,-1.0,-1.0,neutral,0.267
