team,v52_rank,v52_score,v52_sao,v52_sad,v52_sos,v52_gp,v52a_rank,v52a_score,v52a_sao,v52a_sad,v52a_sos,v52a_gp,delta_rank,delta_score
tuzos royals 14 pre-academy,90,0.121,0.003,0.0,0.4,30,29,0.53,0.499820694970478,0.738387115099243,0.321,30,61,0.40900000000000003
u-12 (2014) boys pre academy blue,91,0.121,0.003,0.0,0.4,30,60,0.419,0.4687973793133926,0.4123700113631806,0.368,30,31,0.298
prfc desert foothills 14b predator,92,0.121,0.003,0.0,0.4,29,115,0.254,0.2462931989205635,0.2059597538222023,0.318,29,-23,0.133
14b midhaan,93,0.121,0.003,0.0,0.4,26,110,0.272,0.3106901135800781,0.2094043535176658,0.3,26,-17,0.15100000000000002
14b moyer,94,0.121,0.003,0.0,0.4,26,36,0.513,0.464354321295225,0.7232030281137681,0.325,26,58,0.392
phoenix premier fc 14b sw black,95,0.121,0.003,0.0,0.4,24,21,0.585,0.8843355111621118,0.5297213586239855,0.3,24,74,0.46399999999999997
prfc southeast valley 14b pre-academy,96,0.121,0.002,0.0,0.402,30,93,0.311,0.2590238961738353,0.284064683423625,0.402,30,3,0.19
amore 2014 boys,97,0.121,0.002,0.0,0.4,30,52,0.443,0.6454449627936834,0.3638218626866373,0.3,30,45,0.322
cac 14/15b (conroy),98,0.121,0.002,0.0,0.4,30,96,0.305,0.41003732730657,0.2043975721076053,0.3,30,2,0.184
cdo 14b premier,99,0.121,0.002,0.0,0.4,30,63,0.411,0.4598842282337287,0.4077356770132669,0.359,30,36,0.29
prfc north valley 14b predator,100,0.121,0.002,0.0,0.4,30,77,0.36,0.375550314128168,0.3953295768920823,0.3,30,23,0.239
phoenix united 2014 premier,101,0.121,0.002,0.0,0.4,30,5,0.693,0.8926568518956367,0.8290674185134075,0.3,30,96,0.572
phoenix valley soccer club boys 2014,102,0.121,0.002,0.0,0.4,30,112,0.262,0.2402045190788663,0.2200637552707985,0.335,30,-10,0.14100000000000001
select 14b,103,0.121,0.002,0.0,0.4,30,86,0.333,0.4309443670577817,0.2636901918147912,0.3,30,17,0.21200000000000002
select 14b red,104,0.121,0.002,0.0,0.4,29,68,0.391,0.3763079511571688,0.484072152223358,0.3,29,36,0.27
milan,105,0.121,0.002,0.0,0.4,28,103,0.281,0.2122381092353676,0.3336288551002177,0.3,28,2,0.16000000000000003
phoenix premier fc 14b white,106,0.121,0.002,0.0,0.4,28,111,0.272,0.243673758454809,0.263473265009413,0.315,28,-5,0.15100000000000002
tuzos titanes 2014,107,0.121,0.002,0.0,0.4,23,116,0.239,0.2122381092353676,0.2127927523165577,0.3,23,-9,0.118
14b hermanson al,108,0.12,0.001,0.0,0.4,30,79,0.352,0.3089951090460793,0.4395038682179088,0.3,30,29,0.23199999999999998
prfc west valley 14b predator,109,0.12,0.001,0.0,0.4,30,39,0.504,0.7268057290857616,0.4568832554197796,0.3,30,70,0.384
psg 14b blue,110,0.12,0.001,0.0,0.4,30,6,0.679,0.8722421306821864,0.8116840536350814,0.3,30,104,0.559
playmaker futbol academy 14b gold,111,0.12,0.001,0.0,0.4,30,62,0.412,0.5920271962221851,0.2778147072519413,0.36,30,49,0.292
synergy fc 14 b,112,0.12,0.001,0.0,0.4,30,98,0.304,0.2128105117980144,0.3997129502319052,0.3,30,14,0.184
tuzos academy mesa 2014,113,0.12,0.001,0.0,0.4,30,64,0.41,0.5602526067986476,0.353888910685073,0.3,30,49,0.29
eagles f.c.,114,0.12,0.001,0.0,0.4,28,92,0.317,0.2122381092353676,0.4363384764750105,0.3,28,22,0.197
14b geoff,115,0.12,0.001,0.0,0.4,24,102,0.282,0.2438892974410156,0.3044492032882372,0.3,24,13,0.16199999999999998
hustle hard 2014- boys,116,0.12,0.001,0.0,0.4,24,105,0.28,0.2122381092353676,0.330946947517012,0.3,24,11,0.16000000000000003
vsc 2014 boys green,117,0.12,0.001,0.0,0.4,24,59,0.422,0.5186362589960423,0.4307977594898168,0.3,24,58,0.302
ccv stars 14 boys north navy,118,0.12,0.001,0.0,0.4,23,80,0.347,0.3665070409053238,0.3673546686627543,0.3,23,38,0.22699999999999998
14b hinds,119,0.12,0.0,0.0,0.4,30,85,0.335,0.3450342805901616,0.3553822490535788,0.3,30,34,0.21500000000000002
nos santos 14 boys white,120,0.12,0.0,0.0,0.4,29,95,0.308,0.3863960653964136,0.2361168120985213,0.3,29,25,0.188
14b rueda,121,0.12,0.0,0.0,0.4,24,106,0.276,0.224654196491039,0.2797089386953463,0.331,24,15,0.15600000000000003
scottsdale 14 sandsharks black,122,0.12,0.0,0.0,0.4,23,48,0.457,0.2406678257582155,0.8070537487243469,0.3,23,74,0.337
milan b,123,0.152,0.0,0.091,0.4,3,148,0.316,0.272359707207236,0.2932560977920759,0.393,3,-25,0.164
2014 elite,124,0.125,0.015,0.0,0.4,16,35,0.72,0.8926568518956367,0.9075785341978954,0.3,16,89,0.595
2014 tuzos academy fv,125,0.122,0.006,0.0,0.4,17,30,0.674,0.8926568518956367,0.7761456916495664,0.3,17,95,0.552
verde valley united fc,126,0.122,0.005,0.0,0.4,16,89,0.456,0.3239058600013638,0.7213606651419168,0.3,16,37,0.334
14b rayados blue al,127,0.145,0.005,0.0,0.478,9,127,0.467,0.4717184191548155,0.451687382716998,0.478,9,0,0.32200000000000006
la academia 14b,128,0.121,0.004,0.0,0.4,18,70,0.444,0.7771190196181346,0.2338884609640712,0.3,18,58,0.323
14b felix nogales,129,0.121,0.004,0.0,0.4,14,107,0.466,0.6710359429797432,0.4032119310514485,0.3,14,22,0.34500000000000003
vsc 2014 boys white,130,0.121,0.003,0.0,0.4,14,119,0.337,0.296826440370636,0.4086957740954188,0.3,14,11,0.21600000000000003
pima surf 2014 b blue,131,0.121,0.002,0.0,0.4,12,124,0.364,0.3760944903544818,0.4061898692157362,0.3,12,7,0.243
14b nl #1,132,0.12,0.001,0.0,0.4,17,91,0.407,0.4259628106839765,0.4495099651179018,0.336,17,41,0.287
tuzos 2014 nava,133,0.12,0.001,0.0,0.4,17,84,0.427,0.7184821612736247,0.2452198062439569,0.3,17,49,0.307
excel soccer academy 14b black,134,0.12,0.001,0.0,0.4,16,66,0.554,0.6824772217334542,0.6424935146261573,0.3,16,68,0.43400000000000005
asa 014b magic,135,0.12,0.001,0.0,0.4,15,125,0.234,0.2122381092353676,0.1988416111030211,0.3,15,10,0.11400000000000002
14b laroussi,136,0.12,0.001,0.0,0.4,14,123,0.294,0.3843221194535602,0.1988416111030211,0.3,14,13,0.174
sfc xolos arizona 2014,137,0.12,0.001,0.0,0.4,12,109,0.585,0.8201787506949527,0.5928040328475748,0.3,12,28,0.46499999999999997
deportivo mexico 14b,138,0.12,0.0,0.0,0.4,16,117,0.31,0.3029806462078334,0.3256796229449104,0.3,16,21,0.19
tuzos chandler 2014 boys,139,0.143,0.0,0.0,0.478,6,134,0.381,0.4027793701560029,0.2769827415955502,0.478,6,5,0.23800000000000002
fc arizona 14b black gfc suenaga u12,140,0.123,0.009,0.0,0.4,9,120,0.593,0.882579521841985,0.5557929465407723,0.3,9,20,0.47
pumas tucson 14b,141,0.122,0.006,0.0,0.4,4,139,0.507,0.5185091954717289,0.6586147138690961,0.317,4,2,0.385
azsc 2014/2015b navy,142,0.121,0.004,0.0,0.4,6,133,0.382,0.456871754193516,0.3777656620072701,0.3,6,9,0.261
az inferno 14 boys blue,143,0.121,0.002,0.0,0.4,8,131,0.359,0.4356699584045065,0.3330268716790421,0.3,8,12,0.238
monsters 2014,144,0.121,0.002,0.0,0.4,8,121,0.696,0.8926568518956367,0.838149749690674,0.3,8,23,0.575
state 48 fc avondale 14 white,145,0.121,0.002,0.0,0.4,6,135,0.346,0.3001248541775228,0.4316408703704715,0.3,6,10,0.22499999999999998
psc 2014b,146,0.12,0.001,0.0,0.4,6,132,0.43,0.2551577883649569,0.6873579871377323,0.334,6,14,0.31
esc - boys chandler 15/16,147,0.12,0.001,0.0,0.4,4,146,0.265,0.248703276239102,0.2514497395384056,0.3,4,1,0.14500000000000002
jedi 14b,148,0.12,0.0,0.0,0.4,3,145,0.413,0.3311668636665809,0.5752402515929763,0.319,3,3,0.293
