team,v52b_rank,v52b_score,v53_rank,v53_score,delta_rank,delta_score
14b moyer rsl-az south,46,0.2519,46,0.2495,0,-0.0024000000000000132
u-12 (2014) boys yuma pre academy sc del sol,49,0.3431,47,0.3448,2,0.0016999999999999793
ccv stars 14 boys north orange ccv stars,48,0.2484,48,0.2462,0,-0.0022000000000000075
rsl-az yuma 14 boys quinonez rsl-az yuma,51,0.237,49,0.2442,2,0.007200000000000012
azev b2014 (navy) ayso united (az),47,0.2477,50,0.2445,-3,-0.0032000000000000084
14b engilman rsl-az north,50,0.2429,51,0.2413,-1,-0.001600000000000018
az arsenal 14 boys select arizona arsenal soccer club,52,0.237,52,0.238,0,0.0010000000000000009
azev b2014 (white) ayso united (az),54,0.2281,53,0.2303,1,0.0022000000000000075
prfc west valley 14b predator phoenix rising fc,53,0.2321,54,0.2297,-1,-0.0024000000000000132
southeast 2014 boys green next level soccer (az),55,0.2258,55,0.2231,0,-0.002700000000000008
prfc southeast valley 14b predator phoenix rising fc,57,0.218,56,0.2196,1,0.0015999999999999903
u-12 (2014) boys pre academy blue sc del sol,56,0.2203,57,0.2168,-1,-0.003500000000000003
playmaker futbol academy 14b gold playmaker futbol academy,61,0.2099,58,0.2123,3,0.0023999999999999855
cdo 14b premier canyon del oro soccer club,60,0.211,59,0.2119,1,0.0009000000000000119
madison fc 14 blue boys madison fc,58,0.2141,60,0.2125,-2,-0.001600000000000018
east valley nsfc 14 boys aguirre east valley/nsfc,59,0.2124,61,0.209,-2,-0.003400000000000014
scottsdale 14 sandsharks black north scottsdale soccer club,62,0.2104,62,0.2045,0,-0.005900000000000016
ccv stars 14 boys east pre-ecnl ccv stars,63,0.2069,63,0.2022,0,-0.00470000000000001
amore 2014 boys amore soccer,64,0.2011,64,0.1965,0,-0.004599999999999993
ccv stars 14 boys west orange ccv stars,65,0.1993,65,0.1964,0,-0.0029000000000000137
vsc 2014 boys green vail sc,67,0.1924,66,0.1947,1,0.0023000000000000242
northwest 2014 boys next level soccer (az),66,0.1927,67,0.1911,-1,-0.001600000000000018
14 boys navy fc batavia,68,0.1907,68,0.1877,0,-0.0030000000000000027
excel soccer academy 14b black excel soccer academy,69,0.2626,69,0.2614,0,-0.0011999999999999789
prfc scottsdale 14b predator phoenix rising fc,70,0.1852,70,0.1873,0,0.0020999999999999908
state 48 fc avondale 14 black state 48 fc,73,0.1807,71,0.1827,2,0.0020000000000000018
tuzos academy mesa 2014 fbsl,71,0.1837,72,0.1819,-1,-0.001799999999999996
cdo 14b elite canyon del oro soccer club,72,0.2125,73,0.2107,-1,-0.001799999999999996
az arsenal 14 boys teal sc arizona arsenal soccer club,74,0.1776,74,0.1781,0,0.0005000000000000004
prfc southeast valley 14b predator-central phoenix rising fc,75,0.1769,75,0.1749,0,-0.0020000000000000018
14 cityzens scottsdale city fc,77,0.1748,76,0.1739,1,-0.0009000000000000119
prfc southeast valley 14b pre-academy phoenix rising fc,79,0.1726,77,0.1725,2,-0.00010000000000001674
la academia 14b la academia fc,80,0.201,78,0.2004,2,-0.0006000000000000172
tuzos halcones 2014 fbsl,76,0.1759,79,0.1707,-3,-0.00520000000000001
select 14b red azfc,78,0.1728,80,0.1699,-2,-0.0029000000000000137
dynamos sc 14b gold dynamos sc,81,0.1648,81,0.1649,0,9.999999999998899e-05
az inferno 14 boys black az inferno,82,0.1634,82,0.1632,0,-0.00019999999999997797
prfc west valley 14b pre-academy phoenix rising fc,83,0.1613,83,0.1597,0,-0.0015999999999999903
14b nl #1 fc tucson youth soccer,84,0.1969,84,0.1968,0,-9.999999999998899e-05
prfc north valley 14b predator phoenix rising fc north valley,85,0.1514,85,0.1513,0,-0.00010000000000001674
14b hermanson al rsl-az southern az,86,0.1509,86,0.1513,0,0.0003999999999999837
verde valley united fc,88,0.2077,87,0.21,1,0.0022999999999999965
tuzos 2014 nava fbsl,87,0.1904,88,0.19,-1,-0.00040000000000001146
2014 boys blue thunderbird fc,89,0.1444,89,0.1451,0,0.0007000000000000062
14b hinds rsl-az southern az,91,0.1407,90,0.1436,1,0.0029000000000000137
az arsenal 14 boys teal cb arizona arsenal soccer club,92,0.1396,91,0.1433,1,0.003700000000000009
select 14b yavapai soccer,93,0.1387,92,0.1402,1,0.0015000000000000013
ccv stars 14 boys north navy ccv stars,90,0.1409,93,0.137,-3,-0.003899999999999987
az arsenal 14 boys teal mc arizona arsenal soccer club,94,0.1337,94,0.1318,0,-0.0019000000000000128
sfc xolos arizona 2014 spartans fc (az),96,0.2768,95,0.2829,1,0.006099999999999994
fc elite arizona 2014 boys - martinez fc elite arizona,97,0.3596,96,0.3609,1,0.0013000000000000234
eagles f.c. renegades soccer club,95,0.1305,97,0.1275,-2,-0.0030000000000000027
14b felix nogales rsl-az southern az,98,0.2127,98,0.2115,0,-0.0012000000000000066
nos santos 14 boys white nos santos sc,99,0.1249,99,0.1235,0,-0.0013999999999999985
14b blue #1 fc tucson youth soccer,100,0.1742,100,0.1717,0,-0.0025000000000000022
synergy fc 14 b synergy fc az,102,0.1222,101,0.1216,1,-0.0006000000000000033
cac 14/15b (conroy) coronado athletic club,101,0.123,102,0.1206,-1,-0.0023999999999999994
prfc north valley 14b copa phoenix rising fc north valley,103,0.1205,103,0.1199,0,-0.0005999999999999894
14b rueda rsl-az south,104,0.1187,104,0.1201,0,0.0013999999999999985
