Team Name,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
2014 Tuzos Academy FV,37,28,7,2,75.67567567567568,2024-09-14,2025-10-04
14B Moore,37,0,35,2,0.0,2024-09-21,2025-03-01
Madison FC 14 Gold Boys Storm,37,26,6,5,70.27027027027027,2024-09-07,2025-04-26
Phoenix Premier FC 14B SW Black,37,21,14,2,56.75675675675676,2024-09-07,2025-09-28
14B Rueda,37,12,24,1,32.432432432432435,2024-09-07,2025-10-04
Excel Soccer Academy 14B Black,37,23,9,5,62.16216216216216,2024-09-07,2025-10-04
CCV STARS 14 Boys Navy PEO,36,17,16,3,47.22222222222222,2024-09-07,2025-04-26
CCV STARS 14 Boys Navy LAV,36,4,27,5,11.11111111111111,2024-09-13,2025-04-27
Kingman SC B14 McGill,36,17,15,4,47.22222222222222,2024-12-07,2025-09-07
Phoenix United 2014 Academy,36,31,0,5,86.11111111111111,2024-10-19,2025-04-06
FC Sonora 14' B Dynamo,35,2,31,2,5.714285714285714,2024-10-05,2025-09-28
Phoenix Premier FC 14B X-Factor,35,28,5,2,80.0,2024-10-26,2025-09-21
AZSC 14B Azanger,35,26,6,3,74.28571428571429,2024-09-07,2025-04-26
Legends FC AZ 14B Gold,35,13,19,3,37.142857142857146,2024-09-14,2025-04-26
U-11 (2014) Boys Pre Academy,35,14,18,3,40.0,2024-09-07,2025-04-26
AZ Arsenal 14 Boys AYDP,34,19,14,1,55.88235294117647,2024-09-07,2025-04-27
Excel Soccer Academy 14 Red,34,21,9,4,61.76470588235294,2024-04-19,2025-05-04
14B Midhaan,34,6,24,4,17.647058823529413,2024-09-07,2025-09-14
FC Arizona 14B Black GFC Suenaga U12,34,17,11,6,50.0,2024-10-13,2025-10-04
14B Hermanson 1,33,19,12,2,57.57575757575758,2024-09-14,2025-04-06
Verde Valley United FC,33,12,12,9,36.36363636363637,2024-04-20,2025-05-25
14B Jimmy,32,18,10,4,56.25,2024-09-14,2025-04-27
Pima Surf 2014 B Blue,32,14,12,6,43.75,2024-09-21,2025-10-05
Scottsdale 14 Sandsharks,32,25,3,4,78.125,2024-08-30,2025-04-19
14B NL #1,32,13,16,3,40.625,2024-09-21,2025-09-21
15B Garza/Bernal-1,32,15,10,7,46.875,2024-09-14,2025-03-30
