Rank,Team,PowerScore_adj,PowerScore,GP_Mult,SAO_norm,SAD_norm,SOS_norm,GamesPlayed,GamesTotal,Status,is_active,LastGame
117,VSC 2014 Boys Green,0.12,0.12,1.0,0.001,0.0,0.4,24,25,Active,True,2025-09-21
118,CCV Stars 14 Boys North Navy,0.12,0.12,1.0,0.001,0.0,0.4,23,27,Active,True,2025-10-04
119,14B Hinds,0.12,0.12,1.0,0.0,0.0,0.4,30,33,Active,True,2025-09-21
120,NOS Santos 14 Boys White,0.12,0.12,1.0,0.0,0.0,0.4,29,32,Active,True,2025-10-04
121,14B Rueda,0.12,0.12,1.0,0.0,0.0,0.4,24,29,Active,True,2025-10-04
122,Scottsdale 14 Sandsharks Black,0.12,0.12,1.0,0.0,0.0,0.4,23,26,Active,True,2025-09-13
123,Milan B,0.114,0.152,0.75,0.0,0.091,0.4,3,3,Provisional,True,2025-09-28
124,2014 Elite,0.112,0.125,0.9,0.015,0.0,0.4,16,16,Active,True,2025-09-28
125,2014 Tuzos Academy FV,0.11,0.122,0.9,0.006,0.0,0.4,17,21,Active,True,2025-10-04
126,Verde Valley United FC,0.11,0.122,0.9,0.005,0.0,0.4,16,20,Active,True,2025-05-25
127,14B Rayados Blue AL,0.109,0.145,0.75,0.005,0.0,0.478,9,14,Active,True,2025-10-05
128,La Academia 14B,0.109,0.121,0.9,0.004,0.0,0.4,18,19,Active,True,2025-10-04
129,14B Felix Nogales,0.109,0.121,0.9,0.004,0.0,0.4,14,17,Active,True,2025-09-28
130,VSC 2014 Boys White,0.109,0.121,0.9,0.003,0.0,0.4,14,18,Active,True,2025-09-21
131,Pima Surf 2014 B Blue,0.109,0.121,0.9,0.002,0.0,0.4,12,14,Active,True,2025-10-05
132,14B NL #1,0.108,0.12,0.9,0.001,0.0,0.4,17,19,Active,True,2025-09-21
133,Tuzos 2014 Nava,0.108,0.12,0.9,0.001,0.0,0.4,17,19,Active,True,2025-10-04
134,Excel Soccer Academy 14B Black,0.108,0.12,0.9,0.001,0.0,0.4,16,21,Active,True,2025-10-04
135,ASA 014B Magic,0.108,0.12,0.9,0.001,0.0,0.4,15,18,Active,True,2025-09-20
136,14B Laroussi,0.108,0.12,0.9,0.001,0.0,0.4,14,17,Active,True,2025-09-27
137,SFC XOLOS ARIZONA 2014,0.108,0.12,0.9,0.001,0.0,0.4,12,12,Active,True,2025-10-04
138,Deportivo Mexico 14B,0.108,0.12,0.9,0.0,0.0,0.4,16,17,Active,True,2025-09-28
139,Tuzos Chandler 2014 boys,0.107,0.143,0.75,0.0,0.0,0.478,6,6,Active,True,2025-10-04
140,FC Arizona 14B Black GFC Suenaga U12,0.092,0.123,0.75,0.009,0.0,0.4,9,9,Active,True,2025-10-04
141,Pumas Tucson 14B,0.092,0.122,0.75,0.006,0.0,0.4,4,4,Provisional,True,2025-09-21
142,AZSC 2014/2015B Navy,0.091,0.121,0.75,0.004,0.0,0.4,6,6,Active,True,2025-10-04
143,AZ Inferno 14 Boys Blue,0.091,0.121,0.75,0.002,0.0,0.4,8,8,Active,True,2025-10-04
144,Monsters 2014,0.091,0.121,0.75,0.002,0.0,0.4,8,12,Active,True,2025-09-20
145,State 48 FC Avondale 14 White,0.091,0.121,0.75,0.002,0.0,0.4,6,6,Active,True,2025-09-27
146,PSC 2014B,0.09,0.12,0.75,0.001,0.0,0.4,6,6,Active,True,2025-09-27
147,ESC - Boys Chandler 15/16,0.09,0.12,0.75,0.001,0.0,0.4,4,4,Provisional,True,2025-04-27
148,Jedi 14B,0.09,0.12,0.75,0.0,0.0,0.4,3,3,Provisional,True,2025-09-21
