Team_A,Team_B,Team_A_Offensive,Team_A_Defensive,Team_B_Offensive,Team_B_Defensive,Team_A_Goals,Team_B_Goals,Date,Event
AZSC 14B Perez,Tuzos Royals 2014,3.7313432835820897,2.029850746268657,2.560747663551402,2.046728971962617,1,4,10/5/2024,2024-25 MaxinMotion Open League Season 1
14B GSA,Tuzos Royals 2014,4.601503759398496,1.962406015037594,2.560747663551402,2.046728971962617,6,0,9/28/2024,The Derby (2024)
Tuzos Royals 2014,AZ Arsenal Pre-ECNL B14,2.560747663551402,2.046728971962617,4.012345679012346,2.074074074074074,2,1,9/28/2024,The Derby (2024)
AZ Arsenal 14 Boys Teal SC,Tuzos Royals 2014,2.36697247706422,2.6605504587155964,2.560747663551402,2.046728971962617,2,2,9/27/2024,The Derby (2024)
PRFC Desert Foothills 14B Pre-Academy,Tuzos Royals 2014,2.986842105263158,2.3815789473684212,2.560747663551402,2.046728971962617,2,4,9/21/2024,2024-25 MaxinMotion Open League Season 1
Tuzos Royals 2014,AZEV B2014 (NAVY),2.560747663551402,2.046728971962617,3.8095238095238093,1.5,1,1,8/10/2024,2024 Los Angeles Cup
Excel Soccer Academy 14B Red,Tuzos Royals 2014,3.0833333333333335,1.7916666666666667,2.560747663551402,2.046728971962617,2,2,4/19/2024,2024 Arizona Presidents Cup
Southeast 2014 Boys Green,2014B West,3.032258064516129,2.032258064516129,4.419753086419753,1.9753086419753085,4,3,9/28/2025,The Derby 2025
2014B West,AZ Arsenal Pre-ECNL B14,4.419753086419753,1.9753086419753085,4.012345679012346,2.074074074074074,2,6,9/27/2025,The Derby 2025
Sun Warriors 15/16 Boys,2014B West,2.2,2.4,4.419753086419753,1.9753086419753085,1,6,9/14/2025,2025 Cactus Kick Off
2014B West,14B JDeutsch Pre-MLS Next,4.419753086419753,1.9753086419753085,1.9444444444444444,2.4444444444444446,2,0,9/14/2025,2025 Cactus Kick Off
2014B West,14B GSA,4.419753086419753,1.9753086419753085,4.601503759398496,1.962406015037594,7,0,9/7/2025,FSC Champions Cup (Boys - 2025)
PRFC North Valley 14B Predator,2014B West,2.263157894736842,3.263157894736842,4.419753086419753,1.9753086419753085,2,4,9/6/2025,FSC Champions Cup (Boys - 2025)
2014B West,PRFC North Valley 14B Predator,4.419753086419753,1.9753086419753085,2.263157894736842,3.263157894736842,1,5,8/31/2025,Phoenix Rising Cup 2025
CDO 14B Elite,2014B West,2.6744186046511627,2.3488372093023258,4.419753086419753,1.9753086419753085,1,11,4/27/2025,Schools Out For Summer 2025
2014B West,Scottsdale 14 Sandsharks Select,4.419753086419753,1.9753086419753085,3.5970149253731343,0.5671641791044776,5,1,4/25/2025,Schools Out For Summer 2025
2014B West,Brazas 2014 Boys Black Marcos,4.419753086419753,1.9753086419753085,2.595744680851064,2.148936170212766,3,2,4/19/2025,2024-25 MaxinMotion Open League Season 2
2014B West,Tuzos Academy Mesa 2014,4.419753086419753,1.9753086419753085,3.0675675675675675,3.2432432432432434,12,1,3/30/2025,Tuzos Challenge 2025
2014B West,Excel Soccer Academy 14B Red,4.419753086419753,1.9753086419753085,3.0833333333333335,1.7916666666666667,3,0,3/30/2025,Tuzos Challenge 2025
Excel Soccer Academy 14B Red,2014B West,3.0833333333333335,1.7916666666666667,4.419753086419753,1.9753086419753085,0,3,3/29/2025,Tuzos Challenge 2025
2014B West,2014 Tuzos Academy FV,4.419753086419753,1.9753086419753085,5.8076923076923075,1.5769230769230769,6,2,3/29/2025,Tuzos Challenge 2025
2014B West,Excel Soccer Academy 14B Red,4.419753086419753,1.9753086419753085,3.0833333333333335,1.7916666666666667,0,3,3/21/2025,TFC Spring Cup 2025
2014B West,2014 Tuzos Academy FV,4.419753086419753,1.9753086419753085,5.8076923076923075,1.5769230769230769,4,2,3/16/2025,INFERNO CUP 2025
14B Velasco,2014B West,3.2222222222222223,1.7592592592592593,4.419753086419753,1.9753086419753085,5,1,3/8/2025,2025 Ostrich Festival
NOS Santos 14 Boys Blue,2014B West,2.8545454545454545,3.418181818181818,4.419753086419753,1.9753086419753085,2,10,2/22/2025,2024-25 MaxinMotion Open League Season 2
AZSC 14B Perez,2014B West,3.7313432835820897,2.029850746268657,4.419753086419753,1.9753086419753085,1,6,2/15/2025,2024-25 MaxinMotion Open League Season 2
2014B West,AZ Arsenal 14 Boys Teal SC,4.419753086419753,1.9753086419753085,2.36697247706422,2.6605504587155964,6,1,2/8/2025,2024-25 MaxinMotion Open League Season 2
Tuzos Royals 2014,2014B West,2.560747663551402,2.046728971962617,4.419753086419753,1.9753086419753085,3,6,2/1/2025,2024-25 MaxinMotion Open League Season 2
Phoenix Premier FC 14B Black,2014B West,3.1686746987951806,3.3493975903614457,4.419753086419753,1.9753086419753085,2,3,1/26/2025,2025 AZ Soccer Clash hosted by Phoenix Premier FC
2014B West,14B GSA,4.419753086419753,1.9753086419753085,4.601503759398496,1.962406015037594,3,6,1/24/2025,2025 AZ Soccer Clash hosted by Phoenix Premier FC
PRFC Desert Foothills 14B Pre-Academy,2014B West,2.986842105263158,2.3815789473684212,4.419753086419753,1.9753086419753085,2,3,1/18/2025,2024-25 MaxinMotion Open League Season 2
Legends FC AZ 14B Black,2014B West,3.0,2.5,4.419753086419753,1.9753086419753085,2,1,1/12/2025,CCV Stars Champions Cup 2025
2014B West,14B Velasco,4.419753086419753,1.9753086419753085,3.2222222222222223,1.7592592592592593,2,2,1/11/2025,CCV Stars Champions Cup 2025
Tuzos Royals 2014,2014B West,2.560747663551402,2.046728971962617,4.419753086419753,1.9753086419753085,2,2,12/14/2024,RSL-AZ Holiday Classic 2024
14B GSA,2014B West,4.601503759398496,1.962406015037594,4.419753086419753,1.9753086419753085,1,4,12/8/2024,Christmas Angel 2024
NOS Santos 14 Boys Blue,2014B West,2.8545454545454545,3.418181818181818,4.419753086419753,1.9753086419753085,1,5,12/7/2024,Christmas Angel 2024
2014B West,PRFC West Valley 14B Pre-Academy,4.419753086419753,1.9753086419753085,2.076923076923077,3.2,12,0,12/7/2024,Christmas Angel 2024
14B Engilman,2014B West,2.4918032786885247,2.9344262295081966,4.419753086419753,1.9753086419753085,2,6,11/23/2024,2024-25 MaxinMotion Open League Season 1
2014B West,Northwest 2014 Boys,4.419753086419753,1.9753086419753085,1.7435897435897436,3.2948717948717947,7,0,11/10/2024,Kick for the Cure 2024
PRFC Southeast Valley 14B Pre-Academy,2014B West,2.1636363636363636,3.727272727272727,4.419753086419753,1.9753086419753085,5,9,10/12/2024,2024-25 MaxinMotion Open League Season 1
2014B West,NOS Santos 14 Boys Blue,4.419753086419753,1.9753086419753085,2.8545454545454545,3.418181818181818,6,2,10/5/2024,2024-25 MaxinMotion Open League Season 1
2014B West,Tuzos Academy Mesa 2014,4.419753086419753,1.9753086419753085,3.0675675675675675,3.2432432432432434,5,2,9/21/2024,2024-25 MaxinMotion Open League Season 1
