Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Original Team Rank
2025-03-09,14B Velasco Pre-MLS Next,Phoenix United 2014 Academy,1,6,L,W,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys Clark,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",19609911,518095,11
2025-03-08,Phoenix United 2014 Academy,Las Vegas Sports Academy U11 Boys Red 2014,0,0,T,T,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys Clark,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",19609907,518095,11
2025-03-07,2014B West,Phoenix United 2014 Academy,2,2,T,T,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys Clark,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",19609902,518095,11
2025-02-23,14,Phoenix United 2014 Academy,2,3,L,W,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SUPER - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18996294,518095,11
2025-02-23,Phoenix United 2014 Academy,PRFC North Valley 14B PreAcademy,4,2,W,L,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SUPER - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18996295,518095,11
2025-02-22,Phoenix United 2014 Academy,14B Jimmy,3,0,W,L,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SUPER - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18996285,518095,11
2025-02-22,Legends FC AZ 14B FC,Phoenix United 2014 Academy,0,2,L,W,2025 Max Shacknai Invitational,Phoenix Rising FC Tournaments - Max Shacknai Invitational,U11B U11B SUPER - 9V9,Arizona Athletic Grounds,"6321 South Ellsworth Road , Mesa, AZ 85212",18996293,518095,11
2025-01-12,CCV STARS 14 Boys Orange LAV,Phoenix United 2014 Academy,1,4,L,W,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Gold - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604644,518095,11
2025-01-11,Phoenix United 2014 Academy,Legends FC AZ 14B Gold,4,0,W,L,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Gold - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604642,518095,11
2025-01-11,BVB IA LV 2014 Black,Phoenix United 2014 Academy,1,1,T,T,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Gold - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604638,518095,11
2024-11-24,Phoenix United 2014 Academy,Next Level Soccer Southeast 2013 Boys Green,5,1,W,L,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Silver West,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182576,518095,11
2024-11-24,AZSC 13B Incarnati Pre-E64RL,Phoenix United 2014 Academy,3,2,W,L,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Silver West,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182577,518095,11
2024-11-23,Phoenix United 2014 Academy,CCV Stars 13 Boys Orange LAV,5,1,W,L,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Silver West,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182572,518095,11
2024-11-23,AZSC 13B Incarnati Pre-E64RL,Phoenix United 2014 Academy,1,2,L,W,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Silver West,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182573,518095,11
2024-10-27,Phoenix United 2014 Academy,14B Red,2,1,W,L,City of Las Vegas Mayor's Cup International Tournament 2024,City of Las Vegas Mayor's Cup ,U11B 2014B AFC Bournemouth  (9v9),James Regional Park,"8400 Robindale Rd, Las Vegas, NV 89113",18077992,518095,11
2024-10-27,2014,Phoenix United 2014 Academy,0,2,L,W,City of Las Vegas Mayor's Cup International Tournament 2024,City of Las Vegas Mayor's Cup ,U11B 2014B AFC Bournemouth  (9v9),James Regional Park,"8400 Robindale Rd, Las Vegas, NV 89113",18077991,518095,11
2024-10-26,14 Elite,Phoenix United 2014 Academy,1,4,L,W,City of Las Vegas Mayor's Cup International Tournament 2024,City of Las Vegas Mayor's Cup ,U11B 2014B AFC Bournemouth  (9v9),James Regional Park,"8400 Robindale Rd, Las Vegas, NV 89113",18077785,518095,11
2024-10-26,Phoenix United 2014 Academy,14B Neon,4,1,W,L,City of Las Vegas Mayor's Cup International Tournament 2024,City of Las Vegas Mayor's Cup ,U11B 2014B AFC Bournemouth  (9v9),James Regional Park,"8400 Robindale Rd, Las Vegas, NV 89113",18077783,518095,11
2024-10-20,Phoenix United 2014 Academy,AZSC 13B Sobek,7,0,W,L,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 SILVER,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993666,518095,11
2024-10-20,Phoenix United 2014 Academy,FC ARIZONA 13 KELLENAERS,3,1,W,L,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 SILVER,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",18089509,518095,11
2024-10-19,Phoenix United 2014 Academy,13 Boys Navy,5,0,W,L,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 SILVER,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993667,518095,11
2024-10-19,FC ARIZONA 13 KELLENAERS,Phoenix United 2014 Academy,0,2,L,W,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 SILVER,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993663,518095,11
2025-09-28,Southeast 2013 Boys Green,2014B West,4,3,W,L,The Derby 2025,The Derby 2025,U13B Boys U13 Silver,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",22796352,499398,14
2025-09-27,2014B West,AZ Arsenal Pre-ECNL B14,2,6,L,W,The Derby 2025,The Derby 2025,U13B Boys U13 Silver,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",22796358,499398,14
2025-09-27,State 48 FC Avondale 13 Copper,2014B West,3,0,W,L,The Derby 2025,The Derby 2025,U13B Boys U13 Silver,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",22796355,499398,14
2025-09-26,2014B West,SCFC 2014,0,0,T,T,The Derby 2025,The Derby 2025,U13B Boys U13 Silver,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",22796350,499398,14
2025-09-14,Sun Warriors 13/14 Boys,2014B West,1,6,L,W,2025 Cactus Kick Off,Cactus Kick Off,U13B U13 Boys USA,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22606476,499398,14
2025-09-14,2014B West,14B JDeutsch Pre-MLS Next,2,0,W,L,2025 Cactus Kick Off,Cactus Kick Off,U13B U13 Boys USA,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22606474,499398,14
2025-09-13,Rey Del Castillo FC Gold,2014B West,2,4,L,W,2025 Cactus Kick Off,Cactus Kick Off,U13B U13 Boys USA,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22606470,499398,14
2025-09-12,2014B West,FCDA 13B Red NL (AZ),3,3,T,T,2025 Cactus Kick Off,Cactus Kick Off,U13B U13 Boys USA,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22606466,499398,14
2025-09-07,2014B West,14,7,0,W,L,FSC Champions Cup (Boys - 2025),Flagstaff Soccer United Cup,U13B U13B United,F- NAU South Fields (FSC),"East Pine Knoll Drive and South Huffer Lane, Flagstaff, AZ 86011",22366827,499398,14
2025-09-06,2014B West,AZ Arsenal 13 Boys Flagstaff,5,4,W,L,FSC Champions Cup (Boys - 2025),Flagstaff Soccer United Cup,U13B U13B United,F- NAU South Fields (FSC),"East Pine Knoll Drive and South Huffer Lane, Flagstaff, AZ 86011",22366825,499398,14
2025-09-06,PRFC North Valley 13B Predator,2014B West,2,4,L,W,FSC Champions Cup (Boys - 2025),Flagstaff Soccer United Cup,U13B U13B United,F- NAU South Fields (FSC),"East Pine Knoll Drive and South Huffer Lane, Flagstaff, AZ 86011",22366823,499398,14
2025-08-31,2014B West,PRFC North Valley 13B Predator,1,5,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U13B U13 Boys Silver - Agyemang,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",22382646,499398,14
2025-08-30,2014B West,PRFC WV 13B NL Premier 2 AZ,5,0,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U13B U13 Boys Silver - Agyemang,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22382643,499398,14
2025-08-30,PSG 13B Blue E64RL,2014B West,0,10,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U13B U13 Boys Silver - Agyemang,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22382644,499398,14
2025-04-27,CDO 13B Elite,2014B West,1,11,L,W,Schools Out For Summer 2025,Schools Out,U12B U12 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473584,499398,14
2025-04-26,Havasu Lions 13B Moran,2014B West,0,7,L,W,Schools Out For Summer 2025,Schools Out,U12B U12 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473581,499398,14
2025-04-26,2014B West,Juventus,5,2,W,L,Schools Out For Summer 2025,Schools Out,U12B U12 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473579,499398,14
2025-04-25,2014B West,Scottsdale 13 Sandsharks Select,5,1,W,L,Schools Out For Summer 2025,Schools Out,U12B U12 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473587,499398,14
2025-04-19,2014B West,Brazas 2014 Boys Black Marcos,3,2,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",18566329,499398,14
2025-04-06,Missoula Surf 2013B NPL,2014B West,0,3,L,W,Yavapai All Boys Tournament 2025,Yavapai,U12B U12 Boys 1,P- Mountain Valley Park Yavapai Soccer,"8600 E. Nace Ln. , Prescott Valley , AZ 86314",20191646,499398,14
2025-04-05,AZ Thundercats 2013,2014B West,3,1,W,L,Yavapai All Boys Tournament 2025,Yavapai,U12B U12 Boys 1,Pioneer Park Prescott,"1200 Commerce Drive , Prescott, AZ 86305",20191642,499398,14
2025-04-05,2014B West,State 48 FC 13 Copper,3,4,L,W,Yavapai All Boys Tournament 2025,Yavapai,U12B U12 Boys 1,Pioneer Park Prescott,"1200 Commerce Drive , Prescott, AZ 86305",20191641,499398,14
2025-03-30,2014B West,Tuzos Academy Mesa 2014,12,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U11B U11 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19950207,499398,14
2025-03-30,2014B West,Excel Soccer Academy 14 Red,3,0,W,L,Tuzos Challenge 2025,Tuzos Challenge,U11B U11 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19950209,499398,14
2025-03-29,Excel Soccer Academy 14 Red,2014B West,0,3,L,W,Tuzos Challenge 2025,Tuzos Challenge,U11B U11 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19950203,499398,14
2025-03-29,2014B West,2014 Tuzos Academy FV,6,2,W,L,Tuzos Challenge 2025,Tuzos Challenge,U11B U11 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19950201,499398,14
2025-03-23,2014B West,Madison FC 13 Gold,8,3,W,L,TFC Spring Cup 2025,TFC Spring Cup,U12B U12 Boys Gold,Rose Mofford,"9833 N 25th Ave, Phoenix, AZ 85021",19881274,499398,14
2025-03-22,FC ARIZONA 13 KELLENAERS,2014B West,0,3,L,W,TFC Spring Cup 2025,TFC Spring Cup,U12B U12 Boys Gold,Rose Mofford,"9833 N 25th Ave, Phoenix, AZ 85021",19881269,499398,14
2025-03-21,2014B West,Excel Soccer Academy 14 Red,0,3,L,W,TFC Spring Cup 2025,TFC Spring Cup,U12B U12 Boys Gold,Rose Mofford,"9833 N 25th Ave, Phoenix, AZ 85021",19881268,499398,14
2025-03-16,2014B West,2014 Tuzos Academy FV,4,2,W,L,INFERNO CUP 2025,INFERNO CUP,U11B U11 Boys Bracket Black,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",19826502,499398,14
2025-03-16,2014B West,Phoenix United 2014 Academy,0,4,L,W,INFERNO CUP 2025,INFERNO CUP,U11B U11 Boys Bracket Black,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",19826508,499398,14
2025-03-15,Sporting California USA Perris B15 White,2014B West,1,6,L,W,INFERNO CUP 2025,INFERNO CUP,U11B U11 Boys Bracket Black,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",19826503,499398,14
2025-03-09,2014B West,Las Vegas Sports Academy U11 Boys Red 2014,0,5,L,W,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys Clark,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",19609910,499398,14
2025-03-08,14B Velasco Pre-MLS Next,2014B West,5,1,W,L,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys Clark,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",19609906,499398,14
2025-03-07,2014B West,Phoenix United 2014 Academy,2,2,T,T,2025 Ostrich Festival,Ostrich Festival,U11B U11 Boys Clark,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",19609902,499398,14
2025-03-01,2014B West,15B Chacon,3,1,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,Phoenix Events Complex (ASA),"2209 N. 99th Ave, Phoenix, AZ 85305",18566310,499398,14
2025-02-22,NOS Santos 14 Boys Blue,2014B West,2,10,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,EV- NOS Santos Soccer Complex (NOS),"12347 S. Sossaman , Mesa, AZ 85212",18566305,499398,14
2025-02-15,AZSC 14B Perez,2014B West,1,6,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,Crossroads Park (AZSC),"2155 East Knox Rd.  , Gilbert, AZ 85296",18566326,499398,14
2025-02-08,2014B West,AZ Arsenal 14 Boys Teal 1,6,1,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18566320,499398,14
2025-02-01,Tuzos Royals 2014,2014B West,3,6,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18566319,499398,14
2025-01-26,Phoenix Premier FC 14B Black,2014B West,2,3,L,W,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702773,499398,14
2025-01-25,Next Level Soccer Southeast 2015 Boys Red,2014B West,1,1,T,T,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702764,499398,14
2025-01-24,2014B West,14,3,6,L,W,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U11B U11 Boys - Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702769,499398,14
2025-01-18,PRFC Desert Foothills 14B Pre-Academy,2014B West,2,3,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,Horseshoe Trails Elementary (PRFC-DF),"5405 E Pinnacle Vista Dr , Phoenix, AZ 85054",18566312,499398,14
2025-01-12,Legends FC AZ 14B FC,2014B West,2,1,W,L,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604636,499398,14
2025-01-11,2014B West,14B Velasco Pre-MLS Next,2,2,T,T,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604632,499398,14
2025-01-10,2014B West,Next Level Soccer Southeast 2015 Boys Red,2,3,L,W,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U11B Boys U11 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604629,499398,14
2024-12-15,2014B West,CCV STARS 14 Boys Orange PEO,1,3,L,W,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Qatar ,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18437974,499398,14
2024-12-14,2014B West,Next Level Soccer Southeast 2015 Boys Black,2,5,L,W,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Qatar ,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18437969,499398,14
2024-12-14,Tuzos Royals 2014,2014B West,2,2,T,T,RSL-AZ Holiday Classic 2024,Holiday Classic,U11B U11 Boys Qatar ,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18437966,499398,14
2024-12-08,14,2014B West,1,4,L,W,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Dasher,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382213,499398,14
2024-12-07,NOS Santos 14 Boys Blue,2014B West,1,5,L,W,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Dasher,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382208,499398,14
2024-12-07,2014B West,PRFC West Valley 14B Pre-Academy,12,0,W,L,Christmas Angel 2024,Salvation Army Christmas Angel,U11B U11 Boys Dasher,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18382210,499398,14
2024-11-30,2014B West,ELI7E FC- ELITE 2014,3,1,W,L,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER ELITE - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327444,499398,14
2024-11-30,15B Chacon,2014B West,4,1,W,L,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER ELITE - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327440,499398,14
2024-11-29,2014B West,Next Level Soccer Northwest 2015 Boys Black,1,0,W,L,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER ELITE - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327436,499398,14
2024-11-23,14B Engilman,2014B West,2,6,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,Sweetwater Park (RSL- N),"13230 N. 44th Street, Phoenix, AZ 85032",17072060,499398,14
2024-11-10,2014B West,Next Level Soccer Northwest 2014 Boys,7,0,W,L,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Tillmann,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18148342,499398,14
2024-11-09,Next Level Soccer Northwest 2015 Boys Black,2014B West,3,3,T,T,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Tillmann,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18148338,499398,14
2024-11-09,2014B West,Next Level Soccer Southeast 2015 Boys Red,4,4,T,T,Kick for the Cure 2024,Kick for the Cure,U11B U11 Boys Tillmann,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18148336,499398,14
2024-11-02,14B OMolina,2014B West,0,7,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,Snedigar Sports Complex (RSL- S),"4511 S Alma School Rd, Chandler, AZ 85248",17072046,499398,14
2024-10-27,2014B West,14B White,1,0,W,L,City of Las Vegas Mayor's Cup International Tournament 2024,City of Las Vegas Mayor's Cup ,U11B 2014B AFC Bournemouth  (9v9),Ed Fountain Park,"4595 Vegas Dr., Las Vegas, NV 89108",18077993,499398,14
2024-10-26,14B Red,2014B West,4,2,W,L,City of Las Vegas Mayor's Cup International Tournament 2024,City of Las Vegas Mayor's Cup ,U11B 2014B AFC Bournemouth  (9v9),James Regional Park,"8400 Robindale Rd, Las Vegas, NV 89113",18077791,499398,14
2024-10-26,2014B West,SE 2014 Red,1,3,L,W,City of Las Vegas Mayor's Cup International Tournament 2024,City of Las Vegas Mayor's Cup ,U11B 2014B AFC Bournemouth  (9v9),James Regional Park,"8400 Robindale Rd, Las Vegas, NV 89113",18077794,499398,14
2024-10-19,2014B West,14B Jimmy,1,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",17072072,499398,14
2024-10-12,PRFC Southeast Valley 14B Pre-Academy,2014B West,5,9,L,W,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,Eagles Park Soccer Complex (PRFC SEV),"828 E Broadway Rd, mesa, AZ 85204",17072067,499398,14
2024-10-05,2014B West,NOS Santos 14 Boys Blue,6,2,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,EV- NOS Santos Soccer Complex (NOS),"12347 S. Sossaman , Mesa, AZ 85212",17072063,499398,14
2024-09-21,2014B West,Tuzos Academy Mesa 2014,5,2,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",17072054,499398,14
2024-09-14,2014B West,Playmaker Futbol Academy 14B Gold,4,0,W,L,2024-25 MaxinMotion Open League Season 1,OPEN League: Season 1,U11B MaxInMotion Open League Division 2 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",17072053,499398,14
2024-09-08,Phoenix Premier FC 14B Black,2014B West,2,3,L,W,FSC Champions Cup (Boys - 2024),Flagstaff Soccer United Cup,U11B U11B United (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17479106,499398,14
2024-09-07,Next Level Soccer Southeast 2014 Boys Blue,2014B West,4,1,W,L,FSC Champions Cup (Boys - 2024),Flagstaff Soccer United Cup,U11B U11B United (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17479089,499398,14
2024-09-07,2014B West,Playmaker Futbol Academy 14B Gold,5,3,W,L,FSC Champions Cup (Boys - 2024),Flagstaff Soccer United Cup,U11B U11B United (9v9),F- Thorpe Softball Complex,"191 N. Thorpe Rd, Flagstaff, AZ 86001",17479088,499398,14
2024-09-01,2014B West,Tuzos Academy Mesa 2014,5,0,W,L,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Silver - Robinson,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371431,499398,14
2024-09-01,14 ECNL #2,2014B West,5,0,W,L,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Silver - Robinson,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371432,499398,14
2024-08-31,2014B West,Playmaker Futbol Academy 14B Gold,6,1,W,L,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Silver - Robinson,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371429,499398,14
2024-08-31,PRFC Scottsdale 14B Pre-Academy,2014B West,5,8,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U11B U11 Boys Silver - Robinson,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371427,499398,14
2025-09-28,2014 Elite,Southeast 2013 Boys Blue,3,0,W,L,The Derby 2025,The Derby 2025,U13B Boys U13 Gold,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",22796384,579284,17
2025-09-28,2014 Elite,Northwest 2013 Boys Black,2,0,W,L,The Derby 2025,The Derby 2025,U13B Boys U13 Gold,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",22796380,579284,17
2025-09-27,Rey Del Castillo FC Black,2014 Elite,1,7,L,W,The Derby 2025,The Derby 2025,U13B Boys U13 Gold,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",22796383,579284,17
2025-09-07,2014 Elite,FCDA 2013B Red,5,0,W,L,Tuzos Challenge 2025,Tuzos Challenge,U13B U13 Gold (11v11),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22446440,579284,17
2025-09-07,2014 Elite,Rey Del Castillo FC Black,5,6,L,W,Tuzos Challenge 2025,Tuzos Challenge,U13B U13 Gold (11v11),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22446441,579284,17
2025-09-06,Galacticos FC Sonora,2014 Elite,0,5,L,W,Tuzos Challenge 2025,Tuzos Challenge,U13B U13 Gold (11v11),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22446436,579284,17
2025-09-06,2014 Elite,Rey Del Castillo FC Black,2,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U13B U13 Gold (11v11),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22446438,579284,17
2025-04-13,2014 Elite,Tuzos Royals 2014,9,0,W,L,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Gold 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20286524,579284,17
2025-04-13,Next Level Soccer Southeast 2014 Boys Blue,2014 Elite,0,10,L,W,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Gold 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20286516,579284,17
