Game_ID,Team_A,Team_B,Team_A_Match,Team_B_Match,Reason,Date,Event
16745239,14B JCFresquez Pre-MLS Next,Excel Soccer Academy 14B Red,,Excel Soccer Academy 14B Red,Unmatched team(s),3/1/2025,2024-2025 ASA Advanced Leagues
16745231,CCV STARS 14 Boys Orange LAV,Excel Soccer Academy 14B Red,,Excel Soccer Academy 14B Red,Unmatched team(s),2/2/2025,2024-2025 ASA Advanced Leagues
16745202,14 ECNL #2,Excel Soccer Academy 14B Red,,Excel Soccer Academy 14B Red,Unmatched team(s),12/7/2024,2024-2025 ASA Advanced Leagues
16745177,Excel Soccer Academy 14B Red,14 ECNL #1,Excel Soccer Academy 14B Red,,Unmatched team(s),10/26/2024,2024-2025 ASA Advanced Leagues
16745188,Excel Soccer Academy 14B Red,14B Flores,Excel Soccer Academy 14B Red,,Unmatched team(s),10/20/2024,2024-2025 ASA Advanced Leagues
19905471,FC ARIZONA 13 GFC CUEVAS,PRFC North Valley 14B PreAcademy,,PRFC North Valley 14B PreAcademy,Unmatched team(s),4/27/2025,2025 Arizona State Cup
19917332,PRFC North Valley 14B PreAcademy,14B JCFresquez Pre-MLS Next,PRFC North Valley 14B PreAcademy,,Unmatched team(s),3/22/2025,2025 Phoenix Cup - Boys Weekend
18996290,PRFC North Valley 14B PreAcademy,Phoenix United 2015 Elite,PRFC North Valley 14B PreAcademy,,Unmatched team(s),2/21/2025,2025 Max Shacknai Invitational
16745240,PRFC North Valley 14B PreAcademy,14 ECNL #2,PRFC North Valley 14B PreAcademy,,Unmatched team(s),12/8/2024,2024-2025 ASA Advanced Leagues
18181898,14B JCFresquez Pre-MLS Next,PRFC North Valley 14B PreAcademy,,PRFC North Valley 14B PreAcademy,Unmatched team(s),11/24/2024,2024 Heritage Cup 
18181896,14 ECNL #1,PRFC North Valley 14B PreAcademy,,PRFC North Valley 14B PreAcademy,Unmatched team(s),11/23/2024,2024 Heritage Cup 
